,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,jäseneksi,0.745,esimies,0.73,jäseu,0.879
1,tohtorin,0.717,jäsenistä,0.72,jäjen,0.862
2,tohtori,0.71,jäseneksi,0.714,jäien,0.86
3,esimies,0.709,wirkamies,0.685,jäsm,0.842
4,professori,0.698,mirkamies,0.642,jäscn,0.805
5,promasti,0.691,esimiehenä,0.638,jisen,0.787
6,esimieheksi,0.691,jäsenenä,0.629,jäscu,0.771
7,walittiin,0.687,virkamies,0.629,jäsenistä,0.767
8,hoitajaksi,0.683,henkilö,0.623,jäfen,0.743
9,rowasti,0.682,jäsenen,0.611,kunniajäsen,0.712
10,tohtor,0.68,jäseneltä,0.604,luottamusmies,0.706
11,rohmessori,0.676,sihteeri,0.599,perustajista,0.699
12,romasti,0.671,osakas,0.595,jäseneksi,0.676
13,tori,0.669,esimieheksi,0.594,sihtcri,0.675
14,lehtori,0.669,sihtien,0.588,jäsenistö,0.673
15,hoitaja,0.668,esimiehen,0.584,edustaja,0.667
16,tähtimies,0.667,puheenjohtajana,0.584,wirkamics,0.664
17,maisteri,0.661,tutkija,0.568,sihteri,0.663
18,ritari,0.659,esimieheltä,0.568,päämies,0.66
19,jäsenen,0.658,puheenjohtaja,0.564,jäsenyys,0.657
20,toht,0.653,jäseniä,0.563,mirtamies,0.656
21,jäsenistä,0.652,lakimies,0.557,jäsenenä,0.653
22,jumaluusopin,0.647,esimiestä,0.557,sihteeri,0.649
23,toimittama,0.643,lautakuntaan,0.553,esimies,0.644
24,lääkäri,0.642,edustaja,0.551,lakimies,0.641
25,prowasti,0.64,tarkastaja,0.549,mirkamics,0.638
26,toimittanut,0.639,jäsenelle,0.547,esimiehestä,0.638
27,kontrahti,0.634,sihteri,0.546,tilintarkastaja,0.637
28,tähdistön,0.629,valtuusmies,0.543,mirlamies,0.637
29,majisteri,0.616,keskuudestaan,0.542,virkamies,0.634
30,magister,0.615,persona,0.541,jäseneltä,0.632
31,kokelas,0.613,malitseminen,0.541,puheenjohtaja,0.632
32,kirkherra,0.61,ylimys,0.539,wirtamies,0.631
33,jäseniksi,0.61,sihtieri,0.537,walitsema,0.63
34,esimiehenä,0.604,sihteerinä,0.536,pnheenjohtaja,0.628
35,magisteri,0.602,lautakunta,0.534,osakas,0.627
36,oskar,0.598,kirjuri,0.531,esimiehenä,0.625
37,lahjoitettu,0.596,johtokunnassa,0.528,mirkamies,0.622
38,rehtori,0.596,valitsee,0.525,warapuheenjohtaja,0.62
39,frosterus,0.596,johtaja,0.524,fihteri,0.62
40,borg,0.596,päämies,0.523,mara-esimies,0.617
41,sihteeri,0.594,kansalainen,0.52,varaesimies,0.617
42,toh,0.591,puheenjohtajaksi,0.52,marapuheenjohtaja,0.614
43,pro,0.589,jäsentä,0.518,maraesimies,0.613
44,forsman,0.589,esimiehellä,0.516,malitsema,0.611
45,gabriel,0.587,asiamies,0.515,pöytäkirjuri,0.608
46,täkäläisen,0.586,jäseniksi,0.514,jäsenelsi,0.607
47,teri,0.585,puhemieheksi,0.514,ääniwaltainen,0.607
48,wainajan,0.582,walittawa,0.513,jäsenen,0.606
49,yliopiston,0.581,perustaja,0.51,ehdokas,0.605
50,pyynnöstä,0.58,johtajana,0.508,rahastonhoitaja,0.605
51,blom,0.578,edusmies,0.508,wirkamies,0.603
52,lukion,0.575,esittelijä,0.501,jäsenyydestä,0.601
53,emil,0.575,sih,0.5,valitsema,0.599
54,esimiehen,0.575,malio,0.499,pääsihteeri,0.598
55,rein,0.571,asukas,0.495,malitsijamies,0.597
56,piispa,0.571,valittaisiin,0.495,puheeujohtaja,0.597
57,otto,0.569,johto,0.494,kunniajäseniksi,0.597
58,rille,0.568,herroista,0.493,jäsenellä,0.596
59,taja,0.566,enimmistö,0.492,kunniajäseneksi,0.595
60,lönnrot,0.565,puheenjohtajalle,0.491,waraesimies,0.595
61,mestari,0.564,jäseninä,0.491,puheenjohtajalla,0.589
62,pfaler,0.564,valitsema,0.489,jäsenestä,0.588
63,sihteerin,0.561,hoitaja,0.488,lainoppinut,0.587
64,koululle,0.56,valitseminen,0.488,esimiehellä,0.587
65,wirasta,0.559,toimikunnassa,0.488,varapuheenjohtaja,0.587
66,korkeasti,0.558,hoitokunta,0.487,puheenjohtoja,0.584
67,ström,0.558,jäsenestä,0.486,valitsijamies,0.583
68,lagus,0.554,jäsenten,0.485,puheenjohtaia,0.582
69,roh,0.553,jäseniltä,0.483,jäseuiksi,0.581
