,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,vartiainen,0.836,maukonen,0.857
1,huttunen,0.812,komulainen,0.83
2,laitinen,0.806,hämäläinen,0.829
3,eskelinen,0.798,mankönen,0.818
4,lampinen,0.794,räisänen,0.817
5,korhonen,0.791,rahkonen,0.812
6,huotari,0.79,pikkarainen,0.809
7,pennanen,0.789,väänänen,0.809
8,peltonen,0.788,westerinen,0.809
9,partanen,0.781,vesterinen,0.808
10,ikonen,0.777,huttunen,0.807
11,wäänänen,0.775,hymönen,0.807
12,väänänen,0.771,paakkonen,0.805
13,koponen,0.771,manninen,0.805
14,hirwonen,0.771,taskinen,0.805
15,kukkonen,0.77,kauppinen,0.805
16,eronen,0.769,raatikainen,0.805
17,pitkänen,0.769,tiitinen,0.805
18,heikkinen,0.766,veijalainen,0.804
19,leinonen,0.766,junttila,0.804
20,itkonen,0.766,sepponen,0.803
21,halonen,0.764,smkko,0.8
22,sutinen,0.764,vanhanen,0.8
23,kettunen,0.763,kilpeläinen,0.8
24,penttinen,0.762,wäisänen,0.8
25,hakkarainen,0.762,wäänänen,0.8
26,kolehmainen,0.761,annola,0.798
27,turunen,0.759,remes,0.798
28,juntunen,0.759,lampinen,0.798
29,sairanen,0.758,mikkanen,0.797
30,hirmonen,0.755,laitinen,0.797
31,kinnunen,0.754,woutilainen,0.796
32,marttinen,0.753,kowanen,0.795
33,simonen,0.751,paananen,0.795
34,määttä,0.751,kerkkänen,0.795
35,junttila,0.75,moilanen,0.795
36,leskinen,0.748,väisänen,0.795
37,räsänen,0.748,suhonen,0.794
38,nykänen,0.747,weijalainen,0.794
39,riikonen,0.746,pussinen,0.794
40,teittinen,0.745,kirjamainen,0.794
41,hartikainen,0.745,simonen,0.794
42,karppinen,0.745,hannonen,0.794
43,pylkkänen,0.745,kumpulainen,0.794
44,nousiainen,0.741,hattunen,0.793
45,kauppinen,0.741,pursiainen,0.793
46,heiskanen,0.741,toimanen,0.793
47,pehkonen,0.741,leppälä,0.793
48,konttinen,0.741,waljus,0.793
49,hywärinen,0.74,sirwiö,0.793
50,niiranen,0.74,saukkonen,0.793
51,hiltunen,0.739,liimatainen,0.792
52,pakarinen,0.734,lipponen,0.792
53,kosonen,0.732,ahola,0.792
54,immonen,0.732,wäänäncn,0.791
55,alatalo,0.732,kottonen,0.791
56,manninen,0.73,launonen,0.79
57,luukkonen,0.73,seppänen,0.79
58,leppänen,0.73,törrönen,0.79
59,koskela,0.729,rautamäki,0.789
60,termo,0.729,eronen,0.789
61,annala,0.727,hyytinen,0.789
62,hymärinen,0.726,lehkonen,0.788
63,julkunen,0.726,saaranen,0.788
64,holopainen,0.725,muttonen,0.787
65,lassila,0.725,pyytkö,0.787
66,kainulainen,0.724,kollanen,0.787
67,hänninen,0.724,varmanen,0.786
68,pulkkinen,0.724,leskinen,0.786
69,jäntti,0.723,pyykkönen,0.786
70,jääskeläinen,0.723,wäisäncn,0.785
71,seppänen,0.722,maulonen,0.785
72,ojala,0.722,neuwonen,0.785
73,salmela,0.721,hiekkanen,0.784
74,sikanen,0.72,pyykönen,0.784
75,koljonen,0.718,waris,0.784
76,ollila,0.718,härkönen,0.784
77,jussilainen,0.717,koskela,0.783
78,laukkanen,0.717,kähkönen,0.783
79,ahonen,0.715,jokelainen,0.783
80,timonen,0.715,hywönen,0.782
81,pesonen,0.713,tolmanen,0.782
82,moilanen,0.712,kekarainen,0.782
83,mäenpää,0.712,kempas,0.782
84,sakari,0.711,hyrkäs,0.782
85,haapala,0.711,hassinen,0.781
86,montonen,0.709,heikkinen,0.781
87,laurikainen,0.708,rytkönen,0.78
88,puustinen,0.707,halonen,0.78
89,kansanen,0.707,rautiainen,0.78
90,mikkola,0.706,kosonen,0.78
91,tarkkanen,0.705,härkänen,0.779
92,eskola,0.704,neumonen,0.779
93,härkönen,0.704,hirmonen,0.779
94,terwo,0.704,kiiskinen,0.779
95,väisänen,0.702,kuhmonen,0.779
96,mökkiläinen,0.701,huotari,0.779
97,jalkanen,0.701,saarela,0.778
98,paananen,0.701,penttinen,0.778
99,koistinen,0.701,marttunen,0.778
