,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,piplia,0.64,kirja,0.648,lartta,0.812
1,lisätty,0.635,kartasta,0.62,kartasta,0.673
2,öhmanin,0.612,kalewala,0.618,kartasto,0.67
3,lukemisia,0.611,tilasto,0.614,taulu,0.663
4,teos,0.603,kartan,0.613,seinäkartta,0.652
5,selitetty,0.599,maantieto,0.612,kartalla,0.651
6,kirjakaupoissa,0.592,teos,0.601,asemakartta,0.639
7,painosta,0.592,sanakirja,0.597,karttateos,0.622
8,kirjasto,0.589,lukukirja,0.596,nimilehti,0.62
9,sisältää,0.587,mihko,0.593,kartan,0.611
10,kirja,0.583,oppikirja,0.592,sisällysluettelo,0.606
11,his,0.566,lvihko,0.586,rekisteri,0.602
12,suomennos,0.566,painos,0.583,jäljennös,0.599
13,lyhy,0.565,kirjanen,0.582,kartat,0.598
14,karttaa,0.565,käsikirja,0.581,ainehisto,0.589
15,kaupasta,0.563,tilastollinen,0.581,luettelo,0.588
16,kaupassa,0.561,tirja,0.578,asemapiirros,0.583
17,suomennettu,0.559,wihko,0.577,tilasto,0.58
18,suomenmaan,0.556,kieli-oppi,0.57,piirros,0.579
19,lyhykäinen,0.555,taulu,0.567,kartassa,0.576
20,kertomus,0.554,mihto,0.567,kirja,0.575
21,wihko,0.553,nios,0.566,matrikkeli,0.574
22,toimitettu,0.551,lukemisto,0.563,tartta,0.569
23,kirjakauppaan,0.551,osoitus,0.562,kirjanen,0.568
24,käsikirja,0.543,piplia,0.561,lisäwihko,0.567
25,johdatus,0.542,kielioppi,0.561,kirjaluettelo,0.564
26,suonien,0.534,historia,0.56,johdanto,0.564
27,kirjapainosta,0.534,lirja,0.559,koloelma,0.562
28,passa,0.533,arkisto,0.557,karttoja,0.56
29,suomeu,0.532,wihlo,0.557,historia,0.559
30,osoituksia,0.53,matkustus,0.552,tauln,0.559
31,kartan,0.529,kustantama,0.546,yleiskartan,0.55
32,sidottuna,0.527,johdanto,0.544,kansilehti,0.548
33,historia,0.526,johdatus,0.543,hakemisto,0.547
34,niottuna,0.519,kertomus,0.541,almanakka,0.547
35,luettelo,0.518,taksa,0.539,sanaluettelo,0.545
36,kokonainen,0.515,luettelo,0.538,käsikirja,0.543
37,kirjallisuus,0.513,wihto,0.538,fasaadi,0.543
38,saksasta,0.509,käännös,0.533,teos,0.542
39,helsingissa,0.508,kuwa,0.533,kuvasto,0.54
40,seuralta,0.508,vihko,0.523,yhteenmeto,0.54
41,painos,0.508,biblia,0.523,kertomus,0.539
42,aamurusko,0.506,kalemala,0.521,simua,0.539
43,ohman'in,0.503,aikakauskirja,0.52,kokoelma,0.537
44,kirjapuodissa,0.498,hiuta,0.519,alkulause,0.536
45,kielestä,0.496,jakso,0.519,kartalle,0.536
46,tekemä,0.496,markka,0.518,luokitus,0.535
47,kaunistettu,0.495,maantiede,0.518,kartastoa,0.534
48,kustannuksella,0.492,historiasta,0.517,pamiljonki,0.533
49,snomen,0.49,suomennoksia,0.516,suunnitelma,0.532
50,selitys,0.49,painoksesta,0.51,almanalla,0.531
