,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,liittokunta,0.819,kuningaskunta,0.843
1,sotalaiwasto,0.808,waltakunta,0.826
2,maltakunta,0.803,ruhtinaskunta,0.811
3,valtakunta,0.783,valtakunta,0.806
4,waltakunta,0.779,saksanmaa,0.799
5,egypti,0.76,waltiomuoto,0.798
6,pääkaupunki,0.732,polititi,0.795
7,hallitsia,0.729,maltakunta,0.791
8,tasawalta,0.727,wapaawalta,0.781
9,hallitsija,0.726,politiikki,0.78
10,sotawoima,0.725,maltatunta,0.778
11,laiwasto,0.723,maltalunta,0.778
12,ruhtinaskunta,0.722,tasamaita,0.776
13,saksalle,0.718,politiikka,0.775
14,sotawäti,0.718,hallitusmuoto,0.774
15,unkari,0.714,politili,0.772
16,salsa,0.705,maakunta,0.752
17,puola,0.702,politiki,0.749
18,itsenäisyys,0.7,mapaamalta,0.743
19,saksanmaa,0.698,tasawalta,0.743
20,sotalaimasto,0.696,politiiki,0.743
21,liitto,0.695,kolminaisliitto,0.743
22,tanska,0.69,itsenäisyys,0.743
23,sotajoukko,0.684,ulkopolitiikka,0.74
24,englandin,0.683,monarkia,0.739
25,ranska,0.682,hallitsija,0.736
26,wenäjä,0.679,maltiomuoto,0.732
27,englandi,0.677,perustuslaki,0.731
28,itäwalta,0.675,yliherruus,0.729
29,laimasto,0.673,hallitsijasuku,0.728
30,armeija,0.671,hallitsin,0.726
31,italia,0.671,wenäjä,0.725
32,itäwallau,0.67,armeija,0.724
33,weuäjä,0.67,armeja,0.723
34,sotamoima,0.669,maakunnaksi,0.722
35,sotamäti,0.667,alusmaa,0.721
36,persia,0.666,venäjä,0.721
37,wcnäjä,0.665,waltalunta,0.718
38,perustuslaki,0.664,wallankumous,0.718
39,sotawäki,0.663,kolmiliitto,0.715
40,suitani,0.663,sotalaitos,0.714
41,kuningaskunnan,0.663,ranska,0.714
42,hallitns,0.663,oikeuslaitos,0.713
43,tasamaita,0.662,brasilia,0.713
44,europa,0.662,wenäja,0.712
45,sotamäki,0.659,nenäjä,0.711
46,saksa,0.659,waltatunta,0.711
47,ministeristö,0.658,mallankumous,0.707
48,menäjä,0.657,itäwalta-unkari,0.706
49,wallasta,0.656,miehitys,0.706
50,ministeristä,0.656,sotalaimasto,0.705
51,venäjä,0.655,wenajä,0.705
52,portugalin,0.653,autonomia,0.705
53,hallitusmuoto,0.652,hallitsia,0.701
54,espanja,0.65,alusmaaksi,0.7
55,belgia,0.649,suurwalta,0.7
56,preussi,0.647,niemimaa,0.699
57,ranskalle,0.646,vallankumous,0.698
58,valtakunnassa,0.645,sotalaiwasto,0.693
59,waltakunnassa,0.643,kuningaskuntaan,0.691
60,englannille,0.643,tasavalta,0.691
61,knningas,0.642,liittokunta,0.691
62,preussille,0.641,ylimalta,0.689
63,satsan,0.641,emämaa,0.688
64,kuninkaalla,0.64,englandi,0.688
65,tuningas,0.64,itaalia,0.687
66,sles,0.638,maakuntana,0.684
67,nanskan,0.637,ritarikunta,0.684
68,serbia,0.636,itämaita,0.683
69,lähettiläs,0.634,pääkaupunki,0.682
70,pääministeri,0.634,unkarille,0.682
71,sotawäli,0.632,saksa,0.681
72,englanti,0.632,sotamoima,0.68
73,waltakunnan,0.632,tasamalta,0.68
74,turkinmaalla,0.632,preussi,0.68
75,sultaani,0.631,preussille,0.679
76,franska,0.631,sotajoukko,0.679
77,teisari,0.631,sisilia,0.678
78,ministerikunta,0.63,kuningaskunnan,0.676
79,maakunta,0.63,maltioksi,0.676
80,itämaita,0.627,kansakunta,0.675
81,hallitsijaksi,0.627,montenegro,0.675
82,hollanti,0.625,tullitariffi,0.674
83,sota,0.625,politiilla,0.673
84,nenäjä,0.624,diplomatia,0.673
85,alueelle,0.624,liittolainen,0.673
86,franskan,0.624,bulgaria,0.673
87,espanian,0.622,franska,0.673
88,itälvallan,0.622,ncnäjä,0.672
89,kuninkaaksi,0.621,ministeristo,0.672
90,bul,0.621,itäwalta-,0.672
91,maakunnat,0.621,egypti,0.671
92,armeja,0.62,italia,0.671
93,mallasta,0.62,malloitus,0.67
94,itäwallan,0.619,fransla,0.67
95,puolue,0.619,mallaksi,0.67
96,bulgaria,0.619,serbia,0.669
97,sleswigin,0.618,belgia,0.669
98,parlamentissa,0.617,ylimystö,0.669
99,bosnia,0.617,rauhanliitto,0.667
