,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,majest,0.77,ruhtinas,0.836,kenrali,0.929,tenrali,0.91
1,keisari,0.764,päällysmies,0.827,kcnrali,0.886,lenrali,0.898
2,kuninkas,0.746,amiraali,0.814,lenrali,0.885,kenrali,0.893
3,läksi,0.744,päämies,0.787,tenrali,0.862,keuraali,0.886
4,keisarin,0.728,ministeri,0.763,keuraali,0.858,tenraali,0.877
5,kaupunkissa,0.726,armeijan,0.752,amiraali,0.843,lenraali,0.868
6,pidettiin,0.686,herttua,0.751,pasha,0.835,kcnrali,0.86
7,majestetinsä,0.678,öwersti,0.748,amirali,0.829,leuraali,0.856
8,ruumis,0.675,sotajoukon,0.744,ylipäällikkö,0.828,amiraali,0.85
9,tapahtui,0.657,keisarin,0.738,gurko,0.818,tcnraali,0.839
10,kau,0.655,prinsi,0.733,pascha,0.815,ewersti,0.83
11,kaarlo,0.653,raali,0.73,sotaministeri,0.806,sotaministeri,0.83
12,kuussa,0.653,kreimi,0.727,kenr,0.802,majori,0.829
13,wiellä,0.651,ömersti,0.724,bazaine,0.796,majuri,0.822
14,pe,0.65,lord,0.721,ismail,0.791,wissmann,0.822
15,miehensä,0.637,napoleon,0.717,genraali,0.787,keurali,0.821
16,tapaus,0.636,pasja,0.716,skobelem,0.785,emersti,0.82
17,kirkon,0.631,konstantin,0.712,ruhtinas,0.777,lcnraali,0.817
18,kuului,0.631,keisari,0.711,pasja,0.771,amirali,0.805
19,puolan,0.631,kuningatar,0.709,ylipäälliköksi,0.765,ömersti,0.799
20,mennyt,0.625,päällikkö,0.708,grant,0.762,saussier,0.798
21,samassa,0.622,keisarinna,0.707,krcimi,0.761,ewcrsti,0.795
22,käskyn,0.616,päällys,0.707,ahmed,0.76,varatieri,0.794
23,kylän,0.613,keisarille,0.706,todleben,0.76,dodds,0.793
24,otettiin,0.602,majori,0.692,treimi,0.759,emcrsti,0.792
25,iltana,0.598,greiwi,0.692,suleiman,0.758,fenrali,0.791
26,tuli,0.598,keisaria,0.686,trochu,0.754,cwersti,0.791
27,tykö,0.593,pääkaupunkiin,0.683,emersti,0.753,treimi,0.787
28,illalla,0.591,ruh,0.675,prim,0.751,gallifet,0.787
29,samana,0.586,paroni,0.67,lreimi,0.749,pasha,0.786
30,tullut,0.585,wcnäjän,0.659,kaukasian,0.748,sung,0.784
31,poikansa,0.578,kapteeni,0.656,kreimi,0.742,majuuri,0.784
32,kuninkaan,0.577,kreiwi,0.652,sotajoukon,0.74,treiwi,0.784
33,helmik,0.574,venäjän,0.648,roberts,0.739,baldissera,0.783
34,pietari,0.574,up,0.637,etujoukko,0.736,cmersti,0.781
35,isänsä,0.573,kuninkaan,0.632,marsalkki,0.736,meriministeri,0.781
36,maalle,0.573,semastopolin,0.627,suleiman-pasha,0.735,kreitvi,0.781
37,yhden,0.57,ranskalaisten,0.625,skobelew,0.735,lreilvi,0.78
38,kaupunki,0.567,linnaan,0.622,adjutantti,0.734,kenraaliluutnantti,0.779
39,asui,0.566,laimasto,0.62,muktar,0.733,gurko,0.779
40,toukkok,0.562,turkkilaisia,0.617,pashan,0.732,leniaali,0.776
41,keisarillinen,0.559,laiwasto,0.614,ylipäällikön,0.729,kaulbars,0.776
42,jäl,0.558,englantilaisten,0.613,treiwi,0.727,kreiivi,0.775
43,käwi,0.558,kuningas,0.613,osman,0.727,bey,0.774
44,miellä,0.557,sardinian,0.612,kenraa,0.726,veyler,0.774
45,jätti,0.556,upseeri,0.609,osman-pasha,0.723,krciwi,0.773
46,suurella,0.555,parisissa,0.609,garibaldi,0.722,lreimi,0.773
47,kanssa,0.554,asiamies,0.609,gambetta,0.72,öwersti,0.773
48,joutui,0.554,sotajoukko,0.606,shan,0.718,pascha,0.773
49,talonpojan,0.553,turkin,0.605,midhat,0.718,elversti,0.772
50,kesäk,0.553,luutnantti,0.604,ruhtiuas,0.717,krciivi,0.771
51,ajoi,0.552,sotamäkeä,0.601,lreiwi,0.716,öwersli,0.769
52,ruhtinas,0.55,nikolai,0.601,ewersti,0.715,barttelot,0.769
53,sa,0.55,kuninkaalle,0.598,kreilvi,0.713,lreiwi,0.769
54,yöllä,0.549,krimiin,0.598,komentaja,0.713,duchesne,0.769
55,sai,0.548,sotamäki,0.595,armeijan,0.711,öwcrsti,0.768
56,huhtik,0.547,krimin,0.593,tykistön,0.71,marsalkka,0.768
57,marrask,0.542,majest,0.591,lähettiläs,0.704,presidentti,0.767
58,jona,0.542,sar,0.591,jalkawäen,0.704,martinez,0.767
59,peräti,0.541,tappelun,0.59,kolonna,0.703,purooni,0.766
60,hänen,0.537,englannin,0.589,jalkamäen,0.702,kreiwi,0.765
61,joen,0.536,pariisissa,0.589,trcimi,0.697,wolseley,0.764
62,yhen,0.533,sotawäki,0.586,preussilainen,0.696,komentaja,0.764
63,matkaa,0.529,johdolla,0.586,lord,0.693,ölversti,0.763
64,syysk,0.527,persian,0.585,kabuliin,0.693,bobritoff,0.762
65,keskellä,0.526,tappelussa,0.583,kenraalin,0.692,emersli,0.761
66,löi,0.525,mihollinen,0.582,marsalkka,0.691,cmcrsti,0.759
67,maalisk,0.52,wienissä,0.581,konstantinopoliin,0.691,ewersli,0.759
68,kans,0.519,kapinan,0.581,mahmud,0.69,kreimi,0.758
69,lokak,0.517,gas,0.58,kreiwi,0.69,omersti,0.758
70,jälleen,0.516,sotamäen,0.58,krciwi,0.689,zurlinden,0.758
71,sitte,0.515,preussin,0.578,rykmentti,0.687,yleisesikunnan,0.757
72,nähtiin,0.515,napoleonin,0.577,gurkon,0.686,teuraali,0.756
73,kanssansa,0.514,liittolaisten,0.577,kreivi,0.686,kenraal,0.756
74,ittensä,0.514,neapelin,0.577,emiiri,0.686,lenraall,0.756
75,elok,0.513,aleksanteri,0.576,konstanti,0.686,garcia,0.755
76,suuri,0.513,kapteini,0.575,kabulin,0.685,ömcrsti,0.753
77,tässä,0.51,sotawäkeä,0.575,metzin,0.684,lumsden,0.753
78,keen,0.509,tap,0.574,mac,0.683,skobelem,0.752
79,sodan,0.509,kiinaan,0.574,turkkilainen,0.683,negrier,0.752
80,armossa,0.508,itämallan,0.572,sisä-asiain,0.681,waldersee,0.752
81,aamulla,0.508,kiinan,0.571,armeija,0.68,kreiroi,0.752
82,kaupunkiin,0.508,vihollinen,0.571,presidentti,0.68,ömersli,0.751
83,seisoi,0.505,itäwallan,0.569,konstantino,0.679,krcilvi,0.751
84,paikassa,0.505,turk,0.569,konstan,0.679,oikeusministeri,0.75
85,löysi,0.503,keisa,0.568,karsin,0.678,weyler,0.749
86,mennä,0.499,paawi,0.568,wieniin,0.677,maaherra,0.748
87,astui,0.497,vihollisen,0.568,raali,0.677,sotamarsalkka,0.746
88,kahden,0.496,nenäen,0.566,pääministeri,0.675,lenraaliadjutantti,0.745
89,kylässä,0.494,niemellä,0.566,ylipääl,0.675,kenra,0.745
90,majesteetinsä,0.494,linnasta,0.563,emiri,0.674,cwcrsti,0.744
91,lääniin,0.493,turkinmaalta,0.562,prinssi,0.674,werder,0.744
92,yhdessä,0.491,englanti,0.562,turkkilaisen,0.672,fenraali,0.744
93,sattui,0.491,edustalla,0.559,ministeri,0.672,trciwi,0.744
