,fi_1880,fi_1880_d
0,asemelmollisuuslaki,0.594
1,jakso,0.591
2,koulupakko,0.585
3,keskiaikana,0.578
4,hallitusmuoto,0.571
5,metsälaki,0.568
6,uskonpuhdistus,0.566
7,oppipakko,0.559
8,maantiede,0.559
9,rikoslaki,0.556
10,asemelmollisuus,0.554
11,ulosottolaki,0.553
12,johdanto,0.553
13,holhouslaki,0.552
14,itsehallinto,0.552
15,jalso,0.552
16,luonnonoppi,0.55
17,uskonpuhdistuksen,0.547
18,aikakausi,0.54
19,hallituskausi,0.539
20,historia,0.534
21,lakiteos,0.532
22,uskontunnustus,0.529
23,painomapaus,0.527
24,kieltolaki,0.527
25,kirjakieli,0.527
26,kansanopetus,0.525
27,ajanlasku,0.524
28,keskiajan,0.52
29,wiinalaki,0.52
30,kristinoppi,0.52
31,koraalikirja,0.519
32,uskonto,0.518
33,eriuskolaislaki,0.515
34,järjestysmuoto,0.514
35,pakanallinen,0.513
36,luonnonhistoria,0.513
37,asevelvollisuuslaki,0.512
38,jatso,0.512
39,maaorjuus,0.511
40,rytmillinen,0.51
41,vuosisata,0.51
42,yhteiskuntajärjestys,0.51
43,lainsäädäntö,0.508
44,perustuslaki,0.507
45,tullitaksa,0.507
46,wuosisata,0.507
47,järjestelmä,0.506
48,edustuslaitos,0.506
49,uudempi,0.506
50,ajanjakso,0.506
51,laki,0.505
52,asevelvollisuus,0.504
53,merilaki,0.503
54,oppiaine,0.501
55,luonnonomainen,0.5
56,kunnallisasetus,0.498
57,autonomia,0.497
58,kirkollinen,0.496
59,keskiajalla,0.496
60,asetus,0.496
61,metsästysasetus,0.494
62,opetustoimi,0.494
63,koululaki,0.493
64,uudistus,0.492
65,waltiomuoto,0.491
66,miina-asetus,0.491
67,asewelwollisuuslaki,0.49
68,uskonkappale,0.489
69,orjuus,0.487
70,metsästyslaki,0.486
71,pääkappale,0.486
72,aate,0.485
73,sotalaitos,0.484
74,tähtitiede,0.482
75,kansankirkko,0.481
76,painolaki,0.48
77,malitusmaliokunta,0.48
78,pykäle,0.479
79,kirkkolaki,0.478
80,mirsikirja,0.478
81,tieliasetus,0.477
82,epistola,0.477
83,maantieto,0.477
84,katekismo,0.477
85,kirjallisuus,0.477
86,lati,0.476
87,lirjallisuus,0.476
88,hakemisto,0.476
89,metrijärjestelmä,0.476
90,järjestys,0.475
91,meljeys,0.474
92,uskonoppi,0.474
93,hallinnollinen,0.474
94,yhteiskuntalaitos,0.474
95,äänioikeus,0.473
96,luonnontieto,0.472
97,suuriruhtinaanmaalle,0.472
98,peri-aate,0.471
99,sääntö,0.471
