,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,halli,0.629,keskustelu,0.753,testus,0.893
1,esille,0.625,keskusteluja,0.682,leskus,0.881
2,saksanmaan,0.619,kuulus,0.681,kestus,0.881
3,yhteyteen,0.604,keskusteleminen,0.664,keskns,0.87
4,keskustelemaan,0.602,keskustelut,0.663,teskus,0.863
5,maltain,0.601,kysymyksestä,0.661,keslus,0.857
6,liittoon,0.599,ehdo,0.644,lestus,0.854
7,europa,0.593,tais,0.641,teslus,0.846
8,preussi,0.586,ehdoi,0.639,leslus,0.835
9,italian,0.58,keskusteltiin,0.636,keskus-,0.816
10,liitto,0.58,keskustelua,0.63,lcslus,0.809
11,hallituk,0.577,keskusteltu,0.628,kuulus,0.773
12,yhdis,0.574,kysymyksistä,0.621,kcskus,0.765
13,wenäjä,0.573,keskusteltaessa,0.618,ehdo,0.762
14,ranska,0.57,keskustellaan,0.608,ehdoi,0.762
15,liittokunnan,0.568,kcs,0.599,kinas,0.759
16,päättämään,0.566,keskustelusta,0.597,chdoi,0.745
17,malta,0.566,äänestys,0.595,arivos,0.738
18,paami,0.565,keskustelussa,0.59,fesfus,0.738
19,europan,0.563,keskusteluun,0.59,tiedus,0.737
20,sotamäki,0.561,tiedus,0.589,tarkas,0.737
21,itämältä,0.554,kokouksen,0.588,pohjus,0.732
22,maltakunnan,0.553,keskustelun,0.587,tuulus,0.723
23,sardinia,0.549,istunto,0.585,lakiehdo,0.723
24,papisto,0.546,keskusteltamaksi,0.581,muutosehdo,0.719
25,englanti,0.543,chdoi,0.578,sääntöehdo,0.712
26,tukset,0.541,keskustella,0.575,ehdo-,0.707
27,käytöksestä,0.538,kysy,0.574,huomau,0.705
28,nenäen,0.537,kysymysten,0.572,ehdo^,0.699
29,tarkoituksena,0.536,kustelu,0.571,ehoo,0.697
30,valtakunnan,0.533,telu,0.571,arlvos,0.696
31,itäwalta,0.532,istunnoissa,0.57,ehdu,0.695
32,paamin,0.531,kysymystä,0.57,puheenjoh,0.691
33,kokouksesta,0.53,lotous,0.561,tutkis,0.691
34,hallitukset,0.525,aatelissäädyssä,0.561,ehda,0.684
35,itämallan,0.524,lysy,0.557,seurus,0.684
36,kaikkien,0.523,ratkai,0.556,tarlas,0.684
37,edusmiehet,0.521,keskustel,0.556,suunnit,0.68
38,hallitusta,0.52,keskusteltavaksi,0.555,luulus,0.678
39,liit,0.518,tarkas,0.554,tais,0.67
40,sotaan,0.517,kokons,0.553,anomusehdo,0.67
41,muidenkin,0.516,keskustellessa,0.55,muistu,0.669
42,mukana,0.516,kotous,0.548,tårtas,0.669
43,teiden,0.511,keskuste,0.547,asetusehdo,0.667
44,yhteyden,0.51,kysymyksen,0.547,äänirajoi,0.667
45,kuningatar,0.508,valiokunnassa,0.546,ehbo,0.666
46,asiamiehet,0.504,keskusteltua,0.545,keho,0.663
47,wienissä,0.502,kokoukseu,0.544,tartas,0.663
48,sardinian,0.502,mietinnöstä,0.542,kaksintais,0.662
49,maiden,0.502,keskustelemaan,0.541,harjoi,0.662
50,asiain,0.5,keskusteluita,0.541,chdo,0.66
51,hallituksessa,0.499,keskusteltawaksi,0.537,tarkoi,0.659
52,puolustaa,0.497,käsiteltämäksi,0.536,maiku,0.657
53,kansansa,0.497,kes,0.533,arwos,0.655
54,valta,0.497,istunnon,0.532,asianharras,0.655
55,hallituksen,0.496,kokous,0.532,kirjoi,0.655
56,yhteyttä,0.496,pyyntö-esityksiä,0.531,moimis,0.654
57,kansain,0.495,istunnossa,0.531,muodos,0.654
58,liiton,0.494,tutkimus,0.53,aloi,0.654
59,osalliseksi,0.493,chdo,0.523,kehoi,0.651
60,asioihin,0.493,puhe,0.523,suunni,0.65
61,kaussa,0.493,äänestyksellä,0.522,osanot,0.649
62,ruotsi,0.492,lysymys,0.522,valtuu,0.649
63,seudun,0.491,lausunnossa,0.521,maltuu,0.648
64,suosiolla,0.487,päätettäwäksi,0.519,anomus-ehdo,0.648
65,rauhaan,0.487,kysymykset,0.518,lope,0.645
66,järjestykseen,0.486,lokous,0.518,voimis,0.643
67,heidäu,0.486,lausunnosta,0.517,raittiusharras,0.643
68,esitellä,0.485,istuntoa,0.517,esitysehdo,0.642
69,tuksesta,0.485,totous,0.517,sommi,0.642
70,sellä,0.484,ryhdyttiin,0.514,chdu,0.641
71,likemmin,0.484,telut,0.512,perus,0.641
72,paawi,0.484,kysymyksiä,0.511,vaalitoimi,0.639
73,tuumat,0.483,keskustele,0.51,odo,0.638
74,hallitukselle,0.483,kongressin,0.509,maanviljelyshalli,0.637
75,sääntöjä,0.482,chdoitus,0.508,torkas,0.636
76,napoleon,0.482,malio,0.507,anvos,0.632
