,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kielelle,0.76,tieli,0.846,tieli,0.866
1,kieltä,0.744,lieli,0.802,lieli,0.832
2,kieleen,0.719,kansallisuus,0.787,ticli,0.825
3,kirjallisuus,0.713,kielen,0.756,licli,0.797
4,kielessä,0.677,kielinen,0.706,kielikin,0.79
5,kansa,0.673,kielenä,0.698,kirjakieli,0.775
6,kielemme,0.668,kieltä,0.697,kielenä,0.731
7,kielen,0.665,kieleksi,0.688,kansankieli,0.722
8,suomenmaa,0.655,kansa,0.683,kansallisuus,0.707
9,kansalta,0.642,suomenkieli,0.682,puhekieli,0.704
10,kansalla,0.641,kieleen,0.682,kieleksi,0.691
11,kansan,0.62,tielen,0.679,erikoisasema,0.68
12,simistys,0.613,kielessä,0.676,kieleltä,0.678
13,siwistys,0.609,kansakin,0.674,kieleen,0.671
14,kielestä,0.597,kielelle,0.673,separatismi,0.671
15,kansassa,0.593,kausa,0.672,kielen,0.67
16,suomenkieli,0.592,simistys,0.665,suomenkieli,0.669
17,kielten,0.591,kielet,0.662,kieleu,0.666
18,soitto,0.589,siwistys,0.661,kicli,0.665
19,äitimme,0.583,lielen,0.655,käsityskanta,0.664
20,suomemme,0.581,ruotsalaisuus,0.649,kielinen,0.663
21,kielellä,0.574,kansallisuuden,0.648,saksankieli,0.661
22,kieltämme,0.574,latina,0.646,ticlcn,0.659
23,suomalaisuuden,0.571,kielemme,0.644,katsantotapa,0.656
24,kie,0.57,suomi,0.64,fieli,0.652
25,suomea,0.568,sanomakirjallisuus,0.634,virkakieleksi,0.651
26,suomalaisilla,0.566,kirjallisuus,0.628,kansallistunto,0.651
27,ruotsi,0.564,suomalaisuus,0.624,kulttuuri,0.651
28,kristillisyys,0.558,kansalla,0.623,katsantokanta,0.65
29,sanoissa,0.55,kansakunta,0.622,kirjallisuus,0.648
30,historia,0.547,oppiminen,0.617,kielet,0.647
31,kielistä,0.546,kansallinen,0.614,ylimalta,0.646
32,puhdas,0.543,kielten,0.609,puhekielenä,0.645
33,kielillä,0.543,silvistys,0.609,lielinen,0.645
34,ruotsia,0.543,luonne,0.605,kieltä,0.644
35,juur,0.535,kansan,0.604,wirkakielenä,0.643
36,suomelle,0.534,kielissä,0.604,kielisenä,0.642
37,historiassa,0.531,tieltä,0.602,logiikka,0.641
38,kansallinen,0.53,kielien,0.601,latina,0.641
39,luonto,0.523,ruotsi,0.599,venäjänkieli,0.639
40,runon,0.523,kielellä,0.599,edustuslaitos,0.639
41,mielessä,0.521,kansassa,0.595,menäjä,0.638
42,sääty,0.521,walistus,0.593,yliwalta,0.636
43,lellä,0.519,uskonto,0.593,lielenä,0.635
44,suomi,0.517,ruotsinkieli,0.592,näkökanta,0.633
45,kansamme,0.515,edistys,0.59,uskonto,0.633
46,opetus,0.515,historiansa,0.589,virkakielenä,0.631
47,puhe,0.512,tielellä,0.588,periaate,0.631
48,rahmas,0.51,sotalaitos,0.587,kielelle,0.631
49,historiaa,0.508,kirjallisuudessa,0.586,kansallistunne,0.631
50,puheessa,0.507,snomi,0.586,tasa-armoisuus,0.629
51,selwä,0.505,kouluissamme,0.586,silvistys,0.628
52,ajatus,0.505,lielellä,0.585,kulturi,0.625
53,perustus,0.504,ruotsinkielen,0.584,tasa-arwoisuus,0.625
54,sanojen,0.502,historiassa,0.58,äidinkieli,0.625
55,laulu,0.5,lenä,0.579,kieltäkin,0.625
56,kielensä,0.5,kielisiä,0.579,virkakieli,0.623
57,järki,0.5,oikeuksiinsa,0.579,liclen,0.622
58,lause,0.499,opetuskieleksi,0.578,ruotsinkieli,0.62
59,kansallisuuden,0.499,luonnollisiin,0.574,runomitta,0.62
60,maassa,0.498,kansallisuutta,0.573,käsitys,0.618
61,latinan,0.498,kielisen,0.572,mielisissä,0.618
62,ymmärrys,0.498,liettä,0.572,lietenä,0.617
63,todella,0.496,historian,0.571,pääkielenä,0.616
64,rahwas,0.491,malistus,0.568,historia,0.615
65,historiasta,0.491,valistus,0.566,intelligenssi,0.615
66,mielestämme,0.49,edistyminen,0.564,tielen,0.614
67,kansasta,0.485,kielensä,0.563,muoto,0.613
68,mieli,0.483,opetus,0.563,siivistys,0.613
69,rikkaus,0.481,kielin,0.563,siwistys,0.612
70,kirjoissa,0.48,opetuskieli,0.559,lielelsi,0.612
71,suomalainen,0.48,perustuslait,0.557,simistys,0.611
72,tys,0.479,kausan,0.553,lieleu,0.611
73,kirjalli,0.479,pohjana,0.553,lielcn,0.611
74,mielen,0.478,kieli-,0.55,liclcn,0.611
75,kansalle,0.473,ajatus,0.55,suuriruhtinaskunta,0.611
76,käyttäminen,0.472,saloissa,0.549,ruotsi,0.61
77,laki,0.472,harrastus,0.548,kieliseksi,0.607
78,yleinen,0.472,aate,0.547,lirjallisuus,0.607
79,suomalaisissa,0.471,kielisten,0.545,maakuntana,0.606
80,muoto,0.471,äidinkieli,0.544,fimistys,0.606
81,raaka,0.47,kristillisyys,0.544,kaksikielisyys,0.606
82,totuus,0.469,suomenmaa,0.543,asemelmollisuuslaki,0.605
83,paljas,0.469,pääkaupunki,0.541,peri-aate,0.605
84,edis,0.469,kielistä,0.541,simislys,0.602
85,his,0.467,katsantotapa,0.541,papistossa,0.6
86,suloinen,0.467,suomella,0.541,kansallishenki,0.599
87,maailma,0.467,pyrintö,0.54,kirjoitustapa,0.599
88,hengellinen,0.466,lisyys,0.54,kielestä,0.598
89,simis,0.464,länsan,0.539,lakikirja,0.598
90,ymmärretään,0.463,totuus,0.539,edustajissa,0.597
91,kirjallisuutta,0.462,mieli-ala,0.538,opetustapa,0.596
92,suomalaisten,0.462,suomenkielen,0.537,käsitystapa,0.595
93,omituinen,0.46,äidinkielen,0.537,murre,0.594
94,heissä,0.46,kieliset,0.536,maltiomuoto,0.594
95,tunto,0.459,oppikouluissa,0.535,oikeudentunto,0.593
96,historian,0.458,siwistyksessä,0.534,mapaamielisyys,0.592
97,epäilemättä,0.458,puhuminen,0.533,erikoisaseman,0.592
98,äidin,0.456,kieltämme,0.533,kielisessä,0.592
99,kielet,0.456,muoto,0.532,tasa-arwo,0.591
