,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lause,0.685,kirjotus,0.873,kirjotus,0.87
1,muistutus,0.674,tirjoitus,0.751,kirjoitns,0.865
2,kirje,0.667,tirje,0.726,tirjoitus,0.862
3,sanomalehti,0.654,lirje,0.723,tirjotus,0.855
4,ruotsalainen,0.648,suomennettuna,0.701,lirjoitus,0.834
5,lehdessä,0.635,lause,0.697,lirjotus,0.821
6,toimitukselle,0.629,päällekirjoitus,0.696,kirioitus,0.811
7,kirjoituksessa,0.625,joitus,0.667,lirioitus,0.797
8,sanomalehdessä,0.622,kirje,0.662,tirjoitns,0.796
9,kirjoituksesta,0.608,taulu,0.649,kirjoilus,0.789
10,kirjoitettu,0.595,kirjoituksen,0.648,mastine,0.78
11,kirjoittaja,0.595,tirja,0.64,lirjoilus,0.775
12,kirja,0.589,kirjainen,0.637,lirjoitns,0.77
13,seuraama,0.588,kirjanen,0.63,kyhäelmä,0.769
14,sana,0.583,mastans,0.626,kirjoitua,0.742
15,sanomalehden,0.579,sana,0.621,tirjoilus,0.741
16,kertomus,0.578,mäitös,0.619,liijoitus,0.737
17,eräästä,0.576,vastaus,0.616,kyhäys,0.735
18,suomettaressa,0.573,kirja,0.616,artikkeli,0.731
19,suomettaren,0.573,käännös,0.61,pääkirjoitus,0.729
20,lönnrotin,0.571,kirjoitukseen,0.61,päällekirjoitus,0.726
21,saksalainen,0.57,luettawana,0.61,tirje,0.714
22,mainitsee,0.569,kiertokirje,0.605,uutinen,0.712
23,kirjoituksen,0.56,pöytäkirja,0.603,lause,0.711
24,ruotsiksi,0.559,selitys,0.603,liljoitus,0.703
25,kirjassa,0.558,nimimerkki,0.602,kiertokirje,0.7
26,numerossa,0.558,puhe,0.599,asiakirja,0.699
27,selitys,0.557,kirjoituksesta,0.596,kirjanen,0.696
28,lyhykäisesti,0.555,wastaus,0.595,kirjelmä,0.693
29,suomeksi,0.555,wirhe,0.59,selitys,0.693
30,suomettarelle,0.554,kertomus,0.588,esipuhe,0.691
31,lähettäjä,0.553,juttu,0.588,selonteko,0.69
32,seuraawa,0.549,kehoitus,0.585,referaatti,0.689
33,nimi,0.548,esitys,0.578,asiapaperi,0.682
34,sanomain,0.542,vastalause,0.576,pätkä,0.682
35,sanomien,0.538,nimitys,0.574,firjoitus,0.681
36,puhe,0.535,kertomuksessa,0.573,alkulause,0.675
37,suometar,0.535,ehdotus,0.572,annostelu,0.674
38,kirjasta,0.535,ilmarisessa,0.572,kertomus,0.668
39,suomalainen,0.534,lirja,0.571,sepustus,0.667
40,toimitus,0.533,ehdoitus,0.569,otsakirjoitus,0.667
41,luettelo,0.529,lehdestä,0.566,mihkonen,0.664
42,runo,0.528,tapiossa,0.565,tirjc,0.661
43,sanomissa,0.525,lähettämä,0.564,lirje,0.659
