,fi_1880,fi_1880_d
0,autio,0.692
1,jänvi,0.664
2,erämaa,0.657
3,kukkula,0.649
4,puronen,0.64
5,järwi,0.631
6,metsikkö,0.63
7,pikkukaupunki,0.628
8,jylhä,0.624
9,uljas,0.617
10,lakeus,0.616
11,järmi,0.616
12,notko,0.614
13,lahdelma,0.613
14,ylänne,0.611
15,saari,0.61
16,sääski,0.61
17,kuusikko,0.607
18,kosteikko,0.607
19,metsäinen,0.603
20,kumpu,0.6
21,puro,0.592
22,niemeke,0.591
23,pienoinen,0.585
24,kukoistama,0.583
25,keskipiste,0.581
26,ruusupensas,0.581
27,kylpypaikka,0.58
28,järlvi,0.579
29,kiertolainen,0.578
30,järroi,0.578
31,ylänkö,0.578
32,luopa,0.577
33,joutsi,0.576
34,lintu,0.576
35,kinos,0.575
36,tunturi,0.572
37,kukoistava,0.572
38,immyt,0.572
39,kukkanen,0.571
40,tasanko,0.568
41,lammikko,0.567
42,soppi,0.567
43,linna,0.563
44,lauluinen,0.563
45,siinti,0.563
46,laakso,0.562
47,sinisilmä,0.561
48,lintunen,0.561
49,muuri,0.56
50,nokka,0.56
51,onnela,0.559
52,soukka,0.558
53,toimorikas,0.557
54,hedelmätön,0.557
55,wieremä,0.555
56,männikkö,0.554
57,äkkijyrkkä,0.552
58,sorja,0.551
59,pikkuinen,0.551
60,korppikotka,0.551
61,metsälampi,0.55
62,lemmitty,0.549
63,muinoinen,0.548
64,jykemä,0.546
65,virma,0.546
66,huuhtelee,0.545
67,mustasilmäinen,0.543
68,korskea,0.543
69,neito,0.543
70,tilka,0.543
71,matala,0.542
72,rantalainen,0.542
73,muinainen,0.539
74,sinertämä,0.539
75,hattara,0.539
76,nukki,0.539
77,kehto,0.538
78,mitsaus,0.537
79,suurellinen,0.537
80,särkilahti,0.537
81,lohikäärme,0.537
82,satamakaupunki,0.536
83,kamara,0.535
84,tukkainen,0.535
85,hedelmällinen,0.534
86,hongikko,0.534
87,alanko,0.533
88,valkonen,0.532
89,hento,0.532
90,maanosa,0.532
91,laatso,0.531
92,mahtuma,0.531
93,orama,0.531
94,silmäinen,0.53
95,eteläisin,0.53
96,jättiläinen,0.53
97,seutu,0.529
98,maankuulu,0.528
99,kaara,0.528
