,fi_1880,fi_1880_d
0,mihellys,0.629
1,vihellys,0.628
2,wihellys,0.626
3,kimääri,0.618
4,soittaminen,0.607
5,tykki,0.602
6,naputus,0.6
7,ällistys,0.595
8,komentosanat,0.588
9,seis,0.583
10,hurraahuuto,0.581
11,jyry,0.58
12,kolkutus,0.574
13,paukaus,0.574
14,astunta,0.574
15,paukahdus,0.572
16,rintamaan,0.572
17,sotahuuto,0.572
18,komanto,0.567
19,koputus,0.567
20,toitotus,0.565
21,jyräys,0.562
22,murina,0.56
23,pauke,0.559
24,upsieri,0.556
25,rintama,0.555
26,ääni,0.554
27,ääui,0.553
28,sysäys,0.553
29,timääri,0.553
30,riemuhuuto,0.553
31,sotakuri,0.551
32,jyske,0.55
33,komentosanoja,0.549
34,ryske,0.548
35,kalske,0.546
36,komppaniia,0.546
37,huutaminen,0.546
38,rakuunain,0.546
39,paradi,0.546
40,ratsumäti,0.545
41,signaali,0.545
42,seremonia,0.545
43,ratsumäki,0.544
44,tykistö,0.543
45,hurraa-huuto,0.543
46,ratsuwäli,0.543
47,hälinä,0.542
48,hurraa,0.542
49,juhlameno,0.542
50,miehistö,0.541
51,pyssyt,0.541
52,kolina,0.541
53,komennus,0.54
54,jytinä,0.54
55,hälytys,0.54
56,manöömeri,0.539
57,rintamassa,0.539
58,parahdus,0.539
59,sotajoukko,0.538
60,harjoituskentältä,0.538
61,upseeri,0.538
62,sota,0.538
63,ryntäys,0.537
64,kirkuna,0.537
65,sekamelska,0.537
66,parati,0.537
67,kuormasto,0.536
68,kokka,0.535
69,päällikkyys,0.535
70,melu,0.534
71,soutaminen,0.532
72,kumeasti,0.532
73,upseristo,0.531
74,pistimet,0.53
75,ratsuväki,0.529
76,kiljahdus,0.529
77,unimormu,0.529
78,kirkkomusiikki,0.528
79,jysäys,0.527
80,nyrkki,0.527
81,paraadi,0.527
82,marssiessa,0.527
83,pärinä,0.526
84,manaus,0.526
85,manööweri,0.526
86,ulmonta,0.525
87,paraatissa,0.524
88,rumpali,0.524
89,kersantti,0.524
90,lippn,0.523
91,plutoona,0.523
92,indiani,0.523
93,leikkisota,0.522
94,kiljunta,0.522
95,fanfaari,0.521
96,ratsujoukko,0.521
97,marseljeesi,0.521
98,pastorikin,0.521
99,käsky,0.521
