,fi_1880,fi_1880_d
0,konseptipaperia,0.778
1,kardusi-,0.777
2,konsepti-,0.747
3,nuottipaperia,0.723
4,kynänwarsia,0.709
5,virallista-,0.706
6,piirustus-,0.696
7,kopio-,0.694
8,kopia-,0.694
9,taskukirjoja,0.693
10,rihweleitä,0.693
11,kirjoitus-,0.69
12,kirjoitusi,0.686
13,kääre-,0.683
14,kopiokirjoja,0.67
15,muisti-,0.668
16,muistikirjoja,0.668
17,olifantti-,0.663
18,kartuusi,0.661
19,kartuusipaperia,0.661
20,paperia,0.66
21,kirjoitusmustetta,0.659
22,kirjoitus-mustetta,0.657
23,kiwitauluja,0.651
24,imupaperia,0.65
25,kutsumus-,0.649
26,etikettejä,0.647
27,kirjotus-,0.647
28,makulatuuri-,0.647
29,kartuusi-,0.646
30,koteloita,0.645
31,wiiwottimia,0.644
32,kirjepaperia,0.641
33,muistokirjoja,0.639
34,lyijykyniä,0.638
35,muistiinpanokirjoja,0.638
36,lyijy-,0.638
37,kyniä,0.637
38,postipaperia,0.636
39,tuschia,0.634
40,teräskyniä,0.633
41,piirustusvihkoja,0.633
42,musteastioita,0.63
43,värikyniä,0.629
44,mustetta,0.629
45,kuitti-,0.626
46,salkkuja,0.625
47,konnoissementtia,0.624
48,lasku-,0.621
49,laskuvihkoja,0.62
50,piirustuspaperia,0.62
51,kivikyniä,0.619
52,kirjekoteloita,0.618
53,kolmioita,0.618
54,mustepulloja,0.618
55,vekseli-,0.617
56,aperia,0.617
57,paino-,0.616
58,pulpetti-,0.615
59,käyntikortteja,0.613
60,rihveleitä,0.612
61,mustetolppoja,0.611
62,kynänvarsia,0.611
63,kirjekuoria,0.608
64,värilaatikoita,0.606
65,musteita,0.606
66,piirustustarpeita,0.605
67,tushia,0.601
68,paperiveitsiä,0.595
69,tilinteko-,0.595
70,lyijykynä,0.594
71,kirjeenkuoria,0.593
72,kirjoitustarpeita,0.593
73,vekselikaavoja,0.592
74,laskuwihkoja,0.592
75,kynäkotelolta,0.59
76,kivitauluja,0.589
77,viivottimia,0.588
78,harppia,0.586
79,penaalia,0.585
80,harppilaatikoita,0.583
81,kopiakirjoja,0.583
82,kopia,0.583
83,kouluvihkoja,0.582
84,hyllypaperia,0.582
85,konnoissementtiä,0.582
86,koteloja,0.579
87,velkakirja-,0.579
88,pullo-,0.579
89,pingoitus-,0.579
90,kirjoitusvihkoja,0.577
91,kirjanpito-,0.577
92,kirjoitua,0.577
93,taulusieniä,0.576
94,kuitti-blankettia,0.575
95,herbarioita,0.574
96,imu-,0.574
97,lankettia,0.572
98,penseleitä,0.572
99,pyhegummia,0.572
