,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,laitos,0.681,kansakoulu,0.864,kansakoulu,0.905
1,koulun,0.676,konlu,0.847,konlu,0.897
2,koulumestari,0.649,toulu,0.838,kouln,0.893
3,opetus,0.629,kouln,0.814,toulu,0.854
4,koulua,0.614,seminari,0.806,konln,0.853
5,seurakunta,0.588,oppilaitos,0.781,kiertokoulu,0.852
6,jako,0.569,opisto,0.761,tonlu,0.828
7,palkka,0.568,loulu,0.746,opisto,0.819
8,koulujen,0.564,kiertokoulu,0.737,lastenkoulu,0.819
9,kouluin,0.56,laitos,0.725,oppilaitos,0.818
10,toimi,0.558,opetuslaitos,0.724,koulukin,0.798
11,kouluissa,0.555,kansankoulu,0.718,loulu,0.793
12,erinäinen,0.552,tyttökoulu,0.714,lansatoulu,0.788
13,kirjasto,0.548,kiertämä,0.706,kansatoulu,0.78
14,kou,0.546,seminaari,0.704,kausakoulu,0.775
15,asettaminen,0.545,realikoulu,0.695,lansakoulu,0.773
16,koulussa,0.528,kouluksi,0.694,oppikoulu,0.772
17,toimitus,0.526,alkeiskoulu,0.692,tansatoulu,0.77
18,mustialan,0.524,opetus,0.688,pikkukoulu,0.768
19,toimeen,0.522,koulun,0.677,kansakonlu,0.76
20,seurakunnalle,0.521,pikkulasten,0.673,touln,0.758
21,opetusta,0.519,opettajisto,0.671,kansakonln,0.757
22,opettaja,0.519,oppikoulu,0.667,kansakouln,0.756
23,pappien,0.519,kouluu,0.661,kansaloulu,0.754
24,apu,0.513,tyttölasten,0.657,kansalaulu,0.748
25,kouluun,0.513,kansakoulun,0.654,liertoloulu,0.745
26,sunnuntai,0.512,alkeisopisto,0.653,koulutalo,0.742
27,jokaiseen,0.509,koulumme,0.652,lansaloulu,0.741
28,esitys,0.506,naiskoulu,0.652,kansakoulukin,0.739
29,opettajia,0.504,lyseo,0.648,mallikoulu,0.737
30,oppilaisten,0.5,koulua,0.644,tansakoulu,0.734
31,kouluja,0.499,ala-alkeiskoulu,0.643,jatkokurssi,0.729
32,suomenkieli,0.498,opettaja,0.633,seminaari,0.728
33,seurakunnan,0.498,opettaminen,0.63,pohjakoulu,0.727
34,testamentti,0.496,lukukausi,0.63,poikakoulu,0.718
35,koululle,0.492,työhuone,0.626,koulii,0.714
36,laina,0.491,kouluhallitus,0.625,opetuslaitos,0.707
37,toimituksessa,0.489,reali,0.625,tansaloulu,0.706
38,koulumestarin,0.488,semi,0.624,kansakoulunsa,0.705
39,kokous,0.487,kuuromykkäin,0.622,tonln,0.698
40,kirkonkokouksessa,0.485,koulut,0.621,tyttökoulu,0.698
41,koulut,0.481,ylhäisempi,0.621,meijeritoulu,0.696
42,aluksi,0.48,koululle,0.618,pientenlasten,0.696
43,asia,0.476,oppijakso,0.615,kansakoulumme,0.692
44,opet,0.476,opetuskieli,0.614,seminari,0.69
45,kirkko,0.476,kauppakoulu,0.613,iltakoulu,0.687
46,hoito,0.476,suomenkielinen,0.611,oppikurssi,0.686
47,uusi,0.475,alkeis,0.61,opetus,0.686
48,erityinen,0.474,ylhäisemmän,0.608,lukuwuosi,0.685
49,maksu,0.473,opettajakunta,0.605,käsityökoulu,0.682
50,kirjaston,0.473,ylempi,0.604,lukumuosi,0.681
51,opetta,0.472,perustaminen,0.601,meijerikoulu,0.68
52,sääntö,0.47,kunnallishallitus,0.599,oppijakso,0.68
53,luissa,0.47,seurakunta,0.597,yksityiskoulu,0.676
54,opettajain,0.47,kansakoulumme,0.597,koulunsa,0.676
55,kysymys,0.47,alkeis-opisto,0.594,koulumme,0.67
56,oikeastaan,0.468,wilken,0.592,sunnuntaikoulu,0.669
57,oppilaita,0.468,rippikoulu,0.591,kansan-opisto,0.669
58,tutkinto,0.465,iltakoulu,0.59,ylhäisempi,0.666
59,opetettu,0.465,lainakirjasto,0.585,koulurakennus,0.665
60,nykyinen,0.464,touluu,0.584,rinnakkaisosasto,0.662
61,papiston,0.461,lyseoksi,0.582,kansanopisto,0.661
62,suomenkielellä,0.461,oppilasmäärä,0.58,opetuskurssi,0.66
63,lukion,0.46,lukio,0.574,meijeriloulu,0.658
64,julkinen,0.46,kansakoulut,0.57,emäntäkoulu,0.658
65,pappein,0.459,kaksiluokkainen,0.567,foulu,0.656
66,järjestys,0.455,kansakouluissa,0.566,neliluokkaiseksi,0.656
67,köyhäin,0.454,oppimäärä,0.566,kansanopistoksi,0.656
68,ansio,0.453,hanke,0.564,pikkulasten,0.656
69,seurakuntain,0.453,normalikoulu,0.563,kouluksi,0.656
70,muutos,0.452,sunnuntaikoulu,0.563,koulun,0.655
