,fi_1880,fi_1880_d
0,keisarikunta,0.843
1,ruhtinaskunta,0.835
2,tasamaita,0.799
3,tasawalta,0.783
4,waltakunta,0.783
5,maltakunta,0.775
6,wapaawalta,0.764
7,alusmaa,0.758
8,kuningaskuntaan,0.755
9,ulkopolitiikka,0.754
10,maakunta,0.753
11,politiikki,0.745
12,mapaamalta,0.744
13,valtakunta,0.742
14,liittokunta,0.74
15,polititi,0.738
16,armeja,0.73
17,brasilia,0.727
18,pääkaupunki,0.727
19,politiikka,0.726
20,wallankumous,0.725
21,kolminaisliitto,0.723
22,niemimaa,0.723
23,politiki,0.723
24,waltiomuoto,0.723
25,miuisteristö,0.721
26,yliherruus,0.718
27,suurimalta,0.717
28,hallitsijasuku,0.713
29,alusmaaksi,0.713
30,sotalaimasto,0.712
31,hallitsia,0.709
32,tasamalta,0.708
33,armeija,0.705
34,suurwalta,0.705
35,ministeristo,0.705
36,vallankumous,0.705
37,rauhanliitto,0.705
38,itaalia,0.704
39,maltalunta,0.703
40,kolmiliitto,0.701
41,kuningaskunnan,0.699
42,saksanmaa,0.699
43,wallanlumous,0.698
44,hallitsija,0.698
45,preussi,0.698
46,sotapuolue,0.697
47,ylimystö,0.694
48,mallankumous,0.694
49,hallitusmuoto,0.693
50,kuningasperhe,0.692
51,montenegro,0.692
52,kansallispuolue,0.692
53,eduskunta,0.692
54,maltatunta,0.69
55,edustajakunta,0.689
56,wenajä,0.689
57,politili,0.688
58,uganda,0.688
59,kauppaliitto,0.687
60,kroatia,0.686
61,tasavalta,0.686
62,siirtokunta,0.685
63,bulgaria,0.685
64,venäjä,0.685
65,emämaa,0.684
66,siirtomaaksi,0.684
67,maakunnaksi,0.683
68,wenäja,0.683
69,monarkia,0.683
70,wenäjä,0.683
71,ministeristö,0.682
72,sotalaiwasto,0.681
73,sotamoima,0.681
74,ministcristö,0.68
75,rajariita,0.68
76,itämältä-,0.679
77,kansalliskokous,0.679
78,diplomatiia,0.679
79,edustuskunta,0.679
80,venezuela,0.678
81,politiiki,0.677
82,ministeristä,0.677
83,sisilia,0.676
84,sotawoima,0.676
85,maalaki,0.676
86,itäwalta-,0.676
87,hallitsin,0.676
88,kansanpuolue,0.675
89,parlamentti,0.674
90,kuningaskunnaksi,0.673
91,sotajoukko,0.673
92,autonomia,0.672
93,diktaattori,0.672
94,edistyspuolue,0.672
95,ritarikunta,0.672
96,sweitsi,0.672
97,työmiespuolue,0.671
98,mikado,0.671
99,britannia,0.67
