,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,armollinen,0.709,ruhtinaallinen,0.764
1,armollisin,0.603,mikadon,0.709
2,keisarill,0.599,kuningattaren,0.705
3,kunink,0.595,serbialainen,0.694
4,rillinen,0.593,kuninkaan,0.685
5,keisar,0.59,ninkaallinen,0.679
6,keisarillinen,0.587,bulgarialainen,0.664
7,kcisarillincn,0.577,oranian,0.65
8,armollisesti,0.549,egyptiläinen,0.648
9,suuriruhtinaamme,0.546,kreikkalainen,0.643
10,suuriruh,0.546,bulgarilainen,0.642
11,kuuink,0.543,laallinen,0.638
12,teetinsa,0.528,puolalainen,0.626
13,keisa,0.526,kaallinen,0.626
14,keisarille,0.521,saksilainen,0.626
15,keisarin,0.519,wilhelmiu,0.621
16,herttuatar,0.518,eugenien,0.619
17,käskykirje,0.51,afrikalainen,0.618
18,teettinsa,0.508,nladimir,0.618
19,hallitsijalle,0.505,kuningatar,0.617
20,kcisa,0.504,leskikeisarinnan,0.613
21,keif,0.504,turkkilainen,0.612
22,suuriruhti,0.503,bernadotte,0.612
23,kunint,0.502,viktorian,0.611
24,kei-,0.502,oskarin,0.61
25,keisarilta,0.501,keisarin,0.606
26,edinburgin,0.5,kruunattu,0.605
27,keisari,0.499,westminsterin,0.604
28,tcis,0.498,sotamarsalkka,0.601
29,suuriruhtinaan,0.497,roomalainen,0.6
30,majest,0.497,viktorialle,0.6
31,suuriruhtinaalle,0.497,vilhelmin,0.598
32,keis,0.497,hessin,0.598
33,majesteetinne,0.496,leuchtenbergin,0.597
34,prinsessa,0.494,itätvallan,0.597
35,keisarillisella,0.491,lunink,0.596
36,leis,0.487,eurooppalainen,0.596
37,majcstcetinsa,0.486,wilhelmiltä,0.596
38,kejs,0.483,persialainen,0.596
39,jesteettinsa,0.482,herttuan,0.596
40,rinna,0.479,itäwaltalainen,0.594
41,kcis,0.478,mcnäläincn,0.594
42,sarillinen,0.476,edinburgin,0.594
43,leisarillinen,0.476,orlom,0.593
44,majestcetinsa,0.476,kuvinkaan,0.593
45,keisarinna,0.476,alfonson,0.592
46,jesteetinsa,0.476,spartan,0.592
47,kellarillinen,0.475,shahin,0.592
48,adlerberg,0.474,ostarin,0.591
49,ruhtinaalle,0.473,suuriruht,0.591
50,mollinen,0.472,vismarckille,0.59
51,kiertokirje,0.472,oskarille,0.59
52,majesteetinsä,0.472,gothan,0.59
53,keisaria,0.472,orleansin,0.59
54,kenraalikumernööri,0.472,monacon,0.59
55,keisarilliseu,0.467,kruununperillinen,0.589
56,tsaarien,0.466,kuuingas,0.589
57,walesin,0.466,rumänian,0.588
58,herttuan,0.462,tunink,0.588
59,herttua,0.461,menäläinen,0.588
60,julistuksella,0.46,suuriherttua,0.588
61,treimi,0.46,elisabethin,0.587
62,keisarimme,0.459,tuningatar,0.587
63,jalo,0.459,priussi,0.587
64,kuninkaalle,0.458,kumukaan,0.586
65,kreimi,0.458,lerome,0.586
66,teis,0.457,napoleonin,0.585
67,kels,0.457,siamin,0.585
68,tinas,0.456,humbert,0.585
69,keisa-,0.456,ruinaaman,0.584
70,kumut,0.454,humberto,0.584
71,konkurssi-asetus,0.453,wilhclmin,0.584
72,ruhtiuas,0.453,walesin,0.583
73,suuriruhtiuas,0.453,kruununprinssi,0.582
74,keisarit,0.453,armeenialainen,0.582
75,keisarillista,0.453,orleans'in,0.581
76,kuningatar,0.452,pcrintöruhtinaan,0.581
77,majcsteetinsa,0.452,balduin,0.58
78,armolliselle,0.452,drjön,0.58
79,istuimelle,0.45,itävaltalainen,0.578
80,ylhäisyytensä,0.45,keisariperheen,0.578
81,armollisella,0.449,keisarinnan,0.578
82,tämä,0.449,luxemburgin,0.577
83,tinne,0.446,mainehikas,0.577
84,rillisessa,0.444,napoleonille,0.577
85,majes,0.444,luninkaan,0.577
86,majestee,0.443,moltken,0.577
87,konkurssisääntö,0.443,perintöprinssi,0.577
88,hallitsia,0.442,schuwalow,0.575
89,keisarilliselle,0.441,italialainen,0.575
90,kreilvi,0.441,nikolajemitsch,0.575
91,armollisimmasti,0.441,saksin,0.574
92,majesteettinne,0.44,herttua,0.574
93,kci,0.44,siamilainen,0.574
94,lreiwi,0.438,bourbonin,0.574
95,kuningattaren,0.438,nikolaille,0.574
96,isällinen,0.438,frcdrikin,0.573
97,hallitsema,0.437,perintörnhtinas,0.573
98,isabella,0.437,kruunauksessa,0.573
99,majcstcctinsa,0.436,wilhelmille,0.573
