,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,esitys,0.625,tunta,0.755,tunta,0.904
1,kuntaa,0.579,knnta,0.722,knnta,0.87
2,kuntaan,0.558,seurakunta,0.699,klinta,0.865
3,kokous,0.558,kirkkoraati,0.684,kuntakin,0.864
4,seura,0.548,scnra,0.644,kunla,0.858
5,toimituskunta,0.548,komitea,0.642,tunla,0.815
6,toimikunta,0.541,seura,0.641,tnnta,0.79
7,hallitukselta,0.534,senra,0.626,seurakunta,0.776
8,erinäinen,0.527,lautakunta,0.614,kirkkoraati,0.765
9,kunnassa,0.524,papisto,0.61,lunta,0.761
10,erityinen,0.518,kunnan,0.603,kunnallislautakunta,0.756
11,asetusta,0.516,kuntakokous,0.595,funta,0.73
12,kokousta,0.516,kunnalle,0.586,isäntäyhdistys,0.724
13,sääntö,0.513,toimikuuta,0.577,seurakuuta,0.718
14,päätettiin,0.505,johtokuuta,0.574,maanmiesseura,0.715
15,hoitokunta,0.505,toimikunta,0.564,maamiesseura,0.712
16,kunnissa,0.505,yhdistys,0.562,kunnalle,0.712
17,kunnan,0.503,johtokunta,0.556,lautakunta,0.71
18,marten,0.501,hoitokunta,0.556,kuntakokous,0.71
19,suostumus,0.498,toimiknnta,0.553,kirkkoneuwosto,0.692
20,johtokunta,0.496,kouluhallitus,0.55,kirkkoneumosto,0.692
21,asetuksissa,0.493,seurakuuta,0.55,lunla,0.692
22,kirjasto,0.482,johtotunta,0.549,maimaishoitohallitus,0.689
23,määrää,0.481,kaupunki,0.548,tuuuan,0.688
24,nykyinen,0.478,knnnan,0.543,kunnan,0.685
25,mustialan,0.476,kuunan,0.541,hätäaputoimikunta,0.684
26,läänien,0.476,kuntaa,0.538,knnnalle,0.683
27,tiede,0.469,scura,0.53,kuitta,0.681
28,pääkaupungissa,0.469,kokons,0.528,luuuan,0.68
29,asetus,0.464,osakunta,0.527,seuratuilta,0.678
30,johtokunnalle,0.464,sääty,0.515,seuratunta,0.674
31,seurakunta,0.463,tunnan,0.513,kunuau,0.672
32,päätetty,0.463,maistraatti,0.512,n.-seura,0.67
33,esimiehenä,0.462,toimituskunta,0.512,seuratuitta,0.67
