,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,wastaus,0.657,tysymys,0.875,tysymys,0.911
1,kysyä,0.568,lysymys,0.848,lysymys,0.865
2,wika,0.55,esitys,0.718,kyiymys,0.86
3,tehtämä,0.531,ehdotus,0.697,knsymys,0.849
4,lause,0.519,ehdoitus,0.677,kysylnys,0.836
5,kirjoitus,0.516,symys,0.653,kusymys,0.835
6,kysymykseen,0.515,pykäle,0.647,kysyniys,0.827
7,muistutus,0.512,pykälä,0.636,kylymys,0.827
8,jako,0.511,kysymyksestä,0.635,kysymns,0.825
9,neuwo,0.501,miete,0.634,kysnmys,0.813
10,juttu,0.496,keskustelu,0.634,lysymyz,0.787
11,asia,0.494,päättäminen,0.629,lnsymys,0.782
12,woitto,0.493,lausunto,0.614,keskustelukysymys,0.781
13,haitta,0.491,chdoitus,0.605,lyjymys,0.781
14,sääntö,0.489,lause,0.603,lysyinys,0.78
15,koetus,0.486,kysymystä,0.601,lyiymys,0.779
16,ajatus,0.482,kys,0.6,tyiymys,0.76
17,seikka,0.479,pyyntö,0.6,lylymys,0.737
18,kysy,0.478,mys,0.597,lysnmys,0.733
19,vastaus,0.475,asia,0.591,lyfymys,0.723
20,toimi,0.474,momentti,0.591,kysymyksestä,0.717
21,eroitus,0.473,anomus,0.585,ehdotus,0.704
22,moitto,0.473,kysymykseksi,0.581,lysymy,0.697
23,koulu,0.47,kysymyksen,0.576,kysymy,0.691
24,syy,0.464,mastaus,0.574,esitys,0.687
25,sana,0.464,kysy,0.574,kysymyksen,0.673
26,suomennos,0.463,puhe,0.571,ehdoitus,0.672
27,tila,0.463,määräys,0.569,fysymys,0.67
28,hyöty,0.463,päätös,0.563,kyfymys,0.667
29,muutos,0.46,esityö,0.563,kysymystä,0.665
30,tys,0.458,muutos,0.562,raittiuskysymys,0.66
31,kirjoitettu,0.457,mietintö,0.561,tyfymys,0.654
32,runo,0.457,keskusteltu,0.557,keskustelu,0.654
