,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,tarkastaa,0.759,läsitellä,0.865
1,tutkia,0.723,ratkaista,0.798
2,rattaista,0.701,läytellä,0.792
3,esitellä,0.691,käytellä,0.779
4,tarkastella,0.69,rattaista,0.764
5,ratkaista,0.682,täytellä,0.744
6,laatia,0.675,pohtia,0.741
7,ehdoitella,0.665,valmistella,0.74
8,ehdotella,0.654,harkita,0.735
9,käsittelemään,0.653,tarkastella,0.732
10,tuttia,0.645,walmistella,0.729
11,hymätsyä,0.638,malmistella,0.719
12,hymäksyä,0.636,keskustella,0.71
13,noudattaa,0.633,tarkastaa,0.706
14,kuulustella,0.629,muodostella,0.704
15,esittää,0.626,selmitellä,0.701
16,keskustella,0.617,esitellä,0.697
17,tutkistella,0.591,tutkia,0.69
18,esiintuoda,0.591,järjestellä,0.683
19,tarkastaessa,0.59,selwitellä,0.678
20,esittämään,0.59,perustella,0.675
21,miettiä,0.584,kosketella,0.67
22,seurata,0.583,määritellä,0.67
23,tuttittawaksi,0.577,sclwittää,0.669
24,punnita,0.576,punnita,0.669
25,kumota,0.575,laatia,0.667
26,hywäksyä,0.57,toteuttaa,0.666
27,ratkaisemaan,0.568,noudattaa,0.666
28,annostella,0.566,kuulustella,0.665
29,arwostella,0.559,miettiä,0.652
30,tehdä,0.558,järjestää,0.652
31,selitellä,0.558,armostella,0.652
32,tutkiaksensa,0.554,annostella,0.65
33,muutoksiin,0.553,aprikoida,0.648
34,esityksiä,0.553,selmittää,0.644
35,puoltaa,0.553,hymäksyä,0.644
36,mietintöjä,0.552,julkaista,0.644
37,määrätä,0.551,hymätsyä,0.637
38,tiedustella,0.55,armostclla,0.633
39,luetella,0.546,selwittää,0.63
40,ehdottelemaan,0.544,senrata,0.63
41,keskusteltavaksi,0.542,seurata,0.629
42,kohtia,0.542,päätellä,0.628
43,järjestää,0.542,hywäksyä,0.627
44,selwittää,0.541,esittää,0.626
45,noudattamalla,0.538,arwostella,0.626
46,vaatia,0.535,tntkia,0.625
47,oikaista,0.534,selitellä,0.623
48,keskusteltamaksi,0.533,tuttia,0.622
49,ehdoituksia,0.532,käsiteltä,0.621
50,tutkimaan,0.529,nondattaa,0.621
51,päätettäwäksi,0.528,jullaista,0.62
52,määrättäwäksi,0.527,suunnitella,0.618
53,ehdotuksia,0.524,sitellä,0.617
54,malita,0.524,lylätä,0.613
55,keskusteltawaksi,0.524,tehdä,0.612
56,hywätsyä,0.524,tebdä,0.612
57,julkaista,0.523,lykätä,0.611
58,kysymyksiä,0.522,puolustaa,0.607
59,peruuttaa,0.521,tulkita,0.606
60,tutkittuansa,0.521,muutella,0.606
61,käsitellään,0.52,jäljestää,0.605
62,säätyjä,0.52,selvitellä,0.604
63,perustuksia,0.52,scnrata,0.603
64,pyyntö-esityksiä,0.517,täsiteltä,0.602
65,määrättämäksi,0.517,arwostclla,0.601
66,aikaansaada,0.516,ratlaista,0.6
67,koetella,0.515,jultaista,0.599
68,tarkastukseen,0.513,esiintuoda,0.598
69,pykäliä,0.513,hymälsyä,0.597
70,walwoa,0.511,hymaksyä,0.596
71,taloudellisia,0.511,luulustaa,0.594
72,katsastaa,0.511,täydentää,0.591
73,päättää,0.51,ehdotella,0.59
74,katsoa,0.51,lytätä,0.59
75,keksiä,0.509,käsitelty,0.589
76,lykätä,0.509,walaista,0.588
77,säätyin,0.508,lehdä,0.588
78,ehdotns,0.508,julaista,0.588
79,senrata,0.507,naarata,0.587
80,koskemaan,0.507,hyiväksyä,0.587
81,karttaa,0.506,päältää,0.586
82,määräyksiin,0.505,käsitellyksi,0.586
83,kysymystä,0.505,uoudattaa,0.586
84,waliotunta,0.505,lasitetta,0.586
85,selittää,0.505,hylvätsyä,0.584
86,säätyjen,0.505,tiedustella,0.583
87,päätöksistä,0.505,luetella,0.582
88,päätettämäksi,0.504,käsitellessä,0.582
89,esittelemään,0.504,selmitä,0.582
90,tutkittamaksi,0.502,pidellä,0.582
91,painattaa,0.502,tclidä,0.581
92,keskusteltaessa,0.5,täsiteltämätsi,0.58
93,äänestämään,0.499,pohdituksi,0.579
94,anomuksia,0.499,leslustella,0.579
95,tutkimatta,0.498,kumota,0.578
96,tarkastelemaan,0.498,valaista,0.578
97,valiokunnassa,0.497,käsiteltäisiin,0.577
98,malmistaa,0.497,puoltaa,0.577
99,kysymyksistä,0.496,korjata,0.577
