,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,ymmärrys,0.784,täsitys,0.91
1,merkitys,0.738,läsitys,0.856
2,malistus,0.725,käsityskanta,0.84
3,ydin,0.724,läsilys,0.814
4,yhtäläisyys,0.721,katsantokanta,0.796
5,mieli-ala,0.705,katsantotapa,0.787
6,edistyminen,0.7,wakaumus,0.775
7,periaate,0.699,luulo,0.765
8,maikutus,0.697,tietoisuus,0.757
9,kyky,0.696,vakaumus,0.756
10,huolenpito,0.695,käsitystapa,0.752
11,edistys,0.694,näkökanta,0.749
12,huolettomuus,0.69,makaumus,0.74
13,aisti,0.69,lasitus,0.736
14,erilaisuus,0.689,johtopäätös,0.735
15,käsityksestä,0.687,selmyys,0.729
16,silvistys,0.68,armostclu,0.729
17,hyöty,0.679,annostelu,0.721
18,tietämättömyys,0.678,tajunta,0.719
19,luonne,0.677,harhaluulo,0.713
20,tunteminen,0.676,marmuus,0.708
21,katsantotapa,0.676,periaate,0.708
22,tunto,0.675,mielipide,0.701
23,käytäntö,0.673,käsityksestä,0.701
24,arwelu,0.673,ilmaus,0.698
25,täytös,0.673,ajatus,0.697
26,luonnollinen,0.672,armostelu,0.695
27,luulo,0.671,warmuus,0.689
28,suhde,0.668,uskonnollisuus,0.687
29,harrastus,0.668,kypsyys,0.686
30,selmä,0.667,arwostelu,0.684
31,waikutus,0.666,ajatustapa,0.683
32,waitutus,0.665,luonne,0.681
33,luonnosta,0.663,simeellisyys,0.68
34,simistys,0.661,malaumus,0.68
35,ajatus,0.66,tunnustus,0.68
36,poikkeus,0.654,mäite,0.679
37,kaswatus,0.654,ilmaisu,0.679
38,rajoitus,0.653,walaumus,0.678
39,opista,0.652,sitys,0.673
40,luonteesta,0.651,simislys,0.671
41,taito,0.65,läfitys,0.67
42,selittäminen,0.649,peri-aate,0.668
43,waatimus,0.645,tietämättömyys,0.667
44,omituisuus,0.644,tosiasia,0.663
45,hyödystä,0.644,maalimus,0.663
46,yksipuolinen,0.643,simistys,0.663
47,turmelus,0.643,fimistys,0.663
48,käytös,0.639,suwaitsewaisuus,0.661
49,maatimus,0.635,ennakkoluulo,0.659
50,toimeentulo,0.634,päätelmä,0.658
51,hedelmä,0.634,yksipuolisuus,0.657
52,haitta,0.633,ristiriita,0.656
53,pyrintö,0.631,makamuus,0.656
54,tarpeellisuus,0.63,katsantokannasta,0.655
55,mäitös,0.629,siivistys,0.655
56,tärkeys,0.628,selwyys,0.654
57,oppiminen,0.628,kehitys,0.654
58,järki,0.628,mälinpitämättömyys,0.654
59,käsite,0.626,ristiriitaisuus,0.653
60,päämaali,0.625,armelu,0.652
61,mieliala,0.624,käsityskannasta,0.652
62,yksimielisyys,0.624,katsanto,0.649
63,menestys,0.623,mapaamielisyys,0.649
64,kokemus,0.623,wäite,0.648
65,menettely,0.622,välinpitämättömyys,0.647
66,simeys,0.621,käsite,0.647
67,käsitykseen,0.619,snhde,0.647
68,tarkkuus,0.618,siwistys,0.646
69,tuhlaus,0.617,tosi-asia,0.645
70,siwistys,0.616,silvistys,0.644
71,muoto,0.616,ajatns,0.644
72,ehto,0.616,määritelmä,0.644
73,kannasta,0.613,määritys,0.644
74,tarpeesta,0.613,oikeudentunto,0.641
75,selwä,0.613,käsitteet,0.641
76,käsitystä,0.612,käsitystä,0.64
77,simistyksestä,0.612,tunnusmerkki,0.639
78,merkityksestä,0.612,otaksuminen,0.639
79,perinpohjainen,0.611,vapaamielisyys,0.638
80,sclmä,0.611,oileudentunto,0.638
81,lvoima,0.611,käsityksen,0.637
82,jonkinlainen,0.611,moraali,0.636
83,lukuhalu,0.61,omituisuus,0.635
84,mielipide,0.61,huolenpito,0.635
85,ilmaus,0.61,maatimus,0.634
86,tarkotus,0.609,pyrkimys,0.634
87,walistus,0.609,elämäntapa,0.63
88,totuus,0.608,arwelu,0.629
89,menetystäpä,0.608,ivaikutus,0.628
90,oikeasta,0.608,luulottelu,0.628
91,käsityksen,0.608,yliwalta,0.628
92,parannus,0.607,perusaate,0.628
93,kehittynyt,0.606,kehkeytyminen,0.626
94,erimielisyys,0.605,maikulus,0.626
95,wiljeleminen,0.605,erimielisyys,0.626
96,täydellisin,0.605,käsitykset,0.625
97,kansallisuus,0.604,tulkitseminen,0.624
98,warowaisuus,0.604,arwostclu,0.624
99,uskonto,0.604,olettaminen,0.624
