,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,sanomalehti,0.695,sanomalehti,0.86,lehii,0.897
1,sanoma,0.659,lchti,0.834,lehtt,0.867
2,numero,0.625,suometar,0.673,lchli,0.859
3,aamurusko,0.599,tapio,0.667,lehli,0.855
4,kirja,0.555,kirjeenmaihtaja,0.664,lrhti,0.847
5,ruotsalainen,0.555,äänenkannattaja,0.649,lchii,0.825
6,lennätin,0.548,päijänne,0.642,lebti,0.813
7,lause,0.545,toimitus,0.638,ichti,0.807
8,wiikko,0.537,lähettäjä,0.632,sanomalehti,0.778
9,lehdessä,0.535,sanoma,0.63,lthti,0.775
10,painosta,0.527,golos,0.63,lehn,0.775
11,kirjoitus,0.519,-lehti,0.629,lehtl,0.77
12,suometar,0.519,karjalatar,0.621,-lehti,0.753
13,ilmoitus,0.505,russe,0.621,lehll,0.747
14,lisätty,0.505,sanansaattaja,0.621,leyti,0.741
15,toimitus,0.505,kirjoittaja,0.619,leliti,0.74
16,muistutus,0.505,aikakauskirja,0.616,päiwälehti,0.738
17,arkin,0.504,ilmarinen,0.614,aikakauskirja,0.736
18,vuosikerta,0.497,times,0.611,lchn,0.732
19,kirjallisuus,0.492,kirjeenwaihtaja,0.607,lehtikin,0.731
20,kartta,0.488,golos,0.594,.lehti,0.714
21,suomi,0.474,satakunta,0.594,lchti,0.713
22,postissa,0.474,freie,0.59,ailalauslirja,0.71
23,saksalainen,0.473,lehtenä,0.589,aikakauslehti,0.708
24,kerta,0.473,wremja,0.587,suometar,0.708
25,sana,0.459,kaiku,0.586,päimälehti,0.699
26,toimitukselta,0.459,sähkösanoma,0.584,kirjeenwaihtaja,0.697
27,sanomalehdessä,0.458,nomalehti,0.577,kirjeenmaihtaja,0.692
28,seikka,0.457,zeitung,0.576,äänenkannattaja,0.69
29,sananlasku,0.454,lehteä,0.574,tirjeenwaihtaja,0.686
30,aine,0.452,keski-suomi,0.574,kirjccnwaihtaja,0.68
31,lehden,0.452,sanomakirjallisuus,0.573,kirjeenlvaihtaja,0.677
32,wuosikerta,0.452,morgonbladet,0.572,päimälchti,0.673
33,sisältää,0.448,numero,0.571,lirjeenwaihtaja,0.671
34,lukijoille,0.448,lennätinsanoma,0.57,lirjeenmaihtaja,0.671
35,lasku,0.448,toimitns,0.564,karjalatar,0.669
36,tilata,0.445,postilaitos,0.562,khti,0.668
37,suomettarelle,0.445,päiwätär,0.558,tirjeenmaihtaja,0.667
38,kymmenes,0.44,presse,0.558,llhti,0.667
39,kirjoitettu,0.438,mehiläinen,0.553,kirjeemvaihtaja,0.666
40,hämäläinen,0.436,pohjois-suomi,0.552,kauppalehti,0.663
41,suomettaren,0.436,taru,0.551,kirjewaihtaja,0.662
42,sanomissa,0.436,kuukauslehti,0.55,kirjecnwaihtaja,0.662
43,lauwantai,0.436,lehden,0.549,morgenbladet,0.661
44,teos,0.435,otawa,0.545,kirjccnmaihtaja,0.658
45,kokonainen,0.431,times,0.539,wiborgsbladet,0.657
46,kirjoituksesta,0.43,standard,0.537,kirjcenwaihtaja,0.656
47,yleisölle,0.428,malehti,0.537,kirjemaihtaja,0.656
48,merkki,0.427,kyläkirjasto,0.533,kirjcenmaihtaja,0.655
49,wuosi,0.425,dagblad,0.532,viikkolehti,0.653
50,puhe,0.423,matkustaja,0.526,kirjecnmaihtaja,0.653
51,seuraawa,0.423,tidning,0.525,aamulehti,0.652
52,painos,0.422,sanoina,0.524,päimälehli,0.652
