,fi_1880,fi_1880_d
0,liberali,0.886
1,demokraatti,0.798
2,radikaali,0.786
3,mapaamieli,0.769
4,vapaamieli,0.76
5,suomenmieli,0.759
6,manhoilli,0.752
7,maltilli,0.732
8,ruotsinmieli,0.725
9,realisti,0.721
10,vanhoilli,0.719
11,sosiaalidemokraatti,0.714
12,kansanmaltai,0.709
13,radikali,0.703
14,protestantti,0.7
15,mielipiteiltään,0.69
16,suomimieli,0.69
17,kansallismieli,0.685
18,maltiolli,0.671
19,wapaamielinen,0.671
20,puoluelai,0.671
21,wapaamieli,0.67
22,ruotsinmielinen,0.666
23,puolalai,0.662
24,irlantilai,0.662
25,sosiaali,0.661
26,demo,0.661
27,puoluee,0.659
28,katolilai,0.655
29,waltiolli,0.654
30,kansanvaltai,0.651
31,diplomati,0.649
32,kansalli,0.646
33,puolueelli,0.646
34,belgialai,0.643
35,unionisti,0.641
36,gladsto,0.64
37,uskonnolli,0.639
38,manhoillinen,0.639
39,wanhoillinen,0.638
40,periaatteelli,0.636
41,mapaamielinen,0.636
42,liittolai,0.635
43,suomenmielinen,0.634
44,puoluelainen,0.632
45,tasawaltalainen,0.632
46,moraali,0.631
47,ideaali,0.626
48,yksipuoli,0.625
49,tasapuoli,0.625
50,suomimielinen,0.625
51,itsepäi,0.624
52,perustuslailli,0.622
53,puolustami,0.621
54,sominnolli,0.619
55,fennomaani,0.618
56,valtiolli,0.618
57,unkarilai,0.617
58,personalli,0.616
59,itsenäi,0.616
60,kielikysymyk,0.615
61,vanhoillinen,0.615
62,persoonalli,0.614
63,vapaamielinen,0.61
64,aatteelli,0.609
65,puolustuk,0.609
66,luopumi,0.608
67,halpamai,0.608
68,isänmaalli,0.607
69,taantumi,0.607
70,puoluemies,0.606
71,siweelli,0.606
72,puolne,0.605
73,talonpoikai,0.605
74,saksalai,0.605
75,itaalialai,0.605
76,intialai,0.604
77,kansallismielinen,0.604
78,tristilli,0.604
79,mastuunalai,0.602
80,arkaluontoi,0.602
81,pariisilai,0.602
82,lansalli,0.602
83,todelli,0.602
84,todenmukai,0.602
85,toisellai,0.601
86,muhamettilai,0.601
87,ruotsimielinen,0.601
88,poliitilli,0.601
89,toisenlai,0.601
90,esiintymi,0.601
91,puulue,0.599
92,tansalli,0.599
93,johdonmukai,0.598
94,satsalai,0.598
95,itsepintai,0.597
96,muodolli,0.596
97,muukalai,0.596
98,sumaitsemai,0.596
99,lahkolai,0.596
