,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,vastata,0.69,onnitella,0.729
1,seurata,0.68,liittämään,0.712
2,esiintuoda,0.66,kiittää,0.693
3,wastata,0.659,seurata,0.693
4,lausua,0.652,lulca,0.69
5,mastata,0.646,täyttää,0.689
6,kiittää,0.644,maslata,0.687
7,mustata,0.644,esiintuoda,0.677
8,viitata,0.641,mustata,0.677
9,miitata,0.636,lisätä,0.674
10,lisätä,0.631,merlitä,0.663
11,wiitata,0.614,lvastata,0.659
12,liittämään,0.595,wiitata,0.656
13,muistuttaa,0.592,sowittaa,0.655
14,noudattaa,0.587,miitata,0.655
15,täyttää,0.585,merkitä,0.654
16,merrata,0.584,vastata,0.652
17,verrata,0.583,maötata,0.652
18,julkaista,0.58,esittää,0.652
19,lähettää,0.58,sowiltaa,0.652
20,huomauttaa,0.578,wastata,0.651
21,esittää,0.569,lausua,0.651
22,tehdä,0.563,waslata,0.648
23,mainita,0.561,luottaa,0.648
24,lulea,0.56,lisälä,0.647
25,maiuita,0.558,muistuttaa,0.646
26,luottaa,0.557,mastata,0.646
27,totella,0.557,noudattaa,0.642
28,myöntyä,0.555,viitata,0.642
29,painattaa,0.553,täyltää,0.64
30,luoda,0.55,mastala,0.636
31,nimittää,0.547,senrata,0.635
32,tuntea,0.545,somittaa,0.633
33,selittää,0.544,läyllää,0.633
34,liitämme,0.544,wcrrata,0.632
35,kirjoittaa,0.543,perustua,0.631
36,oikaista,0.543,läyttää,0.63
37,selmittää,0.541,painattaa,0.629
38,merkitä,0.54,läyltää,0.628
39,johdattaa,0.54,kiinnittää,0.628
40,esitellä,0.539,somelluttaa,0.628
41,puhua,0.537,kohdistaa,0.627
42,usloa,0.535,lähettää,0.627
43,jättää,0.534,johdattaa,0.625
44,hakea,0.529,wastala,0.622
45,tehoittaa,0.527,yhdistää,0.622
46,ustoa,0.524,edota,0.621
47,tchdä,0.523,lulea,0.62
48,kääntää,0.522,käyttää,0.618
49,liitän,0.522,jättää,0.616
50,ilmaista,0.521,wedota,0.614
51,sanoa,0.52,vedota,0.614
52,tunnustaa,0.519,tutustuttaa,0.612
53,lukea,0.517,werrata,0.612
54,liittäen,0.516,lutea,0.612
55,teroittaa,0.514,lukea,0.612
56,laatia,0.513,luoda,0.611
57,maatia,0.511,yhtyä,0.611
58,taidostansa,0.511,syyttää,0.61
59,uskoa,0.508,medota,0.61
60,kutsua,0.508,ilmaista,0.608
61,katsoa,0.508,tyydyttää,0.608
62,säilyttää,0.507,merrata,0.607
63,kchoittaa,0.506,lomittaa,0.605
64,puhella,0.506,tanttaa,0.604
65,vaatia,0.505,kehottaa,0.604
66,olla,0.505,nimittää,0.604
67,suomentaa,0.504,lnlea,0.603
68,syyttää,0.501,köyttää,0.603
69,etsiä,0.501,täyttöä,0.603
70,kehoittaa,0.501,verrata,0.601
71,rauhaansa,0.5,solvittaa,0.6
72,surkutella,0.5,täytlää,0.599
73,epäillä,0.5,esitellä,0.596
74,sulkea,0.498,läytlää,0.595
75,luettaa,0.498,painaltaa,0.593
76,annostella,0.498,wcdota,0.593
77,todistaa,0.498,teloittaa,0.592
78,tarkastaa,0.497,johtua,0.591
79,ihmetellä,0.494,scnrata,0.59
80,lehoittaa,0.494,toistaa,0.59
81,werrata,0.493,somiltaa,0.59
82,liitetään,0.491,sowelluttaa,0.589
83,sekoittaa,0.49,lansna,0.589
84,ojentaa,0.49,yhlyä,0.588
85,sulkeutua,0.489,tiinnittää,0.587
86,taipua,0.489,waatia,0.586
87,todistukseksi,0.489,liinnittää,0.586
88,yhtyä,0.487,vaatia,0.586
89,liitetyt,0.487,huomauttaa,0.585
90,kätkeä,0.486,teroittaa,0.585
91,puhutella,0.486,nondattaa,0.583
92,antaa,0.486,lutca,0.582
93,ääntää,0.484,eloiltaa,0.582
94,somittaa,0.484,liittyä,0.581
95,turwautua,0.483,layttää,0.58
96,käyttää,0.483,lansua,0.58
97,varoittaa,0.483,kosketella,0.578
98,puuttua,0.482,tutsua,0.578
99,opettaa,0.482,uudistaa,0.578
