,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,täytös,0.832,katsantokanta,0.803
1,mielenlaatu,0.794,persoonallisuus,0.797
2,muoto,0.792,muoto,0.796
3,ilmaus,0.783,mielenlaatu,0.79
4,käytös,0.772,katsantotapa,0.778
5,edistyminen,0.767,makamuus,0.764
6,into,0.766,ilmaus,0.76
7,turmelus,0.765,ihaileminen,0.75
8,mieli-ala,0.764,kritiikki,0.75
9,kauneus,0.761,maltillisuus,0.746
10,tunto,0.759,tunteellisuus,0.745
11,katsanto,0.755,luonnollisuus,0.745
12,yhtäläisyys,0.752,intohimo,0.742
13,liikunto,0.749,tyyneys,0.74
14,synnyttämä,0.747,aisti,0.739
15,harrastus,0.747,vastakohta,0.737
16,katsantotapa,0.745,ryhti,0.737
17,mieliala,0.74,uskonnollisuus,0.736
18,aisti,0.736,muotokin,0.736
19,ulkomuoto,0.734,piirre,0.736
20,ymmärrys,0.731,käytöstapa,0.734
21,päämaali,0.731,vaikutus,0.729
22,luottamus,0.731,käsitystapa,0.728
23,elämä,0.728,väritys,0.728
24,puku,0.728,itsepintaisuus,0.728
25,välikappale,0.726,olemus,0.726
26,nero,0.721,käsityskanta,0.725
27,pyrintö,0.721,elämäntapa,0.722
28,edistys,0.719,maitutus,0.721
29,olento,0.719,esiintyminen,0.72
30,rohkeus,0.718,mielentila,0.719
31,ylpeys,0.716,ystämällisyys,0.718
32,lujuus,0.716,eheys,0.718
33,jäykkä,0.713,mielikuwitus,0.718
34,esitystapa,0.711,latsanto,0.716
35,keskuus,0.709,esikuma,0.715
36,simistys,0.706,käsityskyky,0.715
37,pohjana,0.705,elämä,0.715
38,ydin,0.704,katsanto,0.714
39,järki,0.703,itsetunto,0.712
40,ulkonainen,0.702,wakawuus,0.711
41,moima,0.702,ankaruus,0.711
42,raakuus,0.702,entisyys,0.71
43,rehellisyys,0.701,rohkeus,0.708
44,äly,0.701,kehitys,0.707
45,luonteen,0.701,ivaikutus,0.706
46,waitutus,0.698,kauneus,0.706
47,luonnollinen,0.697,viattomuus,0.705
48,maikutus,0.696,maikulus,0.704
49,lvoima,0.696,kainous,0.704
50,rakkaus,0.696,teeskentelemätön,0.704
51,sointu,0.695,itsepäisyys,0.704
52,silvistys,0.693,mielikumitus,0.704
53,ylemä,0.693,tajunta,0.703
54,itsessään,0.691,ulkomuoto,0.703
55,kansallisuus,0.691,mastakohta,0.703
56,päämäärä,0.69,puhetapa,0.702
57,erilaisuus,0.688,ymmärrys,0.702
58,miisaus,0.687,näkökanta,0.701
59,merkitys,0.686,järki,0.701
60,käytäntö,0.685,isänmaallisuus,0.701
61,aate,0.684,lumous,0.7
62,sisällinen,0.683,waitutus,0.698
63,luontoinen,0.68,kunniantunto,0.698
64,yksimielisyys,0.68,ihanteellisuus,0.698
65,simeys,0.68,leikillisyys,0.697
66,malistus,0.678,elinwoima,0.697
67,wakawa,0.677,suoruus,0.695
68,käsitys,0.677,runollisuus,0.695
69,rikkaus,0.677,ajatustapa,0.695
70,luonto,0.676,märitys,0.694
71,ylenkatse,0.675,ilmaisu,0.693
72,mielissä,0.674,mailutus,0.693
73,toimeentulo,0.672,vakavuus,0.693
74,taipumus,0.672,tunnelma,0.693
75,menettely,0.671,tunnusmerkki,0.692
76,menestys,0.67,sulous,0.691
77,luouto,0.67,lakkaus,0.691
78,kohteliaisuus,0.669,wäritys,0.691
79,hartaus,0.668,esitystapa,0.691
80,luonteeltaan,0.666,waikutuswoima,0.691
81,viisaus,0.663,mapaamielisyys,0.688
82,nöyryys,0.663,todellisuus,0.688
83,elanto,0.662,kypsyys,0.688
84,puolustaja,0.662,maisto,0.688
85,inhimillinen,0.661,rakkaus,0.688
86,heikkous,0.66,wastakohta,0.687
87,kohtalo,0.659,oileudentunto,0.687
88,sydämmessä,0.659,maikutus,0.687
89,omatunto,0.658,etemyys,0.687
90,runollinen,0.657,totisuus,0.685
91,ajatus,0.657,etewyys,0.685
92,ihmiskunnassa,0.656,waikulus,0.684
93,jumalanpelko,0.656,miisaus,0.683
94,ystämyys,0.654,pontemuus,0.683
95,toimeliaisuus,0.654,tyyppi,0.682
96,waikutus,0.654,käsitys,0.681
97,menetys,0.654,edistyminen,0.681
98,oleminen,0.652,lemollisuus,0.681
99,suhde,0.65,seuraelämä,0.68
