,fi_1880,fi_1880_d
0,luowutettu,0.796
1,luomutettu,0.772
2,vuokrattu,0.702
3,luovuttanut,0.667
4,luowutettawa,0.655
5,luomutettama,0.635
6,kuuluva,0.613
7,luovutettaisiin,0.607
8,vahvistettu,0.606
9,siirrettävä,0.602
10,pantattu,0.599
11,avattava,0.598
12,luovutetaan,0.596
13,laitettava,0.593
14,lunastettu,0.585
15,siirretty,0.584
16,aidottu,0.582
17,isottu,0.581
18,kuuluvaan,0.58
19,rakennettu,0.575
20,avattu,0.569
21,vuokrannut,0.568
22,hyyrätty,0.567
23,rakennettava,0.567
24,wuokrattu,0.566
25,vuokraajalla,0.566
26,kuuluvalle,0.563
27,vuokramaalla,0.559
28,rakenneltu,0.559
29,arvattu,0.558
30,muokrattu,0.557
31,wuolrattu,0.555
32,jäteltämä,0.553
33,luomuttanut,0.552
34,lunastettava,0.552
35,vuokrattuna,0.552
36,jätettävä,0.549
37,lakkautettava,0.549
38,varastoineen,0.549
39,vuokraoikeus,0.544
40,varattu,0.543
41,jäävä,0.542
42,jätetty,0.541
43,sijoitettu,0.54
44,luowuttanut,0.537
45,luowutettaisiin,0.537
46,asetettava,0.536
47,hallinto-oikeus,0.536
48,muuteltu,0.535
49,lohkaistu,0.535
50,siirrelty,0.534
51,rakennettn,0.532
52,sopiva,0.531
53,kelpaava,0.528
54,rakennettuna,0.527
55,annettava,0.525
56,luotettavalle,0.523
57,maksettava,0.523
58,muutettu,0.521
59,laiteltu,0.518
60,vuokrattiin,0.518
61,palovakuutettu,0.517
62,valmistunut,0.517
63,ralennettu,0.517
64,arvioitu,0.514
65,tuottava,0.514
66,nostettavana,0.514
67,luomutetaan,0.513
68,hankittava,0.512
69,avara,0.512
70,jätetly,0.511
71,kauppatavara,0.509
72,suoritettava,0.509
73,kuljetettava,0.507
74,toimitettava,0.507
75,vuokratut,0.506
76,myyty,0.506
77,lahjoiteltu,0.506
78,ratennettu,0.505
79,tilava,0.501
80,täytettävä,0.501
81,valmistettava,0.5
82,kesähuvila,0.499
83,tuleva,0.498
84,sovelias,0.497
85,muolrattu,0.497
86,anneltava,0.497
87,myyly,0.497
88,rakennuksineen,0.495
89,kiinteimistö,0.495
90,luovuttaa,0.495
91,muutettava,0.495
92,luomutettaisiin,0.494
93,sijoiteltu,0.493
94,soveltuva,0.492
95,kalustoilleen,0.491
96,turvattu,0.491
97,sisustettuna,0.491
98,luovuttamisesta,0.489
99,vistettu,0.489
