,fi_1880,fi_1880_d
0,luonmttaa,0.852
1,luowuttaa,0.797
2,luomuttaa,0.797
3,luovuttamaan,0.705
4,luomultaa,0.703
5,luoivuttaa,0.698
6,lunastaa,0.692
7,siirtää,0.671
8,luowultaa,0.669
9,luumuttaa,0.668
10,luomnttaa,0.661
11,luowuttaisi,0.651
12,luolvuttaa,0.647
13,luowutlaa,0.646
14,lahjoittaa,0.635
15,luomuttamaan,0.632
16,lnomuttaa,0.63
17,luuastaa,0.63
18,lohkaista,0.629
19,pantata,0.626
20,jätlää,0.62
21,luomutlaa,0.619
22,liankkia,0.616
23,hanllia,0.612
24,nyöntää,0.612
25,luorouttaa,0.611
26,jältää,0.609
27,kankkia,0.609
28,jätiää,0.608
29,vuokraamalla,0.603
30,verottaa,0.603
31,jällää,0.603
32,myydä,0.601
33,luowuttamaan,0.601
34,uuttaa,0.6
35,anastaa,0.6
36,lnowuttaa,0.6
37,hanklia,0.6
38,jättää,0.599
39,korvata,0.598
40,raivata,0.598
41,vuttaa,0.594
42,luovutettaisiin,0.594
43,viedä,0.592
44,naittaa,0.592
45,luovuttanut,0.59
46,aniaa,0.59
47,luowutta,0.59
48,luomuttaisi,0.589
49,myyda,0.589
50,käytettäväkseen,0.588
51,luoiuuttaa,0.587
52,varustaa,0.585
53,suorittaa,0.584
54,mnöntää,0.584
55,hanltia,0.582
56,luovutti,0.58
57,luownttaa,0.578
58,hanttia,0.577
59,vaatia,0.575
60,hanlkia,0.571
61,tarjota,0.571
62,valita,0.571
63,hakkauttaa,0.57
64,vapauttaa,0.57
65,luomutta,0.57
66,lunastaisi,0.569
67,luovuttamisesta,0.569
68,ralennuttaa,0.569
69,nankkia,0.568
70,hankkia,0.568
71,muolrata,0.566
72,kustantaa,0.566
73,toimituttaa,0.564
74,rakentaa,0.562
75,mvvää,0.562
76,myönlää,0.561
77,jakaa,0.559
78,ralenlaa,0.557
79,suoda,0.556
80,hanllla,0.556
81,myödä,0.555
82,jalaa,0.555
83,luowutettawa,0.554
84,ralentaa,0.554
85,hävittää,0.552
86,hantlia,0.552
87,määrälä,0.552
88,sijoittaa,0.551
89,vedättää,0.551
90,eloiltaa,0.55
91,aidata,0.55
92,anlaa,0.549
93,avata,0.548
94,läkettää,0.548
95,laitattaa,0.546
96,luowutettaisiin,0.545
97,lähettää,0.545
98,myöntää,0.544
99,telidä,0.544
