,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lääniin,0.775,lääniosa,0.807,lääui,0.845
1,lääniä,0.752,läänin,0.795,läänii,0.842
2,läänistä,0.741,lääuiu,0.785,läänin,0.827
3,uusmaan,0.734,läänissä,0.77,läävin,0.822
4,läänin,0.734,lääuissä,0.755,lääm,0.819
5,läänien,0.721,läävissä,0.741,löänin,0.794
6,läänissä,0.718,lääuin,0.727,läämssä,0.79
7,uudenmaan,0.714,lääninsä,0.724,läänissä,0.788
8,lää,0.708,lääniu,0.709,lääniu,0.783
9,lääneissä,0.707,läävin,0.7,läänisjä,0.782
10,naasan,0.703,lääniin,0.699,lääuiu,0.776
11,jaetun,0.666,lääneille,0.689,läinin,0.775
12,vaasan,0.661,lääniä,0.668,läämn,0.775
13,kihla,0.657,lääneissä,0.666,lääniosa,0.773
14,kih,0.646,läänien,0.666,läänm,0.772
15,nissä,0.645,lää,0.66,läiinin,0.766
16,pataljonan,0.643,läänistä,0.659,läällin,0.758
17,kajaanin,0.629,läänille,0.646,läänisiä,0.758
18,mustasaaren,0.626,maawiljelysseura,0.626,läänln,0.756
19,maasan,0.622,äänin,0.609,liiänin,0.754
20,hämeen,0.621,läänit,0.606,lääuin,0.743
21,turuu,0.611,lääneihin,0.602,llänin,0.743
22,waasan,0.608,ilmoituslehti,0.596,lääniä,0.741
23,alkeiskoulussa,0.598,läa,0.586,lääninä,0.737
24,pohjanmaan,0.594,maanwiljelysseura,0.585,lääniin,0.736
25,kihlakuntaan,0.592,lääneistä,0.584,lääniil,0.736
26,kihlakunnissa,0.586,lää-,0.578,läönin,0.726
27,miipurin,0.585,läänin-,0.575,läävissä,0.725
28,kaupungille,0.583,purjehdusseura,0.568,läänw,0.724
29,ylä,0.581,maanlonttorissa,0.562,läänill,0.722
30,maaseurakunnassa,0.567,maanmiljelysseura,0.56,läänien,0.721
31,ylä-alkeiskoulussa,0.566,hiippakunnasta,0.558,läänislä,0.71
32,hämeenlinnan,0.565,tihla,0.551,lääilin,0.709
33,mustialan,0.565,lääninkansliassa,0.55,läanin,0.708
34,niipurin,0.565,virasto,0.546,lälnin,0.706
35,ruotu,0.564,kirjallisuus-seuran,0.54,liiani,0.705
36,wiipu,0.561,maaseurakuntaan,0.539,läänillä,0.705
37,kuntaan,0.558,kihlakunnassa,0.537,liiiinin,0.694
38,mikkelin,0.557,kuwer,0.533,kihlakunta,0.692
39,rautalammin,0.557,läänintansliassa,0.532,lääninkin,0.691
40,ala-alkeiskoulussa,0.556,tih,0.53,laanin,0.688
41,lukiossa,0.555,läänejä,0.527,liänin,0.687
42,kaupunnissa,0.553,hiippakunnassa,0.526,lääniltä,0.685
43,opettajattaren,0.552,tumernöörin,0.521,lääviä,0.676
44,joensuun,0.551,piiri,0.519,läänit,0.672
45,ala-,0.551,maakonttorissa,0.512,laänin,0.668
46,kunnassa,0.551,purjehdusseuran,0.512,lääneissä,0.664
47,piirissä,0.55,maawiljelysseuran,0.511,läänille,0.659
48,maaherra,0.55,laupuugissa,0.51,läänisfä,0.656
49,seurakunnasa,0.546,howioiteus,0.51,läänissäkin,0.653
50,ilmajoen,0.545,kumer,0.507,maalaiskunnasta,0.651
51,salon,0.541,lunnista,0.507,läänis,0.635
52,ala,0.539,maankonttorissa,0.506,lääviin,0.63
53,eteläisessä,0.537,maankanselissa,0.505,lihlaluntaan,0.619
54,kunnissa,0.534,lääninhallituksessa,0.502,lääninsä,0.616
55,muutettu,0.533,lysseuran,0.502,homioileudelle,0.613
56,kymin,0.532,lääninhallitus,0.502,pursillubi,0.613
57,lappeenrannan,0.526,hippakunnassa,0.501,howioilcus,0.609
58,lakikunnassa,0.526,läänis,0.5,läänin^,0.605
59,nassa,0.526,kumcrnööri,0.499,äänin,0.604
60,sihteerin,0.525,säästöpankissa,0.499,lää^,0.604
61,asettamisesta,0.525,lakikunnassa,0.498,kihlakunnassa,0.604
62,kaupunkissa,0.522,laupunli,0.497,howioikeudelle,0.601
63,kihlakun,0.521,tuomiokunnissa,0.496,maanviljelysseuralle,0.601
64,karjalan,0.52,lääninlansliassa,0.496,kihlalunnassa,0.599
65,haettama,0.518,kulvernööri,0.495,lihlalunta,0.598
66,sortawalan,0.518,maanwiljelysseuran,0.494,maalaiskunnalle,0.598
67,asettaminen,0.516,lääninhallitukseen,0.492,lää=,0.597
68,pitäjähän,0.516,lumernöörin,0.491,luwcr,0.596
69,pormoon,0.516,homioileus,0.49,läänistä,0.596
