,fi_1880,fi_1880_d
0,maapalsta,0.851
1,maa-ala,0.843
2,alue,0.823
3,maakappale,0.804
4,maapala,0.791
5,maakaistale,0.746
6,tonttimaa,0.738
7,metsäpalsta,0.712
8,maan-ala,0.691
9,palsta,0.689
10,lastauspaikka,0.682
11,puistoksi,0.677
12,humila,0.674
13,tonttipaikka,0.673
14,palstatila,0.671
15,maanala,0.668
16,satamapaikka,0.663
17,kalustohuone,0.651
18,alve,0.647
19,asuinhuonerakennus,0.645
20,muokraoikeus,0.645
21,sotasatama,0.635
22,ratcnnus,0.635
23,laituri,0.634
24,liinteimistö,0.633
25,merimerkki,0.632
26,tehdasrakennus,0.631
27,rakennusryhmä,0.63
28,tiilirakennus,0.629
29,tehdaslaitos,0.627
30,asuinhuoneus,0.627
31,huwila,0.626
32,pamiljonti,0.625
33,laidunmaa,0.624
34,tilus,0.624
35,huvilarakennus,0.623
36,hulvila,0.623
37,maakartano,0.622
38,liikamaa,0.622
39,lullumäylä,0.621
40,makasiinirakennus,0.621
41,tukkimetsä,0.621
42,rakeunus,0.62
43,asuinkartano,0.618
44,kiinteimistö,0.618
45,aitaus,0.617
46,vesisäiliö,0.617
47,lisärakennus,0.616
48,puurakennus,0.613
49,maa-alaan,0.613
50,kimimuuri,0.613
51,rakennus,0.611
52,makasiini,0.61
53,vesivoima,0.61
54,ajosilta,0.61
55,maatilkku,0.609
56,maanosa,0.608
57,ajotie,0.607
58,ralcnnus,0.607
59,hakkuuoikeus,0.607
60,veromäärä,0.605
61,maltiolaina,0.604
62,maatila,0.604
63,asuinrakennus,0.603
64,asuinralennus,0.602
65,kruununpuistoksi,0.602
66,kartano,0.601
67,tiilitehdas,0.601
68,asuinrimi,0.6
69,huoneuslo,0.597
70,puustellille,0.595
71,maalunta,0.594
72,pamiljonki,0.594
73,tontti,0.594
74,metsämaa,0.594
75,asuntorakennus,0.593
76,puusilta,0.592
77,ullohuoneralennus,0.592
78,päärakennus,0.591
79,hautausmaaksi,0.591
80,aallonmurtaja,0.59
81,laskuoja,0.589
82,miemäri,0.588
83,arentimaalle,0.588
84,niemeke,0.587
85,mesimylly,0.586
86,palotorni,0.585
87,teurastushuone,0.585
88,mesijohto,0.585
89,wesimylly,0.585
90,rahasumma,0.585
91,halkometsä,0.585
92,koulukartano,0.584
93,kimirakennus,0.583
94,pappilalle,0.583
95,alueeseen,0.583
96,laimasilta,0.582
97,kiinnitys,0.582
98,kauppakartano,0.582
99,aituus,0.582
