,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,suurin,0.806,maata,0.567,maa^,0.748,maa^,0.885
1,osa,0.798,maan,0.491,maa-,0.707,maa°,0.853
2,meri,0.778,maatamme,0.477,maa*,0.634,lvaa,0.77
3,meren,0.755,maakunta,0.442,waa,0.62,waa,0.762
4,kuu,0.738,pelto,0.429,vaa,0.619,maa*,0.756
5,wesi,0.733,pohja,0.427,uaa,0.546,ivaa,0.741
6,mesi,0.728,ilmaa,0.421,ma,0.546,tvaa,0.722
7,sanotaan,0.727,metsä,0.417,malla,0.537,vaa,0.72
8,mainitaan,0.719,mailla,0.408,uut,0.53,maa-,0.717
9,rannalla,0.718,viljelys,0.404,lvaa,0.519,ma,0.668
10,melkein,0.709,vesi,0.396,massa,0.516,maakin,0.638
11,tienoilla,0.707,karja,0.394,maksi,0.498,mampaa,0.611
12,meden,0.698,wiljelys,0.391,waisuus,0.491,vtaa,0.61
13,seassa,0.697,kulku,0.391,ivaa,0.487,waa°,0.606
14,kutsutaan,0.696,alaa,0.385,vaa-,0.478,maa=,0.604
15,pohjan,0.695,metsää,0.385,maas,0.476,makin,0.604
16,puu,0.693,massa,0.385,matsi,0.47,niaa,0.601
17,nykyisin,0.692,ma,0.383,maan-,0.466,lva,0.589
18,aikaan,0.691,lanta,0.383,man,0.46,wampaa,0.587
19,aikoina,0.691,mesi,0.383,mata,0.459,malla,0.582
20,paikka,0.685,maassa,0.381,va,0.452,masti,0.579
21,auringon,0.685,suomenmaa,0.376,wan,0.446,muus,0.576
22,puolella,0.682,luonto,0.376,mamme,0.444,niasti,0.576
23,maassa,0.682,kansa,0.375,maisuus,0.443,uaa,0.575
24,euroopan,0.681,osiin,0.374,malle,0.437,maua,0.573
25,suomessa,0.677,niitty,0.373,maila,0.436,maöti,0.572
26,pieniä,0.676,maau,0.373,uau,0.435,maosa,0.57
27,sangen,0.674,kas,0.373,mana,0.434,massa,0.57
28,nousee,0.669,pohjaa,0.373,maata,0.434,masli,0.569
29,esimerkiksi,0.668,maailma,0.369,matonta,0.434,mammin,0.568
30,näissä,0.664,ruoho,0.369,lva,0.431,viaa,0.565
31,niillä,0.663,pellossa,0.368,wa,0.431,malta,0.563
32,etelä,0.662,alalla,0.363,maau,0.429,lnaa,0.561
33,paljon,0.662,raja,0.362,mattomaksi,0.429,mana,0.561
34,maata,0.661,mettä,0.36,maan,0.428,wassa,0.56
35,nähty,0.646,wilja,0.358,mau,0.427,ivassa,0.559
36,mettä,0.645,perällä,0.356,mattomana,0.426,man,0.556
37,päällä,0.644,kuori,0.355,unt,0.424,matonta,0.555
38,iso,0.641,pellon,0.355,pelto,0.422,lvasti,0.554
39,eri,0.64,ruunu,0.353,lnaan,0.421,mao,0.552
40,pai,0.638,wesi,0.352,nnt,0.419,niaan,0.551
41,kylmä,0.633,jokapaikassa,0.352,vata,0.419,wammin,0.55
42,turkin,0.631,ala,0.351,nottu,0.418,inaa,0.548
43,kolmas,0.627,pohjoisessa,0.349,van,0.418,mimpana,0.547
44,maasta,0.623,paikka,0.348,karja,0.417,mllsti,0.546
45,kansaa,0.621,aurinko,0.348,uaan,0.417,wan,0.546
