,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,suomenkieli,0.579,kansakunta,0.786,pääkaupunki,0.839
1,yhteys,0.576,paikkakunta,0.73,ruhtinaskunta,0.783
2,papisto,0.574,maltakunta,0.713,maalunta,0.759
3,seikka,0.573,lahkokunta,0.712,kuningaskunta,0.753
4,mahdoton,0.573,kaupunti,0.702,keisarikunta,0.752
5,seurakunta,0.568,pääkaupunki,0.696,asujamisto,0.75
6,yritys,0.562,sotajoukko,0.694,siirtokunta,0.73
7,yleinen,0.553,mäestö,0.679,kansakunta,0.729
8,europassa,0.551,kaupuuki,0.664,maltakunta,0.727
9,rahmas,0.549,puolue,0.661,niemimaa,0.72
10,mähäinen,0.547,kaupunki,0.66,satamakaupunki,0.72
11,pyyntö,0.547,valtakunta,0.65,pääkaupunkina,0.719
12,kansa,0.546,hallitsia,0.65,alusmaa,0.716
13,simistys,0.546,waltakunta,0.648,waltakunta,0.714
14,yhdistys,0.538,seutu,0.645,maanosa,0.71
15,sotamäki,0.538,armeija,0.639,liittokunta,0.71
16,laaja,0.537,mäcstö,0.638,waltiomuoto,0.707
17,yhdis,0.537,sotalaitos,0.636,ylimystö,0.706
18,rahwas,0.534,keisarikunta,0.63,heimokunta,0.697
19,haitta,0.533,bulgaria,0.627,valtakunta,0.695
20,maakunnalle,0.529,wäestö,0.627,saariryhmä,0.694
21,laitos,0.528,suomenmaa,0.627,oikeuslaitos,0.694
22,tarmis,0.528,hallitusmuoto,0.62,kaupunki,0.693
23,seudun,0.527,lahko,0.615,maltatunnassa,0.691
24,tärkeä,0.522,epäjärjestys,0.614,eteläisin,0.691
25,ruotsi,0.519,yhteiskunta,0.613,seutu,0.69
26,etu,0.519,ruhtinaskunta,0.612,hallitsijasuku,0.685
27,saksanmaan,0.518,kansallisuus,0.611,pääpaikka,0.684
28,kone,0.514,englandi,0.608,pääkaupungiksi,0.683
29,sääty,0.514,sotamäki,0.606,suurwalta,0.683
30,nykyään,0.512,raja,0.605,maakunnat,0.682
31,tys,0.51,väestö,0.604,sotalaimasto,0.681
32,kuitenli,0.509,hallitsija,0.6,asutus,0.68
33,rautatie,0.509,laimasto,0.597,armeija,0.68
34,europa,0.508,taupunti,0.596,paikkakunta,0.677
35,paikkakunnassa,0.508,sotawäki,0.595,alue,0.675
36,siwistys,0.506,postilaitos,0.595,armeja,0.673
37,moitto,0.506,järjestelmä,0.594,politiikka,0.671
38,seuraus,0.504,wäcstö,0.591,mäcstö,0.671
39,maatamme,0.503,alue,0.59,sotamoima,0.667
40,frankriikin,0.503,saksanmaa,0.586,wäcstö,0.666
41,jako,0.501,europa,0.586,uganda,0.665
42,kaupunki,0.501,kansa,0.584,sotajoukko,0.665
43,ainaki,0.5,liittokunta,0.584,päälaupunli,0.664
44,maakunnan,0.499,linnoitus,0.583,tasamaita,0.664
45,erittäinki,0.495,laiwasto,0.581,maakunnaksi,0.662
46,yleisö,0.493,pohjanmaa,0.581,waltatunnassa,0.662
47,perustettu,0.49,europaa,0.579,sotasatama,0.662
48,kulku,0.49,katsantotapa,0.579,mäeslö,0.662
49,kruunu,0.489,unkari,0.574,euroopa,0.661
50,sääntö,0.489,seurakuuta,0.573,mäesiö,0.659
51,kirjasto,0.489,laitos,0.572,sotawoima,0.659
52,tiedetään,0.488,guropassa,0.572,maakuntaa,0.659
53,mallan,0.487,sotawäti,0.572,tasawalta,0.655
54,ansio,0.487,sotalaiwasto,0.569,polititi,0.654
55,tiede,0.485,europalainen,0.568,suurimalta,0.654
56,luonnollista,0.485,kansakin,0.566,politili,0.654
57,tarkoituksena,0.485,ministeristö,0.566,kauppakaupunki,0.654
58,seurakunnalle,0.484,sotawoima,0.564,wapaawalta,0.651
59,malta,0.483,hallitns,0.562,hallitsin,0.65
60,malle,0.481,sanomakirjallisuus,0.561,europa,0.648
61,tehdas,0.48,wäestöstä,0.56,politiikki,0.648
62,nuoriso,0.479,maa-ala,0.557,pohjanmaa,0.647
63,paikka,0.478,rahapula,0.557,kaupuuki,0.646
64,nähtämä,0.477,tosi-asia,0.556,saksanmaa,0.645
65,euroopan,0.476,europassa,0.556,puolustuslaitos,0.645
66,maakuntaa,0.475,perustuslaki,0.555,väestö,0.645
67,tapahtuisi,0.474,ihmiskunta,0.555,hallitsia,0.645
68,itämältä,0.473,maakuntaa,0.555,waestö,0.644
69,paljous,0.473,sota,0.554,mannermaa,0.644
70,asia,0.473,seikka,0.551,edustuslaitos,0.644
71,muutenkin,0.473,tasawalta,0.55,yhdyskunta,0.644
72,maailma,0.473,kyläkunta,0.55,markkinapaikka,0.644
73,into,0.472,kiihko,0.55,maltalunta,0.643
74,nalle,0.471,kausa,0.55,yliherruus,0.642
75,perhe,0.471,snomi,0.548,politiiki,0.641
76,seki,0.47,sotamoima,0.546,linnamäki,0.641
77,muuallaki,0.47,preussi,0.546,pääpaikkana,0.639
78,omituinen,0.47,maara,0.546,maltioksi,0.639
79,maltakunnan,0.47,euroopassa,0.545,kaupunti,0.637
80,silta,0.47,mieli-ala,0.544,wäestö,0.637
81,suku,0.469,rasitus,0.544,maltatunta,0.637
82,suomelle,0.468,opetuslaitos,0.544,mäestö,0.634
83,hamaittu,0.467,ruotsalaisuus,0.543,rajariita,0.634
84,jokapaikassa,0.466,tanska,0.542,maltiomuoto,0.633
85,viljelys,0.466,hanke,0.542,autonomia,0.633
86,harma,0.466,kaupungiksi,0.54,satamaksi,0.632
87,siltä,0.466,ministeristä,0.54,tienoo,0.632
88,paikkakunnissa,0.464,liike,0.539,ylänkö,0.631
89,katsottu,0.463,saksa,0.538,monarkia,0.631
90,oikeastaan,0.463,wenäjä,0.538,heimo,0.63
91,sotawäki,0.462,serbia,0.538,maakunnan,0.63
92,erityisen,0.462,englanti,0.535,laupunki,0.629
93,hämittää,0.461,elinkeino,0.534,siirtola,0.629
94,maastamme,0.46,armeja,0.534,itsenäisyys,0.628
95,metsä,0.46,puola,0.533,eurooppa,0.628
96,rakennus,0.46,ranska,0.532,rajamaa,0.628
97,keksitty,0.46,seurakunta,0.532,sanomalehdistö,0.627
98,raakuus,0.46,rahwas,0.531,politiki,0.627
99,suus,0.46,asukas,0.531,lailvasto,0.626
