,fi_1880,fi_1880_d
0,maatieteellinen,0.785
1,geolooginen,0.748
2,looginen,0.706
3,maantieteellisen,0.705
4,taidehistoriallinen,0.7
5,muinaistieteellinen,0.689
6,filosoofinen,0.685
7,kirkkohistoriallinen,0.679
8,ginen,0.676
9,geologinen,0.675
10,suomalais-ugrilainen,0.659
11,muinaismuisto-,0.64
12,lääketieteellinen,0.634
13,luonnontieteellinen,0.634
14,kansallismuseo,0.629
15,tieteellinen,0.627
16,historiallinen,0.626
17,fysillinen,0.613
18,kansainmälinen,0.612
19,luonnontieteellisen,0.611
20,muinaismuistoyhdistyksen,0.607
21,fyysillinen,0.6
22,filosofinen,0.6
23,kansainwälinen,0.598
24,kansainvälinen,0.597
25,hist,0.595
26,arkeolooginen,0.595
27,tiedeseuran,0.589
28,tilastollinen,0.587
29,teknikkojen,0.582
30,pikakirjoittajain,0.578
31,muinaismuistoyhdistys,0.573
32,muinaismuisto,0.572
33,toriallinen,0.571
34,loogisen,0.571
35,polyteknikkojen,0.567
36,geoloogisen,0.566
37,kirjanpainajain,0.566
38,emankelinen,0.563
39,maantieteelliselle,0.562
40,ranskankielinen,0.56
41,seemiläinen,0.559
42,naisasialiitto,0.558
43,lansainmälinen,0.555
44,palestinan,0.555
45,hammaslääkärien,0.555
46,ewankelinen,0.552
47,polyteknillinen,0.551
48,saksankielinen,0.55
49,kirjaltajain,0.549
50,upsalan,0.549
51,matkailijayhdistyksen,0.549
52,teolooginen,0.546
53,suomalais-ugrilaisen,0.546
54,opillinen,0.545
55,pohjoismainen,0.543
56,lainopillinen,0.543
57,muinais-,0.542
58,neuwottelewa,0.537
59,länsisuomalaisen,0.537
60,maantieteellisiä,0.536
61,geo,0.535
62,tiedeakatemian,0.534
63,pohjoismaisen,0.534
64,filharmooninen,0.533
65,akademia,0.533
66,kotikielen,0.532
67,muinaismuisto-yhdistyksen,0.532
68,geologisen,0.531
69,geoloo,0.53
70,maantieteellisten,0.53
71,läätäriseuran,0.53
72,elämäkerrallinen,0.529
73,riallinen,0.528
74,kielitieteellinen,0.527
75,historiallisen,0.527
76,palestiinan,0.526
77,muinaismuisto-yhdistys,0.523
78,lääkäriseuran,0.521
79,kirjapainotaidon,0.52
80,teknillinen,0.52
81,polytelnillinen,0.518
82,logia,0.517
83,maantieteelli,0.517
84,kansantajuinen,0.517
85,maattinen,0.516
86,seinäkartta,0.516
87,eläintieteellinen,0.516
88,chitagon,0.515
89,englanninkielinen,0.515
90,historialliselle,0.515
91,länsisuomalainen,0.514
92,gtelä,0.513
93,flaamilainen,0.513
94,ehikagon,0.512
95,wirallineu,0.512
96,fridtjof,0.511
97,lääkeopillinen,0.511
98,hämäläisosakunnan,0.51
99,lansainwälinen,0.509
