,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lyhty,0.643,mahli,0.7
1,pyssy,0.64,martija,0.674
2,miekka,0.637,martia,0.669
3,wahti,0.632,tulisoihtu,0.642
4,palmelia,0.627,kahle,0.635
5,keppi,0.617,wahti,0.633
6,martia,0.609,peikko,0.621
7,palmelija,0.608,palmelija,0.609
8,kädessä,0.605,mahtimies,0.608
9,lukko,0.603,mihollinen,0.604
10,puukko,0.603,pahahenki,0.601
11,kirmes,0.6,mihollincn,0.599
12,lamppu,0.598,uljuus,0.593
13,haama,0.597,sortaja,0.587
14,moima,0.596,elementti,0.584
15,palama,0.594,vahti,0.582
16,haamu,0.589,lipunkantaja,0.577
17,sapeli,0.587,miekka,0.576
18,olvi,0.587,pylmäs,0.573
19,kylki,0.585,riemuhuuto,0.573
20,hurja,0.584,mahtama,0.573
21,malkoinen,0.584,pallvelija,0.569
22,portilla,0.583,moima,0.567
23,lippu,0.581,vartija,0.566
24,jalka,0.581,soihtu,0.56
25,ratsastaja,0.58,wartija,0.559
26,piippu,0.579,palmelia,0.558
27,keihäs,0.578,haltiatar,0.556
28,puku,0.578,rosmo,0.553
29,seinään,0.574,ryömäri,0.551
30,ylemä,0.574,moimatas,0.55
31,vuori,0.571,hahmo,0.549
32,kilpi,0.57,pylwäs,0.549
33,käärme,0.569,kummitus,0.548
34,lyönti,0.569,hurmaus,0.548
35,palwelija,0.569,hirmiö,0.548
36,esine,0.565,mieras,0.546
37,tölli,0.565,wihollinen,0.545
38,käsi,0.565,palama,0.545
39,olento,0.562,tirmes,0.544
40,torwi,0.561,timääri,0.543
41,juoni,0.56,mahlama,0.543
42,pyöreä,0.559,haahmo,0.543
43,koiras,0.559,kuohuma,0.543
44,sängyssä,0.558,haamu,0.542
45,pielessä,0.558,limääri,0.542
46,miehuus,0.557,tyranni,0.541
47,niskassa,0.556,indiaani,0.541
48,indiani,0.556,palmclija,0.541
49,käytämä,0.555,palawa,0.54
50,malkea,0.553,wihollincn,0.54
51,lakki,0.553,ryske,0.539
52,reikä,0.552,pakenema,0.539
53,katolla,0.551,miisaus,0.538
54,mieras,0.551,mahtawa,0.537
55,wartija,0.551,ijes,0.536
56,latki,0.55,ivoima,0.536
57,hartioilla,0.55,pelastama,0.535
58,nurkassa,0.549,piiska,0.535
59,huippu,0.549,pelastus,0.534
60,silmä,0.549,uhkarohkeus,0.533
61,nurkkaan,0.548,micras,0.532
62,timi,0.548,parmelta,0.532
63,kalu,0.547,lipinä,0.531
64,teltta,0.545,hyörinä,0.531
65,amain,0.545,lilpi,0.531
66,piha,0.543,moimalas,0.531
67,kapine,0.542,woima,0.53
68,tukema,0.542,merho,0.53
69,seinälle,0.541,martijana,0.529
70,terämä,0.54,lumous,0.529
71,liikutus,0.54,ratsastama,0.529
72,koira,0.537,palwelija,0.528
73,akkuna,0.535,masara,0.527
74,rengas,0.535,epätoimo,0.527
75,ajaja,0.533,mirta,0.527
76,palawa,0.533,pakeneminen,0.527
77,tonni,0.533,mahlawa,0.526
78,edessään,0.533,jättiläinen,0.526
79,miercssä,0.533,ratsastaja,0.526
80,ilkeä,0.532,sammuma,0.525
81,haawa,0.532,ruoska,0.525
82,kainalossa,0.531,sotamies,0.525
83,mäkemä,0.531,ääni,0.524
84,kynttilä,0.531,hätähuuto,0.523
85,porstuassa,0.53,pelastaja,0.523
86,rohkeus,0.53,herätyshuuto,0.522
87,nurkka,0.53,kalske,0.522
88,owi,0.529,konna,0.522
89,vieras,0.529,salpa,0.522
90,vahti,0.527,keihäs,0.522
91,mahma,0.526,sauwa,0.521
92,omelle,0.525,miesi,0.521
93,maate,0.524,parahdus,0.52
94,huoue,0.524,näkymätön,0.52
95,rippui,0.523,toitotus,0.519
96,mahtama,0.522,mahtamuus,0.519
97,nuora,0.522,seremonia,0.519
98,rinnassa,0.521,rumpali,0.519
99,kourassa,0.521,sapeli,0.518
