,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,martka,0.822,martka,0.862
1,marlla,0.77,marlka,0.843
2,rupla,0.689,markla,0.828
3,markkaa,0.666,marlta,0.796
4,peninkulmalta,0.612,märkta,0.792
5,märkta,0.609,martla,0.79
6,maikkaa,0.607,mkka,0.785
7,markalla,0.6,marffa,0.78
8,75,0.597,m.ka,0.764
9,nidottuna,0.597,mrk,0.753
10,martkaa,0.594,marlla,0.749
11,marlkaa,0.592,mka,0.738
12,marklaa,0.592,nirk,0.728
13,kopeekkaa,0.591,markkaa,0.715
14,pääsymaksu,0.585,mk,0.711
15,mrk,0.584,maikkaa,0.702
16,pcuniä,0.581,inrk,0.688
17,hengeltä,0.577,markk,0.686
18,lapsilta,0.577,penuiä,0.682
19,arkilta,0.574,mkk,0.674
20,50,0.573,pcuniä,0.67
21,pennia,0.571,mkkaa,0.667
22,kopekkaa,0.57,peuuiä,0.666
23,penniä,0.57,marlk,0.666
24,marttaa,0.568,nr.kaa,0.662
25,ruplalla,0.568,nukkaa,0.651
26,marltaa,0.565,arkkaa,0.65
27,peuniä,0.564,mk-,0.649
28,marlalla,0.564,marll,0.649
29,rnpl,0.561,nnkaa,0.648
30,kopeikkaa,0.56,peuniä,0.647
31,peuuiä,0.557,rasialta,0.646
32,ruftl,0.555,martkaa,0.645
33,marllaa,0.553,m.kaa,0.643
34,martlaa,0.552,peninä,0.642
35,penuiä,0.551,mrt,0.642
36,peninä,0.551,penniä,0.642
37,rupl,0.547,m.taa,0.641
38,palkollisilta,0.547,marnaa,0.639
39,rnplaa,0.547,mrkk,0.638
40,nijottuna,0.547,markl,0.636
41,60,0.546,p-.niä,0.633
42,marktaa,0.545,mrk.,0.632
43,kopekan,0.545,marktaa,0.632
44,dollaria,0.542,mtk,0.632
45,marffaa,0.542,mkaa,0.632
46,markalta,0.54,shillinki,0.631
47,kappale,0.54,hengeltä,0.63
48,mavffaa,0.538,niarkkaa,0.63
49,kopeekka,0.537,nartkaa,0.629
50,naulalta,0.537,marttaa,0.629
51,sidottuna,0.537,marlkaa,0.628
52,tunnilta,0.536,marklaa,0.627
53,pullolta,0.535,pcuuiä,0.626
54,leimiskältä,0.534,istuma-,0.624
55,ruplaa,0.534,mrkaa,0.622
56,rupi,0.532,markkaa^,0.622
57,pmiä,0.531,mkl,0.622
58,kansissa,0.529,penniä-,0.62
59,jokaiselta,0.527,centiä,0.619
60,naisilta,0.527,m.laa,0.618
61,nukkaa,0.526,mtkaa,0.616
62,virstalta,0.526,pennia,0.615
63,ruplasta,0.525,pcnuiä,0.615
64,martalla,0.525,piniä,0.614
65,kopeekalla,0.525,p-niä,0.614
66,leiwiskältä,0.524,mavffaa,0.612
67,80,0.524,merkkaa,0.611
68,pcuuiä,0.524,mk.,0.609
69,kannulta,0.524,dollari,0.608
70,kopeekan,0.523,inkaa,0.607
71,ruvl,0.523,pmiii,0.607
72,naulasta,0.522,marltaa,0.606
73,lvihko,0.521,markkaa.,0.606
74,mark,0.521,m-kaa,0.606
75,lastilta,0.521,mllaa,0.605
76,kartta,0.518,marna,0.605
77,kapasta,0.515,mckaa,0.605
78,hiuta,0.514,markaa,0.605
79,40,0.513,penniä^,0.604
80,hinta,0.511,p-iä,0.604
81,kopekalla,0.511,smk.,0.604
82,kuukaudelta,0.51,uukaa,0.602
83,äyrin,0.509,centtiä,0.602
84,jalalta,0.508,martlaa,0.602
85,p.niä,0.508,pääsölippu,0.601
86,kappaleelta,0.508,markkan,0.601
87,markan,0.507,m^kaa,0.601
88,ruplan,0.507,smrk,0.601
89,narkkaa,0.506,marflaa,0.601
90,sisäänpääsö,0.506,marllan,0.6
91,niottuna,0.502,markkua,0.599
92,mk,0.501,marikaa,0.599
93,martta,0.5,pennm,0.598
94,markk,0.499,p^niä,0.598
95,oppilaalta,0.498,niarttaa,0.598
96,marftaa,0.498,sisäänpääsömakso,0.598
97,mrt,0.496,p-.iä,0.597
98,tultakin,0.495,permiä,0.596
99,rpl,0.495,marllaa,0.595
