,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,ministeristä,0.924,ministeristä,0.979
1,ministerikunta,0.912,ministerislö,0.941
2,kansalliskokous,0.821,ministcristö,0.94
3,thiers,0.813,miuisteristö,0.924
4,gambetta,0.797,kabinetti,0.917
5,suitani,0.793,minisleristö,0.913
6,eduskunta,0.793,ministeristo,0.89
7,parlamentti,0.789,parlamentti,0.88
8,minis,0.777,pääministeri,0.859
9,puolue,0.775,edustajalamari,0.843
10,sultani,0.775,edustajakamari,0.836
11,suttani,0.773,wastustuspuolue,0.832
12,liittokunta,0.772,edustajatamari,0.827
13,kongressi,0.771,teristö,0.827
14,sultaani,0.769,sagasta,0.826
15,pääministeri,0.766,kansalliskokous,0.824
16,hallitus,0.764,ministerikunta,0.821
17,serrano,0.761,erispi,0.818
18,liittokunnan,0.753,liittoneuwosto,0.816
19,ministeri,0.752,gladstoue,0.815
20,paawi,0.751,gladstone,0.812
21,ministeristön,0.749,sijaishallitus,0.809
22,presidentti,0.749,edustajahuone,0.809
23,sotaministeri,0.746,crispi,0.809
24,tisza,0.745,ylähuone,0.802
25,hallitns,0.74,giolitti,0.799
26,lakub-khan,0.74,skuptshina,0.794
27,presi,0.736,tisza,0.793
28,itäwalta,0.733,ministerineumosto,0.792
29,preussi,0.727,rudini,0.792
30,kansalliskokouksen,0.724,ministerineuwosto,0.786
31,liitto,0.721,trikupis,0.785
32,wenäjä,0.721,inisteristö,0.785
33,italian,0.714,sotaministeri,0.782
34,saksanmaa,0.714,alahuone,0.78
35,mahmud,0.713,stortingi,0.78
36,lähettiläs,0.71,eduskunta,0.779
37,hallitusmuoto,0.71,ministeripula,0.779
38,paami,0.709,ferry,0.778
39,thicrs,0.708,delyannis,0.776
40,perustuslaki,0.704,sobranje,0.775
41,marsalkka,0.702,ministeri,0.774
42,litus,0.7,ministeristön,0.774
43,ministe,0.7,nudini,0.773
44,portti,0.697,freycinet,0.773
45,kapina,0.697,bourgeois,0.772
46,parlamentin,0.697,ministeripresidentti,0.772
47,konstantinopolissa,0.697,hallitus,0.771
48,hallitsija,0.695,depretis,0.769
49,englanti,0.692,cdustajakamari,0.769
50,ranska,0.691,wasemmisto,0.769
51,emiri,0.689,alihuone,0.768
52,italia,0.687,salisbnry,0.768
53,hamid,0.687,deljannis,0.767
54,parlamentissa,0.686,grewy,0.766
55,tasamaita,0.683,salisbury,0.765
56,itäwallan,0.683,meline,0.764
57,kansalliskokouksessa,0.681,gladstonc,0.763
58,itämaita,0.681,vasemmisto,0.761
59,englandi,0.681,sobranja,0.759
60,ministerikunnan,0.68,gladftone,0.759
61,suittani,0.678,meriministeri,0.758
62,espanja,0.677,mackinley,0.756
63,serbia,0.677,tasamaita,0.756
64,lordi,0.676,constans,0.755
65,venäjä,0.676,ylihuone,0.755
66,espanjan,0.675,alahuoneessa,0.755
67,itämältä,0.673,halliws,0.754
68,tasamallan,0.673,keskipuolue,0.754
69,ruhtinas,0.672,oikeusministeri,0.754
70,europalainen,0.672,kansallispuolue,0.754
71,weuäjä,0.671,waldeck-rousseau,0.753
72,nenäjä,0.671,ribot,0.752
73,hallitsia,0.671,oladstone,0.752
74,tasawallan,0.671,wekerle,0.751
75,gladstone,0.67,ulkopolitiikka,0.75
76,bismarek,0.669,gremy,0.749
77,preussin,0.669,edustajakunta,0.749
78,bazaine,0.669,konferensi,0.749
79,eduskunnan,0.668,edustajalamarissa,0.748
80,emiiri,0.668,ulkoministeri,0.748
81,wcnäjä,0.665,liittoneumosto,0.747
82,tasawalta,0.664,sotapuolue,0.746
83,egyptin,0.664,ulkoasiainministeri,0.746
84,presidentin,0.664,floquet,0.746
85,italialle,0.663,ministerineuvosto,0.745
86,prim,0.663,dupuy,0.744
87,lord,0.663,edustajahuoneessa,0.743
88,kreikka,0.663,waltioneuwosto,0.742
89,abdul,0.66,varakuningas,0.742
90,presidentiksi,0.66,sulttaani,0.742
91,itärumilian,0.658,tasawalta,0.741
92,keisarikunta,0.658,mastustuspuolue,0.741
93,serwian,0.658,loubet,0.741
94,sardinian,0.657,ministcristön,0.74
95,franskan,0.656,kongressi,0.74
96,bosnian,0.656,gambetta,0.739
97,kuninkaaksi,0.655,khedimi,0.738
98,garibaldi,0.655,rahaministeri,0.737
99,marsalkki,0.655,masemmisto,0.736
