,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,yhdistää,0.772,yhdistää,0.786
1,rajoittaa,0.733,mnodostaa,0.773
2,kohottaa,0.695,asettaa,0.724
3,somittaa,0.674,muodostaisi,0.719
4,muodostua,0.661,muodostua,0.714
5,käsittää,0.656,järjestää,0.699
6,sowittaa,0.655,rajoittaa,0.678
7,tasoittaa,0.652,erottaa,0.67
8,järjestää,0.648,rakentaa,0.668
9,johtaa,0.647,muodostella,0.665
10,kiertää,0.641,laajentaa,0.663
11,asettaa,0.638,käsittää,0.661
12,synnyttää,0.634,hajottaa,0.658
13,eroittaa,0.631,hajoittaa,0.654
14,hajoittaa,0.631,eroittaa,0.652
15,kukistaa,0.625,dostaa,0.651
16,masentaa,0.623,syrjäyttää,0.648
17,kääntää,0.62,jäljestää,0.647
18,luoda,0.614,lujittaa,0.645
19,katkaista,0.613,perustaa,0.64
20,laajentaa,0.613,aikaansaada,0.639
21,muodostamat,0.609,esittää,0.638
22,poistaa,0.609,muodostanut,0.638
23,säilyttää,0.606,toteuttaa,0.636
24,muodostetaan,0.605,mullistaa,0.633
25,saamuttaa,0.605,ulottaa,0.633
26,anastaa,0.601,kohottaa,0.632
27,ylläpitää,0.601,rakentua,0.631
28,hämittää,0.599,kiertää,0.63
29,europalaisen,0.596,ylläpitää,0.627
30,johdattaa,0.594,lamentaa,0.627
31,supistaa,0.591,jakaa,0.626
32,itsenäisyyden,0.589,anastaa,0.625
33,itsenäisen,0.589,pernstaa,0.624
34,täyttää,0.589,keskittää,0.623
35,maituttaa,0.587,sulattaa,0.623
36,edustaa,0.587,eroitlaa,0.622
37,purkaa,0.587,siirtää,0.622
38,ruhtinaskunnan,0.586,aseltaa,0.619
39,sulkea,0.585,muodostamat,0.618
40,suurentaa,0.583,muodostamaan,0.617
41,walloittaa,0.583,laatia,0.617
42,werrata,0.583,saamuttaa,0.615
43,murtaa,0.582,säilyttää,0.613
44,ohjata,0.58,malmistaa,0.611
45,häwittää,0.577,muobostaa,0.61
46,tuntea,0.577,croittaa,0.61
47,muodosti,0.576,johtaa,0.61
48,piirittää,0.573,säilyttämällä,0.61
49,nimittää,0.572,luoda,0.609
50,kohota,0.569,suunnitella,0.609
51,kannattaa,0.569,muodosti,0.608
52,erottaa,0.569,määritellä,0.607
53,muuttaa,0.568,sowiltaa,0.606
54,croittaa,0.568,saamnttaa,0.606
55,tunkea,0.566,saamutlaa,0.605
56,maikuttaa,0.566,eroiltua,0.605
57,walaista,0.565,täyttää,0.605
58,wahwistaa,0.565,muuttaa,0.604
59,puolustaa,0.565,suunnata,0.604
60,tyydyttää,0.564,supistaa,0.603
61,sysätä,0.562,jakautua,0.601
62,laskee,0.561,poistaa,0.599
63,kumota,0.56,ralenlaa,0.599
64,rakentaa,0.56,täydentää,0.599
65,hajottaa,0.559,lasittaa,0.598
66,mitata,0.559,esitlää,0.598
67,lemittää,0.559,sowittaa,0.597
68,lyhentää,0.557,malloittaa,0.597
69,kumata,0.556,rakeutaa,0.596
70,kiinnittää,0.556,omistaa,0.593
71,wailuttaa,0.554,katkaista,0.593
72,waikuttaa,0.553,valloittaa,0.593
73,koroittaa,0.553,somittaa,0.593
74,malloittaa,0.553,ralentaa,0.589
75,wastustaa,0.552,somiltaa,0.589
76,tunkeutua,0.551,malmislaa,0.588
77,wctää,0.55,kukistaa,0.588
78,pysyttää,0.549,malita,0.587
79,lamean,0.548,alistaa,0.587
80,laskea,0.548,edellyttää,0.587
81,suojella,0.546,lvalita,0.582
82,saawuttaa,0.546,kutistaa,0.582
83,lannistaa,0.545,muuntaa,0.581
84,merrata,0.545,pysyttää,0.581
85,kaimaa,0.545,jataa,0.581
86,helpoittaa,0.544,peruslaa,0.58
87,nojaa,0.544,muodostaen,0.58
88,peittää,0.544,lomittaa,0.58
89,sortaa,0.542,muutella,0.578
90,sitoo,0.541,tasottaa,0.578
91,pohjalle,0.541,edustaa,0.578
92,tarkoittaa,0.54,päältää,0.578
93,hyljätä,0.54,ulotuttaa,0.577
94,peräyttää,0.539,mastustaa,0.577
95,liittyä,0.538,muodostettaisiin,0.577
96,sekoittaa,0.538,jakaantua,0.576
97,korottaa,0.537,eloiltaa,0.576
98,luonteen,0.537,lohkaista,0.575
99,kartoittaa,0.536,muurata,0.575
