,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,muuttua,0.819,muuttua,0.816
1,kohota,0.782,kehittyä,0.798
2,edistyä,0.779,järjestyä,0.79
3,toteutua,0.758,sukeutua,0.773
4,menestyä,0.739,toteutua,0.768
5,ilmautua,0.728,kehkeytyä,0.766
6,lisääntyä,0.724,syntyä,0.75
7,parantua,0.723,uudistua,0.741
8,päättyä,0.72,kohota,0.721
9,ilmestyä,0.71,muodostaa,0.714
10,säilyä,0.705,jakaantua,0.711
11,syntyä,0.697,ilmaantua,0.71
12,työskennellä,0.695,laajentua,0.707
13,parata,0.679,synlyä,0.705
14,hajota,0.677,säilyä,0.703
15,juurtua,0.673,työskennellä,0.701
16,tnlla,0.673,asettua,0.7
17,maituttaa,0.671,jakautua,0.698
18,lyhentää,0.668,menestyä,0.697
19,tuntua,0.668,paisua,0.697
20,somittaa,0.667,juurtua,0.695
21,turwautua,0.661,aikaansaada,0.695
22,muodostaa,0.661,lehittyä,0.694
23,tuntea,0.661,elpyä,0.693
24,lemitä,0.66,supistua,0.69
25,pysyä,0.659,edistyä,0.69
26,mallita,0.659,sulautua,0.688
27,supistaa,0.656,someltua,0.687
28,karttua,0.655,järjestää,0.684
29,turmautua,0.655,liittyä,0.684
30,pyrkiä,0.654,onnistua,0.683
31,saamuttaa,0.653,soweltua,0.68
32,joutua,0.651,toteuttaa,0.678
33,walmistua,0.649,muodostumaan,0.676
34,werrata,0.647,jatkua,0.675
35,siirtyä,0.647,ulottua,0.668
36,tapahtua,0.646,muodostella,0.666
37,onnistua,0.644,rakentua,0.665
38,riippua,0.641,syutyä,0.664
39,lewitä,0.64,toimeensaada,0.664
40,nousta,0.64,ilmautua,0.662
41,ollakin,0.638,sulattaa,0.66
42,waikuttaa,0.636,lewitä,0.66
43,liikkua,0.634,jäljestää,0.66
44,suurentaa,0.634,johtua,0.659
45,kadota,0.633,maihdella,0.658
46,antautua,0.631,vaihdella,0.658
47,pilata,0.627,lemitä,0.656
48,olla,0.627,warttua,0.656
49,sowittaa,0.625,laajeta,0.655
50,poistaa,0.625,ilmestyä,0.652
51,wailuttaa,0.625,alentua,0.652
52,maikuttaa,0.624,päättyä,0.652
53,tulla,0.624,tapahtna,0.65
54,ulottua,0.621,matkaansaada,0.65
55,masentaa,0.62,selmitä,0.65
56,kitua,0.62,supistaa,0.65
57,sattua,0.619,muuttaa,0.65
58,ilmaantua,0.618,syrjäyttää,0.65
59,raueta,0.617,toimeentulla,0.649
60,turmella,0.617,selwitä,0.648
61,häwitä,0.617,sowitella,0.648
62,säilyttää,0.616,lohota,0.647
63,asettua,0.616,antautua,0.646
64,taipua,0.615,määritellä,0.645
65,tunkeutua,0.615,tapahtua,0.645
66,vaikuttaa,0.614,päätellä,0.645
67,kuulua,0.614,yhdistää,0.644
68,luettaa,0.613,perustua,0.644
69,huomata,0.612,malmistua,0.644
70,laskea,0.611,siirtyä,0.644
71,aikaansaada,0.61,lcmitä,0.64
72,käsittää,0.608,dostua,0.64
73,turmata,0.606,lisääntyä,0.639
74,langeta,0.604,koitua,0.638
75,kummastella,0.603,mersoa,0.637
76,tulevaisuudessa,0.602,yhdistyä,0.637
77,hajoittaa,0.601,rikastua,0.637
78,päättää,0.6,tekeytyä,0.637
79,waituttaa,0.599,waurastua,0.636
80,arwostella,0.599,mnodostaa,0.636
81,luoda,0.598,walmistua,0.634
82,merrata,0.597,hajaantua,0.633
83,anvata,0.596,muutella,0.632
84,sulattaa,0.595,pyrkiä,0.632
85,tunkea,0.594,sowiltaa,0.632
86,lakata,0.594,tajuta,0.632
87,ajatella,0.594,maurastua,0.631
88,erehtyä,0.592,työslennellä,0.63
89,järjestää,0.592,miihtyä,0.63
90,tyydyttää,0.591,lcwitä,0.628
91,arwella,0.589,tapahlua,0.627
92,ehtiä,0.588,kallistua,0.627
93,laajentaa,0.587,parantua,0.627
94,otaksua,0.586,tehdä,0.626
95,tarttua,0.584,asettaa,0.625
96,turwata,0.582,yltyä,0.623
97,pysyttää,0.58,nistua,0.622
98,heittää,0.579,unohtua,0.622
99,uhrata,0.579,käydäkin,0.622
