,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,sääntö,0.786,säädös,0.866
1,säännös,0.771,säännös,0.86
2,ehdotus,0.756,kielto,0.768
3,esitys,0.755,maatimus,0.751
4,päätös,0.733,waatimus,0.742
5,lisäys,0.732,rajoitus,0.741
6,ehdoitus,0.727,päätös,0.733
7,muutos,0.706,pääiös,0.73
8,suostumus,0.687,asetus,0.721
9,pykäle,0.687,tielto,0.714
10,vaatimus,0.684,lielto,0.712
11,chdoitus,0.674,asetusehdotus,0.712
12,rajoitus,0.672,vaatimus,0.712
13,ehdotns,0.67,muutosehdotus,0.708
14,kielto,0.669,ohjesääntö,0.707
15,waatimus,0.654,ehdotus,0.705
16,ohjesääntö,0.652,chdolus,0.7
17,maatimus,0.637,esitys,0.7
18,pykälä,0.636,päälös,0.693
19,myönnytys,0.636,julistus,0.692
20,anomus,0.632,myönnytys,0.687
21,julistus,0.627,ehdotns,0.684
22,taksa,0.62,lainehdotus,0.683
23,esityö,0.618,järjestyssääntö,0.683
24,wahwistus,0.617,maalimus,0.682
25,periaate,0.614,muutos,0.679
26,ohje,0.606,sääntö,0.678
27,dotus,0.604,lakimääräys,0.673
28,asetns,0.602,perussääntö,0.67
29,lysymys,0.6,tulkitseminen,0.67
30,järjestäminen,0.599,ehdoitus,0.67
31,lausunto,0.596,esiiys,0.67
32,järjestys,0.594,esityö,0.668
33,päättäminen,0.593,lainsäännös,0.667
34,tysymys,0.592,chdotns,0.667
35,rangaistus,0.586,poikkeus,0.667
36,laki,0.581,myöntymys,0.666
37,kirkkolaki,0.579,ehdoilus,0.665
38,tarkastaminen,0.578,esilys,0.664
39,koroitus,0.577,johtosääntö,0.661
40,asetus,0.577,merotus,0.66
41,ehto,0.576,periaate,0.659
42,matso,0.575,pykälä,0.659
43,jako,0.572,väätös,0.659
44,järjestelmä,0.572,laki-ehdotus,0.659
45,esityksessä,0.571,muistutus,0.656
46,kustannus,0.571,waalimus,0.655
47,syytös,0.57,asetns,0.655
48,edeswastaus,0.569,lisäys,0.654
49,määrä,0.569,paatos,0.654
50,kysymys,0.569,toimimalta,0.65
51,tutkimus,0.567,pytälä,0.649
52,osallisuus,0.567,julislus,0.649
53,lause,0.564,waatimns,0.649
54,määräystä,0.563,lainmääräys,0.648
55,poikkeus,0.561,käsly,0.647
56,suhde,0.561,selwitys,0.646
57,wahwistettawaksi,0.56,läsky,0.644
58,säädetään,0.56,chdoitus,0.644
59,tutkiminen,0.558,laki,0.644
60,määrääminen,0.557,ehdoitns,0.643
61,korwaus,0.556,ehdoms,0.642
62,momentti,0.556,anomus,0.642
63,pyyntö-esitys,0.556,tästy,0.642
64,eroittaminen,0.554,käskykirje,0.641
65,pyyntöesitys,0.554,palkkaus,0.64
66,kormaus,0.553,lakiehdotus,0.64
67,miete,0.552,toimenpide,0.637
68,säännöstä,0.551,wälipuhe,0.636
69,lakkauttaminen,0.551,järjestely,0.633
70,todistus,0.548,sitoumus,0.631
71,doitus,0.548,asctns,0.631
72,mielipide,0.548,werotus,0.631
73,määräyksestä,0.547,ehdutus,0.631
74,menetys,0.546,täsly,0.63
75,ehdotellaan,0.546,mälipuhe,0.629
76,rahamääräys,0.545,säädäntö,0.628
77,lasku,0.544,käsky,0.627
78,makso,0.543,aselus,0.627
79,hakemus,0.543,pankkilaki,0.627
80,määräykseen,0.542,helpotus,0.626
81,käsky,0.541,selmitys,0.625
82,nimitys,0.541,ehdolus,0.625
83,pyyntö,0.538,muulos,0.624
84,menetystäpä,0.538,waalitapa,0.624
85,kontrahti,0.537,malitus,0.624
86,asianlaita,0.537,anumus,0.624
87,järjestämisestä,0.537,järjestelmä,0.623
88,perustus,0.536,kästy,0.622
89,selitys,0.535,asctus,0.621
90,oppimäärä,0.535,määräy,0.621
91,palkkio,0.534,elinleinolali,0.621
92,ehdotuksessa,0.534,wäite,0.618
93,asetuksessa,0.533,täsky,0.617
94,rasitus,0.533,meroitus,0.617
95,oikeus,0.532,määritys,0.617
96,tarkastus,0.531,pykäle,0.616
97,sakko,0.531,weroitus,0.616
98,asia,0.53,maksutapa,0.616
99,rahamäärä,0.53,kormaus,0.615
