,fi_1880,fi_1880_d
0,kunnallinen,0.653
1,erityinen,0.641
2,yhteinen,0.633
3,lunnallinen,0.63
4,paikkakunnallinen,0.629
5,matillinen,0.626
6,marsinaincn,0.625
7,hallinnollinen,0.623
8,yleiueu,0.616
9,yleisempi,0.597
10,itsenäinen,0.595
11,maltiollincn,0.595
12,yleinen,0.592
13,tämänlaatuinen,0.59
14,pysymäinen,0.584
15,mainitunlainen,0.581
16,yleinm,0.579
17,perustettava,0.576
18,mälitön,0.576
19,varsinainen,0.575
20,tarpeenmaatima,0.573
21,marsinainen,0.573
22,yleiuen,0.572
23,suoranainen,0.568
24,maltiollinen,0.564
25,fyysillinen,0.563
26,yleineu,0.561
27,perustcttama,0.56
28,yleishyödyllinen,0.557
29,erikoinen,0.556
30,tansainmälinen,0.552
31,malliollinen,0.551
32,pcrustettama,0.551
33,taloudellinen,0.55
34,satunnainen,0.55
35,paikalliset,0.55
36,waltiollincn,0.55
37,osittainen,0.548
38,tieteellinen,0.547
39,ylemen,0.547
40,yleine,0.545
41,yhteiskunnallinen,0.545
42,kirkollinen,0.543
43,sotilaallinen,0.543
44,jonkinlainen,0.541
45,seurakunnallinen,0.54
46,erinäinen,0.54
47,yksityinen,0.539
48,yhtenäinen,0.539
49,erilyinen,0.538
50,jonkunmoinen,0.536
51,poliittinen,0.536
52,kansallinen,0.534
53,marfinainen,0.534
54,reaalinen,0.533
55,altiollinen,0.533
56,jonkunlainen,0.531
57,teoreettinen,0.53
58,ihteinen,0.526
59,poliitillinen,0.526
60,poliisihoito,0.524
61,jonlunlainen,0.524
62,kaksikielinen,0.523
63,aikaansaataisiin,0.523
64,pysywäinen,0.523
65,isänmaallinen,0.523
66,toimeenpantawa,0.522
67,toimeenpantava,0.521
68,ulotettama,0.521
69,tiollinen,0.52
70,valtiollinen,0.52
71,muodostettawa,0.52
72,monipuolisempi,0.52
73,perustettama,0.519
74,lansainmälinen,0.519
75,tarpeellinen,0.518
76,malttamaton,0.518
77,ahtaampi,0.516
78,saamutettama,0.516
79,opillinen,0.515
80,edistyneempi,0.514
81,wälitön,0.513
82,jonlinlainen,0.512
83,laajennettama,0.511
84,diplomaattinen,0.51
85,omatakeinen,0.509
86,omintakeinen,0.508
87,haitallinen,0.508
88,mapaampi,0.507
89,aikaansaatama,0.506
90,malinainen,0.506
91,mäliailainen,0.504
92,makituinen,0.504
93,tällainen,0.503
94,toimeenpantama,0.503
95,palollinen,0.502
96,mäliaikainen,0.502
97,suhteellinen,0.502
98,sijoitettava,0.502
99,politillinen,0.501
