,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,suomentaa,0.768,julkaista,0.881
1,julkaista,0.734,painaltaa,0.848
2,ulosantaa,0.651,jullaista,0.795
3,lähettää,0.644,julaisla,0.79
4,laatia,0.627,julaista,0.786
5,painettawaksi,0.624,suomentaa,0.751
6,esittää,0.616,jultaista,0.743
7,julaista,0.616,painattamaan,0.72
8,lukea,0.597,kopioida,0.714
9,kirjoittaa,0.572,painatetaan,0.703
10,painattanut,0.566,painettamaksi,0.684
11,toimittaa,0.561,painettamalsi,0.681
12,liittää,0.553,jnlaista,0.674
13,kirjana,0.552,sepittää,0.672
14,aikakautisen,0.552,lähettää,0.667
15,lisätä,0.552,laatia,0.666
16,merkitä,0.55,esittää,0.666
17,panettaa,0.549,painettaisiin,0.665
18,jakaa,0.549,lulca,0.664
19,esitellä,0.548,sidottaa,0.662
20,näytellä,0.548,merkitä,0.657
21,seuralta,0.542,jakaa,0.654
22,oikaista,0.542,painetuksi,0.654
23,kustantajan,0.54,merlitä,0.653
24,laittaa,0.536,käännättää,0.636
25,painosta,0.535,lukea,0.636
26,ulosantamaan,0.534,jataa,0.63
27,suomeksi,0.532,liittää,0.629
28,aloittaa,0.525,painettawaksi,0.628
29,toimeenpanna,0.524,uudistaa,0.628
30,painetuksi,0.523,julkaisemaan,0.626
31,lulea,0.522,kyhätä,0.62
32,panna,0.519,ilmestyä,0.618
33,jataa,0.518,peruuttaa,0.618
34,olettamaksi,0.517,piirtää,0.617
35,piirtää,0.516,esitellä,0.609
36,painattamisesta,0.516,julkaistamaksi,0.607
37,hymäksyä,0.514,julaistamaksi,0.607
38,täyttää,0.512,jalaa,0.602
39,julkaisemaan,0.512,lutea,0.601
40,kääntää,0.51,ulosantaa,0.6
41,kirjoittamaan,0.509,perustella,0.596
42,esiintuoda,0.509,jättää,0.595
43,jättää,0.508,esiintuoda,0.593
44,maiuita,0.508,leimata,0.592
45,teoksen,0.508,täydentää,0.59
46,kirjasta,0.507,painattanut,0.588
47,asettaa,0.506,lulea,0.585
48,lytätä,0.505,tekaista,0.584
49,suorittaa,0.504,lnlea,0.582
50,lutea,0.504,oikaista,0.582
51,tehdä,0.504,kerätä,0.582
52,suomenkielellä,0.502,julaistawaksi,0.577
53,käsitellä,0.502,esiltää,0.577
54,lausua,0.502,mustata,0.573
55,ottaa,0.501,julkaistawaksi,0.572
56,lähdettää,0.499,esitlää,0.571
57,painetaan,0.498,hanttia,0.569
58,ehdoitella,0.497,julaistamalsi,0.568
59,pauna,0.497,koota,0.568
60,kirjottaa,0.496,julaistawalsi,0.568
61,antaa,0.496,tehdä,0.568
62,ruotsinkielellä,0.495,ulosantamiseen,0.567
63,kirjaan,0.493,lilata,0.567
64,sanakirjan,0.493,jäljentää,0.566
65,kirjaa,0.493,lisätä,0.565
66,selittää,0.492,lainata,0.565
67,nimittää,0.491,toistaa,0.564
68,lehteemme,0.491,julkaisisi,0.564
69,malmistaa,0.49,siirtää,0.563
70,peruuttaa,0.49,hanklia,0.562
71,käyttää,0.489,malmistaa,0.562
72,suomennoksen,0.489,muodostella,0.562
73,hymätsyä,0.489,julkaisemiseen,0.56
74,selityksineen,0.487,tilata,0.56
75,perustaa,0.486,sowittaa,0.559
76,tarjota,0.486,kirjasena,0.558
77,ehdotella,0.484,ehdotella,0.557
78,uudistaa,0.483,lähetlää,0.557
79,kirjoista,0.482,naulata,0.556
80,ruotsiksi,0.481,mastaan-ottaa,0.555
81,tarkastaa,0.481,nitoa,0.555
82,sanakirjasta,0.48,painat,0.554
83,painattaminen,0.48,hankkia,0.554
84,kirjan,0.479,lerätä,0.554
85,painatti,0.475,käsitellä,0.553
86,laskea,0.475,tebdä,0.553
87,aikakaus,0.474,jältää,0.553
88,suomeksikin,0.471,näytellä,0.553
89,tirjoittaa,0.47,pyyhkiä,0.552
90,lnkea,0.47,lnkea,0.552
91,painoksen,0.47,asettaa,0.55
92,hankkia,0.469,suorittaa,0.55
93,painoon,0.469,maalata,0.549
94,peräyttää,0.468,kirjaksi,0.549
95,painettaisiin,0.468,jullaisemaan,0.549
96,painat,0.468,lemitellä,0.548
97,hanttia,0.468,kirjoituttaa,0.548
98,suomentaja,0.467,lomittaa,0.547
99,lainata,0.467,lunastaa,0.547
