,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kansalliskokous,0.903,kansalliskokous,0.905
1,kongressi,0.888,ministeristö,0.88
2,eduskunta,0.83,edustajakamari,0.87
3,ministerikunta,0.82,eduskunta,0.866
4,ministeristö,0.789,ministeristä,0.864
5,ministeristä,0.787,konferensi,0.851
6,parlamentin,0.779,edustajalamari,0.848
7,liittokunta,0.779,liittoneuwosto,0.841
8,hallitus,0.755,ministerislö,0.833
9,hallitns,0.753,edustajatamari,0.832
10,liittokunnan,0.746,edustajakunta,0.831
11,pääministeri,0.741,kongressi,0.829
12,parlamentissa,0.737,liittoneumosto,0.825
13,suitani,0.733,edustajahuone,0.824
14,sotaministeri,0.723,ministcristö,0.824
15,kansalliskokouksessa,0.719,skuptshina,0.824
16,tisza,0.714,minisleristö,0.822
17,suttani,0.707,kabinetti,0.822
18,sultaani,0.704,ministerineumosto,0.821
19,sotamäti,0.704,ylähuone,0.816
20,kansalliskokouksen,0.704,waltioneuwosto,0.814
21,thiers,0.697,cdustajakamari,0.811
22,pohjois-saksan,0.696,stortingi,0.809
23,minis,0.694,sobranja,0.806
24,gambetta,0.692,konferenssi,0.806
25,serrano,0.68,ministerineuwosto,0.798
26,kongressissa,0.679,sobranje,0.796
27,gladstone,0.678,ylihuone,0.795
28,lähettiläs,0.677,edustuskunta,0.791
29,kongressin,0.676,miuisteristö,0.791
30,sotamäki,0.674,ministeristo,0.783
31,konstantinopelissa,0.673,maltioneumosto,0.783
32,preussi,0.67,hallitus,0.78
33,portti,0.669,ministerineuvosto,0.777
34,espanja,0.668,alahuone,0.765
35,suittani,0.667,neuwosto,0.763
36,istunnot,0.667,alihuone,0.762
37,venäjä,0.665,ministerikunta,0.762
38,itämaita,0.665,gladstoue,0.758
39,kongressiin,0.664,wastustuspuolue,0.757
40,madrid,0.661,neumosto,0.755
41,mahmud,0.659,sijaishallitus,0.75
42,roomassa,0.658,teristö,0.745
43,sultani,0.657,gladstone,0.745
44,wenäjä,0.657,maapäiwät,0.742
45,saksanmaa,0.655,pääministeri,0.741
46,liitto,0.655,storting,0.74
47,ministeri,0.654,sagasta,0.738
48,itäwalta,0.654,kansallispuolue,0.735
49,serbia,0.654,maapäimät,0.735
50,parlamentille,0.651,kunnallisneumosto,0.734
51,aselepo,0.651,ylioikeus,0.731
52,maltiopäimät,0.65,wosto,0.73
53,ranska,0.65,halliws,0.729
54,sotalaiwasto,0.65,crispi,0.728
55,itämältä,0.644,hallitns,0.725
56,marsalkki,0.643,homerule,0.725
57,englanti,0.643,parlamentissa,0.725
58,franska,0.643,tasamaita,0.724
59,presidentti,0.642,maaliitto,0.724
60,presi,0.641,erispi,0.723
61,kreikka,0.64,edustajalamarissa,0.721
62,sotawäti,0.639,parlamentin,0.72
63,sotalaimasto,0.638,mackinley,0.716
64,thicrs,0.638,rauhankonferenssi,0.713
65,lakub-khan,0.636,renssi,0.711
66,vismarck,0.635,trikupis,0.71
67,marsalkka,0.634,salisbury,0.707
68,sotawäki,0.633,gladstonc,0.706
69,mahon,0.633,alahuoneessa,0.706
70,weuäjä,0.633,kansallisliitto,0.703
71,istuntonsa,0.633,edistyspuolue,0.702
72,italia,0.633,sotapuolue,0.702
73,konstantinopolissa,0.632,vaalilaki,0.701
74,perustuslaki,0.632,vasemmisto,0.701
75,wcnäjä,0.63,tullilaki,0.701
76,paawi,0.628,transmaal,0.7
77,preussin,0.627,varakuningas,0.7
78,kirkolliskokous,0.626,giolitti,0.699
79,fransta,0.626,oladstone,0.698
80,hallituskin,0.626,inisteristö,0.697
81,eduskunnan,0.626,mikado,0.697
82,italian,0.626,alihuonecssa,0.697
83,tasamaita,0.625,sulttaani,0.696
84,dufaure,0.625,depretis,0.696
85,itäwallau,0.624,wasemmisto,0.695
86,nenäjä,0.624,tisza,0.694
87,itävallan,0.622,khedimi,0.694
88,italialle,0.622,sotaministeri,0.693
89,presidentiksi,0.621,waltioneuwostossa,0.692
90,frauskan,0.621,edustajahuoneessa,0.692
91,bazaine,0.62,rudini,0.692
92,itävalta,0.619,salisbnry,0.692
93,franstan,0.618,longressi,0.692
94,englandi,0.618,ministeripula,0.691
95,litus,0.618,sultani,0.69
96,ruhtinas,0.617,maalaki,0.69
97,prim,0.616,keskipuolue,0.69
98,sotajoukko,0.613,delyannis,0.69
99,ruhtinaaksi,0.612,kauppaliitto,0.69
