,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kustantaa,0.694,rakentaa,0.804,pernstaa,0.931
1,perus,0.662,asettaa,0.761,pcrnstaa,0.895
2,asettaa,0.662,toimeenpanna,0.755,peruslaa,0.889
3,jäsenille,0.648,sijoittaa,0.72,peruttaa,0.786
4,erityisen,0.633,perustamiseen,0.706,rakentaa,0.785
5,tutkia,0.63,rustaa,0.702,perustettamaksi,0.784
6,malmistaa,0.628,kustantaa,0.68,sijoittaa,0.777
7,esitellä,0.624,rakennuttaa,0.678,perustettamalsi,0.771
8,hankkii,0.624,laittaa,0.67,perustettawaksi,0.757
9,rakentaa,0.622,laajentaa,0.657,perustettamatsi,0.756
10,kirjalli,0.617,perustamaan,0.651,perustettawatsi,0.751
11,yleistä,0.611,perustettaman,0.648,perustettavaksi,0.745
12,eduksi,0.61,hankkia,0.641,laittaa,0.735
13,malita,0.607,muuttaa,0.635,hommata,0.712
14,hank,0.604,pystyttää,0.629,rustaa,0.708
15,kutsua,0.603,hanttia,0.62,ratentaa,0.707
16,kehoittaa,0.603,laatia,0.619,ralenlaa,0.707
17,maamiljelyksen,0.593,panna,0.606,toimeensaada,0.705
18,uusien,0.592,ryhtyä,0.6,ralentaa,0.702
19,tystä,0.591,perustetaan,0.598,asettaa,0.701
20,hankkia,0.589,yksityisillä,0.597,puuhata,0.697
21,simistystä,0.588,siirtää,0.591,perustaisi,0.691
22,yhteyden,0.588,rakennettaman,0.591,perustettawalsi,0.69
23,koulujen,0.587,perustettaisiin,0.591,hanklia,0.689
24,hankkimaan,0.583,lyseota,0.587,rakennuttaa,0.689
25,simis,0.582,käyttää,0.576,hankkia,0.688
26,opetuksen,0.581,perustetuksi,0.576,hanttia,0.686
27,miseksi,0.579,pauna,0.571,laajentaa,0.686
28,kerätä,0.576,ylläpitää,0.566,sioittaa,0.685
29,kuntain,0.574,amata,0.566,liittyä,0.684
30,kustan,0.572,asettua,0.563,ulottaa,0.682
31,katsomatta,0.572,puuhata,0.561,perustamaan,0.665
32,yhteisellä,0.571,kansankoulu,0.557,perustamiseen,0.663
33,kasmattaa,0.568,ehdoitella,0.553,muuttaa,0.662
34,saamiseksi,0.566,anoa,0.553,munttaa,0.662
35,autaa,0.565,malmistaa,0.55,siirtää,0.654
36,tarpeel,0.563,waltiowaroilla,0.548,perustetaan,0.65
37,tämmöisen,0.562,perustanut,0.543,hanlkia,0.649
38,hallituk,0.562,perustamista,0.54,toimeenpanna,0.649
39,korottaa,0.562,esittää,0.538,amala,0.648
40,noudattaa,0.562,seminari,0.535,perustetuksi,0.648
41,jäseniä,0.56,perustaminen,0.533,perustettaisiin,0.646
42,perustukseksi,0.559,rumeta,0.531,yhdistää,0.646
43,erityinen,0.556,panua,0.531,amata,0.644
44,paremmalle,0.555,valmistaa,0.53,hanktia,0.644
45,päättämään,0.554,palkata,0.529,järjestää,0.644
46,asettamaan,0.553,kokoontua,0.528,liittäytyä,0.643
