,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,hallitusmuoto,0.813,hallitusmuoto,0.858
1,perustuslaissa,0.763,laki,0.83
2,kirkkolaki,0.751,waltiomuoto,0.81
3,ministeristä,0.737,asemelmollisuuslaki,0.785
4,laki,0.735,maltiomuoto,0.784
5,ministerikunta,0.73,perustuslakia,0.752
6,liitto,0.722,koululaki,0.749
7,sääntö,0.709,merilaki,0.736
8,eduskunta,0.705,autonomia,0.735
9,ministeristö,0.704,perustuslaissa,0.734
10,hallitsija,0.703,keisarikunta,0.731
11,koululaki,0.697,maalaki,0.722
12,järjestelmä,0.69,itsenäisyys,0.721
13,waltakunta,0.681,hallitusmuodon,0.719
14,asetns,0.676,kirkkolaki,0.715
15,asemelmollisuus,0.67,perustuslain,0.713
16,liittokunta,0.664,rikoslaki,0.713
17,keisarikunta,0.664,eduskunta,0.712
18,hallitns,0.659,lainsäädäntö,0.712
19,sotalaitos,0.653,asewelwollisuuslaki,0.709
20,tasamaita,0.651,politiikki,0.708
21,asewelwollisuus,0.651,tullitaksa,0.707
22,hallitsia,0.644,hallitsija,0.705
23,ruhtinaskunta,0.64,perustuslaiksi,0.705
24,hallitus,0.638,palkolaki,0.704
25,hallinto,0.637,kieliasetus,0.703
26,puolue,0.636,asetus,0.7
27,kiertokirje,0.636,perustuslakiin,0.695
28,kansalliskokous,0.636,asevelvollisuuslaki,0.693
29,tasawalta,0.636,hallitusmuodossa,0.688
30,parlamentti,0.632,perustus,0.687
31,asetus,0.632,sotalaitos,0.687
32,pykälä,0.631,peruslain,0.68
33,maltakunta,0.63,asctus,0.679
34,perustus,0.619,hallitusmuotoa,0.679
35,itsenäisyys,0.618,itsehallinto,0.679
36,valtakunta,0.606,periaate,0.677
37,pykäle,0.605,perustuslaillinen,0.676
38,edustus,0.605,tullitalsa,0.674
39,järjestys,0.6,laki-ehdotus,0.674
40,hallituskin,0.595,painolaki,0.673
41,säätämä,0.595,lakiehdotus,0.671
42,perustuslain,0.595,metsälaki,0.671
43,paami,0.595,lali,0.669
44,esitys,0.592,yhteiskuntajärjestys,0.668
45,nimitys,0.591,waltiopäiwäjärjestys,0.667
46,suostumus,0.591,perustuslait,0.667
47,aate,0.588,tieliasetus,0.667
48,ohjesääntö,0.586,säädäntö,0.666
49,kongressi,0.585,sosialistilaki,0.666
50,wahwistus,0.581,vaalilaki,0.666
51,paawi,0.58,waltiomuodon,0.665
52,kouluhallitus,0.576,edustuslaitos,0.665
53,ehdotus,0.576,painomapaus,0.664
54,enemmistö,0.573,tullitariffi,0.664
55,kirkolliskokous,0.573,edustuskunta,0.662
56,perustuslakia,0.572,maltiomuodon,0.661
57,thiers,0.572,tullitatsa,0.66
58,lali,0.571,kirkkolakimme,0.656
59,järjestäminen,0.569,rauhanliitto,0.656
60,parlamentissa,0.568,polititi,0.656
61,saksanmaa,0.567,sopimuskirja,0.654
62,julistus,0.567,politiikka,0.653
63,kongressissa,0.565,liittokirja,0.652
64,postilaitos,0.564,perussääntö,0.651
65,maliokunta,0.564,tasamaita,0.65
66,sominto,0.562,elinkeinolaki,0.65
67,hallitusmuodon,0.562,hallituskunta,0.65
68,kansakunta,0.56,ukaasi,0.649
69,parlamentille,0.56,kuningaskunta,0.648
70,lvalta,0.558,valtakunta,0.648
71,laiksi,0.557,lakiehdoitus,0.648
72,esiwalta,0.556,asetns,0.645
73,maimaishoito,0.556,eduskunnalle,0.645
74,maakunta,0.555,lainehdotus,0.644
75,kielto,0.555,manifesti,0.644
76,liittokunnan,0.553,oikeuslaitos,0.643
77,sopimus,0.553,edustajakunta,0.642
78,lakimme,0.552,asemelmollisuus,0.641
79,bulgaria,0.551,pankkilaki,0.641
80,hallitusmuotoa,0.549,erikoisasema,0.64
81,mapaus,0.549,asewelwollisuuslaista,0.64
82,myönnytys,0.549,perustuslakeja,0.64
83,preussi,0.549,säädös,0.638
84,rajoitus,0.548,asctns,0.638
85,puolustus,0.548,waltakunta,0.636
86,kansallisuus,0.547,säännös,0.635
87,pääministeri,0.546,lakina,0.634
88,maliotunta,0.545,sotilaslaki,0.634
89,waatimus,0.545,lakimme,0.633
90,päätös,0.545,julistus,0.632
91,ministeri,0.544,maltioneumosto,0.632
92,mielipide,0.544,eriuskolaislaki,0.632
93,mieli-ala,0.543,perustuslakien,0.631
94,mieliala,0.543,maltatunta,0.631
95,vaatimus,0.543,waltioneuwostossa,0.631
96,tasamalta,0.542,politiki,0.63
97,pääkaupunki,0.542,lieliasetus,0.63
98,portti,0.542,sotalaki,0.629
99,aikakausi,0.539,valtiomuodon,0.628
