,fi_1880,fi_1880_d
0,kansainvälinen,0.735
1,koulukokous,0.728
2,kansainwälinen,0.726
3,naisasialiitto,0.701
4,kansainmälinen,0.663
5,pleinen,0.647
6,nleinen,0.642
7,lansainwälinen,0.63
8,puutarhanäyttely,0.63
9,tansainmälinen,0.623
10,teollisuusnäyttely,0.62
11,suomalainen,0.619
12,taidenäyttely,0.614
13,teknikkojen,0.606
14,tuomalainen,0.603
15,bergenissä,0.594
16,snomalainen,0.593
17,hleinen,0.592
18,kristianiassa,0.592
19,pohjoismaiseen,0.592
20,luistinkilpailu,0.591
21,taidehistoriallinen,0.59
22,hammaslääkärien,0.589
23,unioonin,0.588
24,gnfimäinen,0.58
25,yleinen,0.578
26,koiranäyttely,0.578
27,weinen,0.575
28,ginen,0.573
29,vuomalainen,0.57
30,nuotsalainen,0.569
31,suoinalainen,0.568
32,teknillinen,0.567
33,meiuen,0.565
34,suomalaiuen,0.565
35,luonnontutkijain,0.565
36,vnome,0.564
37,pohjoismaitten,0.561
38,ehikagon,0.56
39,perustama,0.56
40,looginen,0.557
41,suomenkielinen,0.556
42,tuomen,0.554
43,kööpenhaminassa,0.551
44,lansainmälinen,0.551
45,uleinen,0.55
46,kansalaiskokous,0.55
47,suomalaincu,0.548
48,raittiustokous,0.548
49,dramaattinen,0.548
50,pohjoismaalainen,0.546
51,saomal,0.546
52,suomalaine,0.544
53,ruumiinpoltto,0.543
54,maantieteellinen,0.543
55,akateeminen,0.542
56,mleinen,0.541
57,vuomi,0.541
58,longressi,0.54
59,pohjoismaisen,0.538
60,ruotsalainen,0.536
61,leaatteri,0.536
62,venäläinen,0.536
63,uniooni,0.533
64,kotimainen,0.532
65,vuomeu,0.532
66,kansallismuseo,0.531
67,chitagon,0.531
68,suomalamen,0.531
69,umooni,0.529
70,helsirgissä,0.528
71,siemennäyttely,0.527
72,teollisuusnäyttelyyn,0.527
73,labor,0.527
74,kasvatusopillinen,0.527
75,kansainwälisessä,0.527
76,dleinen,0.526
77,anglo-finland,0.526
78,lääketieteellinen,0.524
79,korkeakoulu,0.523
80,suomalaille,0.522
81,teaatteii,0.522
82,yleiueu,0.522
83,raittiuslokous,0.521
84,gnsimäinen,0.521
85,enomen,0.52
86,näyttely,0.52
87,tiuskokous,0.519
88,pohjoismaista,0.519
89,suomen,0.519
90,palkintokilpailu,0.519
91,gnomen,0.518
92,uäyttely,0.518
93,meineu,0.517
94,tukholmassa,0.517
95,tanskalainen,0.517
96,lähetyskokous,0.517
97,tieteellinen,0.516
98,taidenäyttelyyn,0.516
99,työnseisaus,0.516
