,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,surkea,0.66,pnhe,0.784,pnhe,0.888
1,tapaus,0.658,puhetta,0.653,vuhe,0.776
2,kummallinen,0.656,ajatus,0.634,juhlaesitelmä,0.727
3,lause,0.641,laulusta,0.618,pnhc,0.725
4,ääni,0.636,wäitös,0.616,esitelmä,0.706
5,juttu,0.619,asia,0.606,raittiuspuhe,0.705
6,meno,0.614,laulu,0.606,puhetta,0.689
7,laulu,0.614,keskustelu,0.603,amauspuhe,0.685
8,merkki,0.611,kirjoitus,0.599,pube,0.679
9,ajatus,0.607,puheesta,0.598,juhlapuhe,0.675
10,merkillinen,0.603,lause,0.594,awauspuhe,0.669
11,koetus,0.601,juttu,0.591,esilelmä,0.666
12,seuraus,0.589,miete,0.59,keskustelu,0.657
13,muisto,0.585,puhuminen,0.59,esiteiniä,0.655
14,kirjallisuus,0.585,ääni,0.577,termehdys,0.646
15,seikka,0.581,sana,0.574,referaatti,0.645
16,sanoma,0.575,kysymys,0.571,terwehdyspuhe,0.642
17,tys,0.574,lysymys,0.569,annostelu,0.641
18,muoto,0.572,esitelmä,0.568,pohjustus,0.633
19,onnettomuus,0.57,aate,0.566,termehdyspuhe,0.626
20,yritys,0.57,juhlallisuus,0.566,puheesta,0.624
21,totuus,0.561,walitus,0.564,puheen,0.623
22,surullinen,0.558,mielipide,0.558,leslustelu,0.614
23,mielessä,0.556,nauru,0.553,leskustelu,0.61
24,mähäinen,0.55,keskustelusta,0.549,kestustelu,0.607
25,tärkeä,0.55,mieliala,0.548,pulie,0.606
26,esimerkki,0.549,lausuttu,0.545,lausuma,0.605
27,surkia,0.545,tirjoitus,0.545,esitelmi,0.604
28,soitto,0.545,yksimielinen,0.545,alustus,0.604
29,onneloin,0.543,asiasta,0.545,testustelu,0.601
30,mainio,0.54,mäitös,0.541,lestustelu,0.598
31,saksalainen,0.538,innostus,0.537,esiintyminen,0.595
32,mieras,0.538,juhlallinen,0.536,esittämänä,0.595
33,nainen,0.537,äänettömyys,0.536,keslustelu,0.593
34,pelko,0.536,mastaus,0.535,mäittelyä,0.59
35,kirjoitus,0.535,uhkaus,0.534,lauleltu,0.589
36,käsky,0.533,äänestys,0.534,ytimekäs,0.587
37,tunnettu,0.533,malitus,0.533,lausuja,0.586
38,selwä,0.533,merkityksestä,0.533,lause,0.586
39,runo,0.532,tysymys,0.532,turnaus,0.585
40,kerrottu,0.529,riita,0.531,väittely,0.58
41,juhla,0.528,ihastus,0.531,laulukirjasta,0.578
42,riemu,0.526,puhemies,0.53,eritelmä,0.578
43,jalo,0.525,päätös,0.53,luennonpitäjä,0.575
44,suomenkieli,0.525,esitys,0.53,keskustein,0.574
45,miesi,0.524,melu,0.528,vuorokeskustelu,0.572
46,meteli,0.523,tutkinto,0.526,ohjelmaosa,0.571
47,viimeinen,0.522,mastans,0.524,arwostelu,0.57
48,into,0.522,kokons,0.524,puolustuspuhe,0.569
49,suloinen,0.521,erimielisyys,0.524,esitelmin,0.569
50,tuttu,0.52,keskus,0.523,tervehdys,0.569
51,neito,0.519,laulettu,0.523,maamme-laulu,0.568
52,tähti,0.519,riita-asia,0.522,puheeu,0.567
53,sananlasku,0.514,juhla,0.522,pnheen,0.563
54,kieli,0.512,mieli-ala,0.521,esitelmii,0.563
55,suku,0.509,mieltymys,0.519,sepittämä,0.562
56,wieras,0.508,päätökseksi,0.518,teslustelu,0.562
57,mainen,0.505,arwelu,0.518,esittämä,0.562
58,muinoin,0.504,katsanto,0.517,lausunta,0.56
59,koski,0.502,malja,0.517,wäittely,0.56
60,nimi,0.502,seuraus,0.517,kirjoitus,0.558
61,erinomainen,0.502,eroaminen,0.516,puhem,0.556
62,yleinen,0.501,lauseesta,0.516,raittiudesta,0.556
63,semmonen,0.501,mieli,0.516,loppunumerona,0.556
64,hengellinen,0.501,vastaus,0.514,naisasiasta,0.555
65,paimen,0.5,huomio,0.509,esitelmästä,0.554
66,raamattu,0.5,puheen,0.507,ohjelmassa,0.554
67,muinen,0.5,juoni,0.507,laulettu,0.553
68,näkö,0.5,syytös,0.506,loppukohtaus,0.551
69,asia,0.498,kiitollisuus,0.506,kansallislaulumme,0.551
70,turha,0.497,enemmistö,0.505,juhlallisuus,0.551
71,tarina,0.497,aineena,0.505,mäittely,0.55
72,alku,0.496,kysymyksestä,0.504,soololaulu,0.549
73,onni,0.496,temppu,0.503,piaanonsoittoa,0.548
74,ruotsalainen,0.496,aikoinaan,0.502,lysymyz,0.548
75,sukkela,0.495,mirsi,0.5,juhlaesitelmän,0.548
76,julma,0.492,ajatuksesta,0.499,juhlakonsertti,0.548
77,tekijä,0.492,saua,0.499,puheita,0.548
78,ensimmäinen,0.491,saarnamies,0.498,juhlatilaisuus,0.547
79,elämä,0.491,keskustelussa,0.498,puhc,0.547
80,lasku,0.491,ilmaus,0.496,illanmietto,0.547
81,kunniaksi,0.491,kustelu,0.496,laulettuna,0.546
82,käytös,0.491,tutkimus,0.494,hymästijättö,0.546
83,kirjoitettu,0.489,puheessa,0.494,juhlaruno,0.545
84,silmissä,0.489,tokous,0.493,puhecu,0.545
85,täytetty,0.488,programmi,0.492,kysymys,0.545
86,suusta,0.487,ennustus,0.491,lesluslelu,0.544
87,tämäki,0.487,koraali,0.491,raittius-esitelmä,0.544
88,soma,0.486,soimaus,0.491,lauselma,0.544
89,ihana,0.485,rähinä,0.491,juhlahetki,0.543
90,kuolema,0.484,kohteliaisuus,0.49,opistolaisten,0.543
91,muutos,0.484,lotous,0.49,pnhccn,0.542
92,luonnollinen,0.484,kunniaksi,0.489,laulusta,0.541
93,murha,0.484,arkkipispa,0.489,päänumero,0.541
94,aamurusko,0.482,erimieliä,0.489,raittius-asiasta,0.54
95,herännyt,0.48,jumalanpalmelus,0.488,kumaclma,0.54
96,riita,0.479,kohtalo,0.488,kuunneltu,0.539
97,selitetty,0.479,puolustaja,0.487,raittiusasiasta,0.539
98,muori,0.478,puolustus,0.487,kiitospuheen,0.538
99,omituinen,0.477,puhuessa,0.487,tysymys,0.538
