,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,käytöstä,0.719,puollustaa,0.886,puollustaa,0.967
1,noudattaa,0.692,mastustaa,0.843,mastustaa,0.902
2,julkisesti,0.68,wastustaa,0.841,wastustaa,0.894
3,lakia,0.679,vastustaa,0.837,vastustaa,0.881
4,suojella,0.677,puoltaa,0.827,maslustaa,0.839
5,kieltää,0.665,sortaa,0.789,waslustaa,0.835
6,seurata,0.657,kumota,0.785,wastnstaa,0.813
7,selittämään,0.655,pysyttää,0.784,mastuslaa,0.804
8,maatansa,0.65,suojella,0.763,mastnstaa,0.801
9,tahtoa,0.647,loukata,0.763,puolustella,0.797
10,hallitusta,0.644,rajoittaa,0.756,puoltaa,0.789
11,maltaa,0.641,edustaa,0.754,kieltää,0.781
12,kunniaa,0.637,lumota,0.745,loukata,0.771
13,suosiolla,0.635,hillitä,0.741,syrjäyttää,0.769
14,tunnustaa,0.628,auttaa,0.74,noudattaa,0.763
15,totuutta,0.626,kukistaa,0.736,suojella,0.762
16,tuomita,0.623,syyttää,0.736,häwäistä,0.756
17,uskoa,0.621,rauhoittaa,0.728,rajoittaa,0.755
18,poistaa,0.62,häiritä,0.728,syyttää,0.754
19,makuuttaa,0.619,kieltää,0.72,suosia,0.754
20,hallita,0.618,noudattaa,0.718,astustaa,0.748
21,pyytää,0.615,soimata,0.714,toteuttaa,0.747
22,tuntea,0.614,nostattaa,0.704,mastustella,0.744
23,syyttää,0.613,polkea,0.703,edustaa,0.743
24,kansansa,0.612,lähestyä,0.699,auttaa,0.739
25,tutkia,0.61,miimyttää,0.695,torjua,0.734
26,tarkalla,0.609,suurentaa,0.689,järkyttää,0.73
27,koe,0.609,tyydyttää,0.688,nimittää,0.729
28,tuntoa,0.608,parjata,0.687,peitellä,0.729
29,tarkoitusta,0.607,tarkoittaa,0.684,kumota,0.728
30,herättää,0.604,suosia,0.682,perustella,0.723
31,auttaa,0.601,täyttää,0.68,harrastaa,0.723
32,miettiä,0.6,rikkoa,0.68,rauhoittaa,0.722
33,luontoa,0.597,nimittää,0.679,sclwittää,0.721
34,puolestansa,0.596,epäillä,0.678,tieltää,0.719
35,pettää,0.595,masentaa,0.676,kunnioittaa,0.717
36,estää,0.595,uskoa,0.671,halwentaa,0.716
37,kutsua,0.591,ahdistaa,0.666,veloittaa,0.715
38,tilaansa,0.59,hämmentää,0.665,wiiwyttää,0.714
39,intoa,0.588,maatia,0.663,ylläpitää,0.713
40,totista,0.588,anttaa,0.662,nondattaa,0.713
41,pakottaa,0.587,warjella,0.661,selittää,0.712
42,enentää,0.586,esittää,0.661,paheksua,0.711
43,yleistä,0.586,vastustamaan,0.66,ehkäistä,0.711
44,oikeutta,0.583,hyljätä,0.658,hämäistä,0.71
45,harjoittaa,0.581,puolustamaan,0.658,soimata,0.709
46,käsittää,0.581,toteuttaa,0.656,puolustaisi,0.709
47,oloa,0.58,marjella,0.655,väärinkäyttää,0.709
48,omaa,0.578,poistaa,0.653,sortaa,0.707
49,itseänsä,0.577,tunnustaa,0.652,hymäksyä,0.706
50,tekemästä,0.577,peloittaa,0.65,ticltää,0.705
51,löytää,0.576,kumata,0.65,hallita,0.705
52,parantaa,0.576,kunnioittaa,0.648,kurnota,0.705
53,wälttää,0.576,ylläpitää,0.647,miimyttää,0.705
54,mieliä,0.576,saamuttaa,0.646,estää,0.704
55,keksiä,0.575,edesauttaa,0.646,selwittää,0.704
56,katsomatta,0.575,peräyttää,0.646,suojata,0.703
57,tarkoittaa,0.574,tehä,0.646,halmentaa,0.701
58,mieltänsä,0.573,edistää,0.645,lumota,0.699
59,täyttää,0.573,salata,0.644,rikkoa,0.699
60,ymmärrystä,0.573,hymäksyä,0.644,waatia,0.698
61,kokee,0.572,johtaa,0.643,selmittää,0.698
62,armoa,0.571,kohdella,0.643,kukistaa,0.697
63,mielellään,0.57,selittää,0.642,lieltää,0.696
64,kehoittaa,0.568,kiihoittaa,0.641,epäillä,0.695
65,maallista,0.568,ehdoitella,0.641,uhata,0.693
66,rakkaudella,0.566,tehdä,0.64,vastustella,0.691
67,järjestystä,0.566,seurata,0.639,täyttää,0.691
68,koettaa,0.566,estää,0.638,annostella,0.691
69,totuuden,0.562,supistaa,0.638,salata,0.69
70,mielellänsä,0.561,puolustaman,0.637,hywäksyä,0.69
71,mastaau,0.561,punnita,0.637,maatia,0.69
72,selittää,0.56,rangaista,0.637,tukistaa,0.69
73,kokea,0.56,hallita,0.637,anttaa,0.689
74,kokemat,0.56,tieltää,0.635,kaunistella,0.688
75,waltaa,0.559,pakoittaa,0.635,amustaa,0.688
76,kääntää,0.558,käyttää,0.634,häiritä,0.688
77,ymmärtää,0.557,hywäksyä,0.631,lepyttää,0.687
78,walittaa,0.556,waatia,0.631,tyydyttää,0.686
79,korottaa,0.555,harrastaa,0.63,tunnustaa,0.685
80,rakkautta,0.552,säilyttää,0.63,vahingoittaa,0.685
81,soisi,0.552,esitellä,0.63,armostclla,0.685
82,käyttää,0.552,saawuttaa,0.629,liellää,0.684
83,itsiänsä,0.551,wiiwyttää,0.629,roastustaa,0.684
84,asiata,0.551,loukkaamatta,0.627,armostella,0.684
85,ajattelemaan,0.55,hyödyttää,0.626,edistää,0.682
86,totella,0.549,surkutella,0.626,esittää,0.681
87,näkisi,0.548,liikuttaa,0.624,pelotella,0.68
88,oikeata,0.547,ilmaista,0.623,hymätsyä,0.68
89,käskyjä,0.547,nskoa,0.622,parjata,0.679
90,omalle,0.547,katsoa,0.621,hillitä,0.678
91,uusilla,0.547,wäittää,0.621,selitellä,0.678
92,malttaa,0.546,kuwata,0.621,licltää,0.677
93,kaikkea,0.545,puolustanut,0.621,mahingoittaa,0.677
94,neumoa,0.545,aikaansaada,0.621,käyttää,0.676
95,nimittää,0.545,politiikia,0.621,wahingoittaa,0.675
96,luottaa,0.543,totella,0.619,emätä,0.674
97,kiel,0.543,vaatia,0.619,vaatia,0.674
98,liikuttaa,0.542,myöntää,0.619,mainota,0.673
99,halua,0.541,ihmetellä,0.619,kurittaa,0.672
