,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lahdessa,0.732,rajaa,0.752,alue,0.693
1,lahteen,0.725,rajana,0.728,rajana,0.69
2,eteläpuolella,0.709,linja,0.699,rajaa,0.686
3,rajalla,0.696,alue,0.687,yliherruus,0.673
4,saari,0.685,rajalla,0.683,rauhoittaminen,0.66
5,kulku,0.679,rajalle,0.677,mesistö,0.649
6,rajaa,0.674,maantie,0.674,wesistö,0.646
7,itämeren,0.658,rajalta,0.658,ylänkö,0.645
8,piiri,0.657,bulgaria,0.654,valloittaminen,0.637
9,rannoille,0.649,eteläpuolella,0.654,asema,0.632
10,meri,0.649,rajaan,0.644,pohjais,0.625
11,pohja,0.648,eteläpuolelle,0.643,maakunta,0.623
12,pohjaa,0.641,rajasta,0.635,ajema,0.622
13,malilla,0.641,rajoille,0.633,eteläpuolta,0.619
14,etelään,0.638,linnoitus,0.627,eteläisimmän,0.618
15,itä-,0.635,suunta,0.622,rajamaita,0.612
16,mirran,0.635,rajan,0.617,luowuttaminen,0.611
17,rannoilla,0.633,ruhtinaskunta,0.616,aiema,0.61
18,joki,0.633,alueelle,0.613,rajalla,0.609
19,niemen,0.632,balkania,0.612,eteläisin,0.607
20,ranta,0.631,saarten,0.611,lähtökohta,0.607
21,järmen,0.631,alueen,0.611,vesistö,0.607
22,pohjoiseen,0.627,rajat,0.61,ylimalta,0.607
23,sotamäki,0.626,asema,0.609,lullumäylä,0.606
24,länteen,0.625,rannikon,0.607,rajat,0.6
25,puolelle,0.623,maakunta,0.605,niemimaa,0.6
26,rannalla,0.621,sotajoukko,0.605,kaakkoispuolella,0.599
27,merestä,0.613,etelässä,0.604,saariryhmä,0.597
28,lahden,0.613,joki,0.601,seutu,0.595
29,idästä,0.61,rajoja,0.599,niemimaata,0.595
30,maantie,0.608,armeija,0.595,mirta,0.594
31,linna,0.607,maltakunta,0.593,aseina,0.591
32,ete,0.607,emärata,0.592,yliwalta,0.591
33,suussa,0.606,valloitus,0.591,rajan,0.59
34,poh,0.605,kulma,0.59,aluetta,0.588
35,sotajoukko,0.604,pääkaupunki,0.59,tulliraja,0.588
36,mäli,0.604,alueella,0.588,jokilaakso,0.587
37,meressä,0.601,järwi,0.587,päämoima,0.587
38,lanka,0.601,mustanmeren,0.583,keskusliike,0.586
39,itään,0.601,satama,0.582,mannermaa,0.586
40,rantoja,0.595,malloitus,0.581,herruus,0.584
41,wirran,0.593,lännessä,0.577,itäpuolta,0.583
42,halki,0.592,eteläisen,0.577,tasanko,0.583
43,laimasto,0.591,laimasto,0.575,tienoo,0.582
44,laatokan,0.589,sola,0.573,eteläpuolelle,0.581
45,länsi,0.587,itäpuolelle,0.573,pohjoisrannalla,0.58
46,jokea,0.587,idässä,0.572,länsirannalle,0.579
47,etelä,0.585,europalainen,0.571,rajoja,0.578
48,meren,0.584,pohjoispuolella,0.571,asemakin,0.576
49,mereen,0.577,jokea,0.569,länsirannalta,0.576
50,joen,0.575,postinkulku,0.567,rajamaille,0.575
51,rannan,0.571,eteläistä,0.566,ajotie,0.575
52,rannalta,0.57,länteen,0.564,mannermaata,0.575
53,salmen,0.568,lahtea,0.562,rannikosta,0.573
54,juoksu,0.567,sotamäki,0.562,asutus,0.573
55,jokien,0.565,wälinen,0.56,kamara,0.573
56,rannasta,0.565,armeja,0.559,pohjoispuolta,0.572
57,rautatie,0.564,rannoille,0.558,pohjoisen,0.572
58,pohjassa,0.563,itsenäisyys,0.558,rautatieyhteys,0.571
59,ylöspäin,0.562,länsipuolella,0.557,saartaminen,0.571
60,joessa,0.561,etelä,0.556,luomuttaminen,0.571
61,kulkemaan,0.56,kapea,0.554,ylimeno,0.57
62,aasiassa,0.56,välimeren,0.554,maalunta,0.569
63,liitto,0.559,wäli,0.553,länsirannalla,0.569
64,satama,0.557,linjaa,0.552,manteren,0.568
65,saimaan,0.557,kulkeminen,0.552,walta,0.568
66,mälillä,0.557,laiwasto,0.551,niemeke,0.568
67,läpitse,0.556,hautausmaa,0.55,koillispuolella,0.568
68,wuoren,0.555,rannikkoa,0.549,itsehallinto,0.567
69,päijänteen,0.554,tonaman,0.548,koillis,0.567
70,sotawäki,0.554,aluetta,0.547,sywennys,0.567
71,etelän,0.554,ruhtinaskunnan,0.547,asenia,0.567
72,wuori,0.553,pohjanmaa,0.546,mäylä,0.567
73,jär,0.552,saaristo,0.546,kartoittaminen,0.566
74,silta,0.552,rantoja,0.545,linnoitus,0.566
75,ylempänä,0.552,kultu,0.543,etelärannalle,0.566
76,wälilla,0.549,pohjoiseen,0.542,keskusta,0.565
77,kirkolta,0.548,suulle,0.541,rautatiealueen,0.564
78,läpi,0.547,koilliseen,0.539,sisäosiin,0.563
79,kaupunki,0.547,itämeressä,0.539,rajariita,0.563
80,wirta,0.546,pohjoisten,0.538,pohjoispuolelle,0.563
81,saaren,0.546,sotawoima,0.538,itärannalle,0.563
82,donaun,0.545,liitto,0.535,emärata,0.563
83,afrikan,0.544,sotamoima,0.535,anastaminen,0.562
84,niemellä,0.544,sopimus,0.535,wefillä,0.562
85,suun,0.543,aseina,0.535,wäylä,0.561
86,rannat,0.543,seutu,0.535,alusmaiden,0.561
87,pohjois,0.542,rannikolla,0.535,mäliscn,0.561
88,suulla,0.541,läntistä,0.534,saari,0.56
89,rantaa,0.541,sataman,0.534,puolustuslaitos,0.56
90,keskelle,0.541,itäpuolella,0.533,juopa,0.56
91,pohjaan,0.539,balkanin,0.532,rajoista,0.559
92,tappelu,0.538,saari,0.532,rajalle,0.559
93,saaressa,0.538,rantain,0.532,itärannalla,0.558
94,maantietä,0.538,solat,0.531,perkaustyö,0.558
95,keskellä,0.538,tiestä,0.531,länsipuoli,0.558
96,pohjois-,0.537,mesien,0.53,painopiste,0.557
97,mustan,0.536,etelä-,0.53,alueilla,0.557
98,rannoilta,0.536,sotamäti,0.529,pohjoisosa,0.557
99,laiwasto,0.536,egypti,0.529,ulkosataman,0.557
