,fi_1880,fi_1880_d
0,ratkaiseminen,0.886
1,ratlaisu,0.808
2,päättyminen,0.8
3,käsittely,0.789
4,harkitseminen,0.761
5,toteuttaminen,0.741
6,ratkaisusta,0.727
7,päättäminen,0.727
8,toteutuminen,0.719
9,tärkeys,0.712
10,toimeenpano,0.703
11,pohtiminen,0.695
12,ratkaisemisesta,0.692
13,ratkaisuun,0.682
14,ratkaisulla,0.682
15,jatkuminen,0.68
16,alkuunpano,0.679
17,kohtalo,0.678
18,hymälsyminen,0.677
19,harkinta,0.677
20,hymäksyminen,0.673
21,tohtalo,0.67
22,asia,0.665
23,toimeenpaneminen,0.663
24,ratkaisulle,0.661
25,selmittäminen,0.661
26,määritteleminen,0.66
27,käsitteleminen,0.656
28,tutkiminen,0.655
29,ratkaisussa,0.655
30,wiiwytys,0.653
31,kokoonkutsuminen,0.652
32,jatkaminen,0.652
33,ratkaisemiseksi,0.651
34,ratkaisemisessa,0.649
35,menestyminen,0.648
36,hywälsyminen,0.648
37,ratkaisua,0.647
38,erimielisyys,0.644
39,hylkääminen,0.643
40,viipyminen,0.642
41,määrittely,0.64
42,loppupäätös,0.639
43,tiedusteleminen,0.637
44,hywäksyminen,0.633
45,onnistuminen,0.633
46,käsittelylle,0.632
47,lykkääminen,0.631
48,valmistuminen,0.631
49,keskusteleminen,0.631
50,uudistus,0.628
51,hymätsyminen,0.628
52,riitakysymys,0.626
53,ratkaisemiseen,0.625
54,ratkaisemisen,0.625
55,välttämättömyys,0.624
56,olemassaolo,0.623
57,aikaansaaminen,0.621
58,kokoontuminen,0.621
59,muodostaminen,0.62
60,ratkaisun,0.616
61,toiminta,0.615
62,painopiste,0.615
63,muodostus,0.613
64,miipyminen,0.613
65,istuntokausi,0.613
66,käänne,0.612
67,päättymisestä,0.611
68,lykkäys,0.611
69,järjestäminen,0.61
70,hajottaminen,0.609
71,tulemaisuus,0.608
72,tulewaisuus,0.606
73,lopulliselle,0.606
74,parantuminen,0.605
75,kukistuminen,0.603
76,tutliminen,0.603
77,wahwistaminen,0.602
78,toimenpide,0.602
79,riippumattomuus,0.602
80,päätös,0.602
81,epäwarmuus,0.601
82,esittely,0.6
83,menestys,0.6
84,tulos,0.599
85,tulcwaisuus,0.598
86,lopettaminen,0.597
87,kukistaminen,0.597
88,muutos,0.596
89,käytteleminen,0.596
90,yhtyminen,0.595
91,esitteleminen,0.595
92,hanke,0.593
93,lohtalo,0.593
94,hallitseminen,0.591
95,valloittaminen,0.591
96,esittäminen,0.59
97,miimytys,0.589
98,julkisuus,0.589
99,rajakysymys,0.588
