,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,rauhan,0.624,ranha,0.788,ranha,0.893
1,keskinäinen,0.62,lepo,0.723,lewollisuus,0.718
2,onni,0.618,sowinto,0.681,rauhallisuus,0.704
3,riita,0.617,yksimielisyys,0.638,ystäwyys,0.703
4,pelko,0.614,sominto,0.633,rauhattomuus,0.69
5,italia,0.586,orjuus,0.632,lemollisuus,0.689
6,rakkaus,0.582,nauha,0.63,ystämyys,0.688
7,riemu,0.575,ystäwyys,0.623,raklaus,0.67
8,meteli,0.569,rauhattomuus,0.616,rattaus,0.669
9,kapina,0.566,sopu,0.611,ijäinen,0.664
10,lepo,0.563,siunaus,0.608,ralkaus,0.663
11,siunaus,0.56,tomullensa,0.607,onnellisuus,0.661
12,italian,0.555,rakkaus,0.606,lepo,0.66
13,sota,0.553,ystämyys,0.597,pimeys,0.659
14,toiwo,0.549,autuus,0.597,rakkaus,0.659
15,kansallinen,0.548,rauhan,0.588,elämä,0.652
16,kiitos,0.544,rauhaa,0.587,autuus,0.649
17,liitto,0.543,miehuus,0.583,rattans,0.649
18,itäwallan,0.543,liitto,0.583,sopusointu,0.648
19,oikia,0.541,riemu,0.582,ratlaus,0.648
20,ilo,0.539,eripuraisuus,0.581,yksimielisyys,0.647
21,010,0.538,sisällinen,0.567,ikuinen,0.646
22,wiha,0.538,rauhasta,0.564,weljeys,0.643
23,köyhyys,0.534,aselepo,0.564,taistelu,0.642
24,rauhaa,0.532,solmittu,0.564,anarkia,0.641
25,himo,0.532,perikato,0.563,eripuraisuus,0.64
26,napoleon,0.53,pelko,0.562,walleus,0.638
27,yleinen,0.528,rauhau,0.556,weljellisyys,0.636
28,sisällinen,0.527,sota,0.554,rauhaa,0.635
29,paami,0.526,taistelu,0.554,perikato,0.631
30,murhe,0.525,hallitusmuoto,0.553,walkeus,0.63
31,jumalalle,0.525,totinen,0.549,orjuus,0.63
32,kiinan,0.52,rohkeus,0.546,taistelo,0.629
33,into,0.52,rauhallinen,0.546,veljeys,0.625
34,suru,0.515,waltakunta,0.545,ijankaikkinen,0.621
35,hätä,0.515,kuolema,0.543,sopu,0.62
36,kristillisyys,0.513,tasawalta,0.54,rauhan,0.619
37,nälkä,0.513,katumus,0.538,raltaus,0.616
38,kii,0.511,kirous,0.538,rakkans,0.615
39,paawin,0.51,ikuinen,0.537,tyyneys,0.611
40,muisto,0.51,elämä,0.536,epätoiwo,0.61
41,menestys,0.51,menestys,0.536,autuaallinen,0.61
42,nero,0.51,mieliala,0.535,riemu,0.607
43,meno,0.506,walkeus,0.534,lewottomuus,0.603
44,onnettomuus,0.504,wiha,0.533,sisällinen,0.598
45,wapaa,0.503,kapina,0.533,miehuus,0.598
46,ihana,0.502,kosto,0.533,valkeus,0.598
47,surkea,0.501,keskinäinen,0.533,meljeys,0.597
48,loppunut,0.495,ilo,0.532,laupeus,0.596
49,rauhaan,0.494,onni,0.531,perhe-elämä,0.595
50,sardinian,0.493,hallitsia,0.527,jumalassa,0.594
51,englantilaisten,0.493,loppuansa,0.525,rauhallinen,0.593
52,wienissä,0.493,siunattu,0.524,ratkaus,0.592
53,luoja,0.493,tasamaita,0.522,siunaus,0.591
54,neapelin,0.493,europalle,0.52,rullaus,0.591
55,totinen,0.492,totuus,0.518,rallaus,0.59
56,onnen,0.492,rajaton,0.517,malkeus,0.59
57,käsky,0.492,rooma,0.516,itsenäisyys,0.59
58,pimeys,0.491,maallinen,0.515,tyytywäisyys,0.589
59,italiasta,0.487,murhe,0.515,suru,0.589
60,isämme,0.483,valtiollinen,0.513,synkkyys,0.588
61,senkaltainen,0.483,kauhistus,0.513,ijankaikkisesti,0.588
62,elämä,0.483,nuoruus,0.512,epätoimo,0.588
63,jalo,0.477,nöyryys,0.511,rauhau,0.588
64,sotamäki,0.476,perustuslaillinen,0.508,aseellinen,0.586
65,erinomainen,0.476,pimeys,0.507,totuus,0.586
66,keisari,0.474,itsenäisyys,0.506,waino,0.585
67,maallinen,0.474,wapaus,0.505,ijanlaillinen,0.585
68,turkin,0.473,onnellisuus,0.504,rauhalla,0.585
69,elämämme,0.472,valtakunta,0.503,häiritsemätön,0.585
70,raakuus,0.471,pyhitetty,0.5,hiljaisuus,0.584
71,julma,0.47,raittius,0.5,ystävyys,0.583
72,italiassa,0.47,toiwo,0.498,kuolemassa,0.58
73,wallan,0.47,sankari,0.497,turmallisuus,0.578
74,pimeyden,0.469,waltiollinen,0.497,tyytyväisyys,0.576
75,toimo,0.468,pahuus,0.496,kansalaissota,0.574
76,hirmuinen,0.468,ahdistus,0.496,ijäisyys,0.574
77,preussin,0.467,tuska,0.494,kristinusko,0.573
