,fi_1880,fi_1880_d
0,puheenaolema,0.692
1,hallinnollinen,0.681
2,ratkaistu,0.678
3,puheenaolewa,0.659
4,lainmukainen,0.65
5,riidanalaisena,0.648
6,ratlaistawa,0.643
7,tarpeeton,0.641
8,laiton,0.64
9,ratlaistama,0.64
10,seliuä,0.636
11,mähäpätöinen,0.635
12,ehdollinen,0.635
13,muodollinen,0.632
14,rattaistama,0.632
15,ratlaistu,0.632
16,puheenalainen,0.631
17,edellämainittu,0.628
18,oikeudellinen,0.627
19,sekawa,0.625
20,ratkaistama,0.623
21,sellaiuen,0.622
22,ratkaistawa,0.62
23,epätäydellinen,0.62
24,äskenmainittu,0.614
25,selwitetty,0.612
26,ratkaistuna,0.611
27,tämänkaltainen,0.608
28,perätöin,0.605
29,lumottu,0.596
30,periaatteellinen,0.596
31,puolueasia,0.595
32,aiheeton,0.595
33,perusteeton,0.595
34,mähäpätöincn,0.593
35,malitettama,0.591
36,oikeudeton,0.589
37,toisenlainen,0.587
38,poliittinen,0.586
39,pulmallinen,0.586
40,epämarma,0.584
41,puheena-olema,0.582
42,wastamainittu,0.582
43,seltvä,0.581
44,syrjäytetty,0.581
45,samallaincn,0.581
46,kumottama,0.581
47,mähäarmoinen,0.58
48,epäilemätön,0.579
49,monimutkainen,0.579
50,laillinen,0.579
51,simuasia,0.578
52,felwä,0.578
53,mutkallinen,0.578
54,ratkaisema,0.578
55,ratkaistamana,0.577
56,matillinen,0.577
57,ratkaisematon,0.576
58,samainen,0.575
59,päinmastainen,0.575
60,erehdyttämä,0.575
61,kieltämätön,0.574
62,tietymätön,0.574
63,hylättäwä,0.574
64,päinwastainen,0.574
65,ratkaisewa,0.574
66,todenperäinen,0.573
67,oleellinen,0.573
68,yllämainittu,0.571
69,perätön,0.57
70,sotaministerillä,0.57
71,semmoinen,0.569
72,sellvä,0.569
73,wähäpätöinen,0.568
74,auttamattomissa,0.568
75,epäiltämä,0.567
76,säätylaki,0.567
77,kumottu,0.567
78,lykättämä,0.567
79,rauennut,0.566
80,kummastuttama,0.565
81,nykyinen,0.565
82,peruuttamaton,0.564
83,ylsimielinen,0.564
84,toteutumaisillaan,0.563
85,tänlainen,0.562
86,epäämä,0.562
87,hyiväksytty,0.562
88,vähäpätöinen,0.562
89,selivä,0.561
90,felmä,0.56
91,arkaluontoinen,0.56
92,todenmukainen,0.56
93,tärkeäkin,0.56
94,samansuuntainen,0.559
95,mirheellinen,0.559
96,selmitetty,0.559
97,yksimielinen,0.559
98,epäkäytännöllinen,0.558
99,parlamentaarinen,0.558
