,fi_1880,fi_1880_d
0,sosialistinen,0.735
1,valtiollinen,0.699
2,itämainen,0.682
3,maltiollinen,0.673
4,parlamentaarinen,0.669
5,sosiaalidemokraattinen,0.666
6,maltiollincn,0.664
7,waltiollincn,0.663
8,tasamaltainen,0.662
9,tasawaltainen,0.658
10,poliitillinen,0.658
11,yhteiskunnallinen,0.651
12,yleinen,0.65
13,malliollinen,0.644
14,altiollinen,0.64
15,poliitinen,0.637
16,demokraattinen,0.634
17,politillinen,0.633
18,uskonnollinen,0.627
19,nykyaikainen,0.624
20,länsimainen,0.621
21,nihilismi,0.621
22,sosialismi,0.621
23,kommunismi,0.615
24,anarkistinen,0.608
25,kansallinen,0.607
26,sosiaali,0.605
27,työwäenliike,0.602
28,listinen,0.597
29,poliittinen,0.594
30,anarkismi,0.585
31,liberaalinen,0.585
32,sisällinen,0.58
33,sosialismin,0.578
34,tasamaltalainen,0.577
35,kunnallinen,0.577
36,tasavaltainen,0.575
37,kirkollinen,0.575
38,rule,0.574
39,teiskunnallinen,0.572
40,itälvallassa,0.572
41,flaamilainen,0.571
42,ranskassa,0.567
43,gladftonen,0.567
44,belgiassa,0.566
45,realistinen,0.565
46,mastustama,0.563
47,mapaamielinen,0.562
48,työmäenkysymys,0.56
49,velgiassa,0.559
50,ikimanha,0.558
51,epäkansallinen,0.557
52,tansainmälinen,0.557
53,wastustawa,0.557
54,naiskysymys,0.556
55,tämänlaatuinen,0.554
56,kapinallinen,0.554
57,vöhmissä,0.554
58,tiollinen,0.554
59,wallitscwa,0.553
60,lansallinen,0.553
61,dleinen,0.55
62,perustuslaillinen,0.55
63,vanhoillinen,0.55
64,elimellinen,0.549
65,wapaa,0.548
66,naisasia,0.546
67,demo,0.543
68,kiihkoisa,0.542
69,voimallisin,0.542
70,kumous,0.542
71,kansainmälinen,0.541
72,itäwallassa,0.541
73,ilusi,0.54
74,saksassa,0.539
75,sisäinen,0.538
76,kaksinainen,0.538
77,sotaisa,0.537
78,böhmissä,0.537
79,anarkismin,0.536
80,työmiespuolue,0.535
81,yksilöllinen,0.535
82,pulmallinen,0.533
83,waltiollinen,0.533
84,omatakeinen,0.531
85,sosialistein,0.53
86,sosiali,0.529
87,protestanttinen,0.528
88,unkarissa,0.528
89,radikaalinen,0.528
90,englannissa,0.527
91,liberalinen,0.527
92,sowinnollinen,0.526
93,hengellinen,0.526
94,häpeällinen,0.525
95,todellinen,0.525
96,jyrkin,0.524
97,uufi,0.523
98,serbialainen,0.523
99,kristillinen,0.523
