,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,estää,0.7,marjella,0.816,suojata,0.904
1,hallita,0.693,kukistaa,0.808,varjella,0.886
2,puolustaa,0.677,warjella,0.806,marjella,0.872
3,pakottaa,0.665,varjella,0.796,warjella,0.856
4,estämään,0.659,hallita,0.781,turmata,0.802
5,seurata,0.645,sortaa,0.774,estää,0.794
6,etsiä,0.637,häiritä,0.765,auttaa,0.794
7,pelastaa,0.636,auttaa,0.764,mahingoittaa,0.791
8,kokea,0.634,puolustaa,0.763,puollustaa,0.79
9,herättää,0.634,wastustaa,0.757,hallita,0.784
10,parantaa,0.633,hämittää,0.752,uhata,0.782
11,mieltänsä,0.622,ahdistaa,0.752,torjua,0.782
12,säilyttää,0.621,torjua,0.751,turwata,0.78
13,katsoa,0.617,lähestyä,0.749,sortaa,0.775
14,häwittää,0.612,rauhoittaa,0.748,rauhoittaa,0.774
15,enentää,0.608,polkea,0.747,lepyttää,0.773
16,tilaansa,0.607,masentaa,0.747,vahingoittaa,0.772
17,liikuttaa,0.6,turmella,0.741,puolustaa,0.762
18,auttaa,0.599,hillitä,0.741,parantaa,0.762
19,täyttää,0.599,anttaa,0.739,veloittaa,0.76
20,eroittaa,0.597,mastustaa,0.738,wahingoittaa,0.76
21,noudattaa,0.596,ohjata,0.73,hälvittää,0.758
22,koettaa,0.596,kohdata,0.73,ehkäistä,0.756
23,palkita,0.595,puollustaa,0.724,häwittää,0.756
24,maltaa,0.591,häwittää,0.721,turmella,0.755
25,korottaa,0.591,pelastaa,0.715,kohdella,0.754
26,tuntea,0.589,turmata,0.714,säilyttää,0.753
27,itseensä,0.586,säilyttää,0.711,kutistaa,0.752
28,kutsua,0.585,ryöstää,0.71,tunvata,0.751
29,maatansa,0.583,kohdella,0.706,vastustaa,0.75
30,parantamaan,0.581,ylläpitää,0.703,kahlehtia,0.749
31,hoitaa,0.581,loukata,0.703,mastustaa,0.749
32,katsomatta,0.579,hämmentää,0.702,hämittää,0.746
33,suosiolla,0.575,vahingoittaa,0.699,rawita,0.745
34,tuomita,0.575,hätyyttää,0.698,suosia,0.744
35,waatia,0.573,peloittaa,0.698,masentaa,0.744
36,elättää,0.572,vastustaa,0.694,esiää,0.744
37,poistaa,0.572,rangaista,0.694,rikkoa,0.742
38,woimalla,0.57,rikkoa,0.693,kukistaa,0.742
39,silmällä,0.57,kartoittaa,0.692,järkyttää,0.74
40,pettää,0.569,lumota,0.691,waslustaa,0.739
41,kokemat,0.569,pakottaa,0.69,ahdistaa,0.736
42,miettiä,0.564,walloittaa,0.688,ohjata,0.736
43,taaksensa,0.563,etsiä,0.687,pelastaa,0.734
44,tahtoa,0.56,ponnistaa,0.686,heikontaa,0.734
45,mieliä,0.56,malloittaa,0.685,wastustaa,0.73
46,käyttää,0.559,estää,0.684,anttaa,0.73
47,miedä,0.559,nostattaa,0.683,loukata,0.729
48,koetella,0.558,riistää,0.683,wastnstaa,0.727
49,waltaa,0.557,kunnioittaa,0.682,lähestyä,0.727
50,oloa,0.554,syöstä,0.68,tukahduttaa,0.727
51,paljaalla,0.553,katkaista,0.68,häätää,0.726
52,pyrkiä,0.553,anastaa,0.676,tukahuttaa,0.726
53,käytöstä,0.553,pysyttää,0.676,mainota,0.722
54,itsiänsä,0.55,totella,0.675,ylläpitää,0.721
55,länsä,0.548,poistaa,0.674,peitellä,0.721
56,harjoittaa,0.545,pakoittaa,0.671,kartoittaa,0.718
57,wälttää,0.545,parantaa,0.667,tyynnyttää,0.718
58,heittää,0.544,parjata,0.666,mastnstaa,0.717
59,uskoa,0.543,saamuttaa,0.663,säikyttää,0.717
60,tarttua,0.542,surkutella,0.663,taiwuttaa,0.716
61,kunniaa,0.54,kohottaa,0.663,hawittää,0.716
62,työllä,0.54,palauttaa,0.662,pelotella,0.715
63,käsiinsä,0.54,liikuttaa,0.661,tyydyttää,0.715
64,luopumaan,0.539,houkutella,0.661,polkea,0.715
65,kieltää,0.537,kiusata,0.66,mastuslaa,0.714
66,tuta,0.536,suojelemaan,0.658,lujentaa,0.713
67,sensä,0.536,lohduttaa,0.658,taswattaa,0.713
68,tuntoa,0.536,tyydyttää,0.656,tukistaa,0.712
69,moimalla,0.536,elättää,0.655,karaista,0.712
70,tutkia,0.536,warustaa,0.652,etsiä,0.711
71,itselleen,0.535,soimata,0.652,hillitä,0.711
72,onnensa,0.534,syyttää,0.651,häiritä,0.709
