,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,ruotsalainen,0.674,ruotsalainen,0.876,snomalainen,0.896
1,suomi,0.625,snomalainen,0.822,ruotsalainen,0.877
2,kirjallisuus,0.614,suomenkielinen,0.804,suomalaiuen,0.866
3,lönnrotin,0.606,suomalaiuen,0.801,suomalaineu,0.841
4,lause,0.602,ruotsinkielinen,0.752,suomalainm,0.822
5,kirjoitettu,0.597,teatcri,0.715,suomalamen,0.817
6,äitimme,0.581,©uomalainen,0.694,suoinalainen,0.807
7,sananlasku,0.565,normalikoulu,0.692,suomalaiucn,0.802
8,saksalainen,0.555,tcateri,0.685,rnotsalainen,0.797
9,kirja,0.551,oppikoulu,0.674,suomalaille,0.794
10,tunnettu,0.549,teateri,0.67,suomalaiueu,0.788
11,suomennettu,0.547,seuranäytelmä,0.665,nuotsalainen,0.784
12,suomalaiselle,0.542,naiskoulu,0.653,vuomalainen,0.781
13,suomeksi,0.54,teateriseura,0.65,luomalainen,0.78
14,runo,0.536,tyttökoulu,0.648,suomalaincu,0.778
15,kirjoitus,0.534,alkeis-opisto,0.638,tuomalainen,0.772
16,mainen,0.533,alkeisopisto,0.636,snomalaincn,0.761
17,yksinkertainen,0.53,virolainen,0.633,suomenkielinen,0.742
18,tuttu,0.523,kirjallisuus,0.624,©uomalainen,0.74
19,tarina,0.519,kotimainen,0.618,uomalainen,0.738
20,omituinen,0.515,operanäytäntö,0.612,suomalaiucu,0.727
21,yksinäinen,0.513,neliluokkainen,0.611,ruotsalaiuen,0.727
22,runon,0.511,suomalaisen,0.61,suomalaine,0.711
23,kirjoittaja,0.51,realikoulu,0.604,.suomalainen,0.696
24,sana,0.51,lutherilainen,0.602,ruolsalainen,0.694
25,kansallinen,0.504,malainen,0.589,lomalainen,0.688
26,raamattu,0.502,kaksiluokkainen,0.586,kotimainen,0.686
27,suomea,0.501,venäläinen,0.586,fuomalainen,0.681
28,laulu,0.5,arkadiateaterissa,0.58,suomenlielinen,0.67
29,wiisas,0.498,iltaseura,0.576,venäläinen,0.665
30,kuuluisa,0.498,kansanlaulu,0.574,wenäläinen,0.657
31,nykyinen,0.496,suomenkielisen,0.574,zuomalainen,0.653
32,hengellinen,0.495,kauppakoulu,0.574,leaatteri,0.647
33,oikea,0.494,saksalainen,0.574,gnfimäinen,0.644
34,jalo,0.491,uomalainen,0.573,wenäläiuen,0.644
35,oppinut,0.49,dramallinen,0.571,teaatter,0.643
36,lukija,0.488,lyseo,0.571,tcatcri,0.641
37,ruotsia,0.487,suom,0.571,snomal,0.641
38,suomenkieli,0.486,arkadia,0.566,suomalaincn,0.641
39,outo,0.485,seo,0.563,teaatten,0.639
40,kielten,0.485,sanomalehti,0.563,buomalainen,0.635
41,sanomalehti,0.482,laulaja,0.562,teaaiteri,0.631
42,nainen,0.482,yksityinen,0.562,suoml,0.63
43,selitetty,0.482,uufi,0.561,emankelinen,0.63
44,surullinen,0.481,seminari,0.56,mmnm,0.629
45,kristillinen,0.481,suomi,0.559,klassillinen,0.628
46,rikas,0.481,etewä,0.556,hengellinen,0.626
47,tällainen,0.48,virsikirja,0.55,teatcri,0.624
48,toimitettu,0.48,wirsikirja,0.548,suomalainen,0.624
49,kieli,0.48,ylempi,0.548,tcateri,0.623
50,puhuu,0.479,uusi,0.544,ruotsinkielinen,0.623
51,toimellinen,0.479,kirjallisuusseura,0.544,mmnen,0.623
52,kielestä,0.478,menkielinen,0.544,teaatteii,0.623
53,suomennos,0.477,teaterihuone,0.543,..suomalainen,0.621
54,tohtor,0.476,kansantajuinen,0.543,wenäläincn,0.621
55,johdatus,0.475,wirallincn,0.542,pohjoismainen,0.619
56,aamurusko,0.475,pääskynen,0.535,suomal,0.618
57,lähettäjä,0.474,suomal,0.534,wenälämen,0.617
58,talonpoikainen,0.473,teaterilla,0.532,tcaattcri,0.612
59,erinäinen,0.472,wirallinen,0.531,ewankelinen,0.611
60,ruotsiksi,0.47,opera,0.53,klupi,0.609
61,suomalaisesta,0.469,ewankeliumi,0.529,suoni,0.605
62,juttu,0.468,täkäläinen,0.527,nenäläinen,0.603
63,suomessa,0.467,merikoulu,0.526,suum,0.603
64,kirjallisuutta,0.467,luento,0.526,©uomal,0.603
65,suomalaisissa,0.461,nuija,0.524,suumal,0.603
66,puhe,0.461,snom,0.519,lotimainen,0.602
67,kielemme,0.461,tartossa,0.518,saomal,0.601
68,kirjasta,0.461,etemä,0.515,lakiteos,0.601
69,lähettäjän,0.461,aikakauskirja,0.515,siirtolaisyhtiö,0.601
70,mainio,0.461,nusi,0.511,euomal,0.598
71,muistutus,0.461,ylhäisempi,0.51,kuomalainen,0.597
72,uusi,0.46,tcatcri,0.51,kansanteatteri,0.594
73,martti,0.46,alkuteos,0.509,teaattcri,0.593
74,aikanansa,0.459,tanskalainen,0.508,evankelinen,0.593
75,suometar,0.459,historiallinen,0.507,teaatleri,0.592
76,kirjan,0.458,alempi,0.506,wcnäläinen,0.591
77,ensimäinen,0.458,snomalaisen,0.506,wenälainen,0.588
78,taitama,0.457,ainen,0.506,suomalainenkin,0.588
79,suomenkielen,0.457,tiedemies,0.502,teaterl,0.588
80,lukia,0.456,opillinen,0.501,wirallmen,0.586
81,totinen,0.455,virallinen,0.501,wenäläineu,0.586
82,muuan,0.453,jallisuus,0.5,suom,0.585
83,snomen,0.452,suomalaistu,0.499,teaattert,0.584
84,sellainen,0.452,teatm,0.499,kaiustokauppa,0.584
85,merkillinen,0.452,raamatunselitys,0.497,weuäläinen,0.583
86,satu,0.451,normalikoulun,0.497,suomalain,0.583
87,latinan,0.45,pääkaupungissamme,0.497,2uom,0.582
88,pispa,0.449,laulajatar,0.496,vienalainen,0.581
89,köyhä,0.448,ilmestywä,0.495,soitannollinen,0.58
90,toimittajan,0.448,suomat,0.495,maaseututeaatteri,0.58
91,tämäki,0.448,salainen,0.494,suoinal,0.58
92,merkitsee,0.448,unsi,0.494,tcaatteri,0.58
93,kansalta,0.446,wenäläinen,0.493,teatteri,0.577
94,jokuu,0.445,uusmaalainen,0.493,menälainen,0.577
95,suomalaisilla,0.445,alhaisempi,0.492,tuomal,0.577
96,sääty,0.444,tieteellinen,0.491,suoin,0.576
97,kieleen,0.443,opisto,0.491,ruotsalainenkin,0.575
98,kerrottu,0.443,wirsi-,0.489,wirolainen,0.574
99,sanoissa,0.442,karjalatar,0.487,teaatteri,0.574
