,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,suomalainen,0.625,snomi,0.846,snomi,0.886
1,suometar,0.616,suomenmaa,0.742,euomi,0.739
2,sanomalehti,0.568,ruotsi,0.73,suumi,0.719
3,aamurusko,0.559,suomalaisuus,0.645,3uomi,0.704
4,ruotsalainen,0.54,kieli,0.64,ruotsi,0.697
5,kirjallisuus,0.53,suomenkieli,0.635,vuomi,0.672
6,kirjoitus,0.523,kirjallisuus,0.631,zuomi,0.663
7,suomenmaa,0.517,kansallisuus,0.627,menäjä,0.629
8,kieli,0.517,ruotsinkieli,0.584,norja,0.618
9,ruotsi,0.506,suomella,0.582,suomikin,0.609
10,suomessa,0.502,suomelle,0.58,suomenmaa,0.602
11,snomen,0.501,sanomakirjallisuus,0.577,kauppalehti,0.6
12,lennätin,0.495,kotimainen,0.568,nuotsi,0.595
13,sanoma,0.484,suomalainen,0.559,.suomen,0.593
14,moassa,0.481,suomenkielinen,0.552,kansallisuus,0.591
15,äitimme,0.481,päiwätär,0.551,suomi,0.591
16,kansalta,0.479,opetuskieli,0.549,buomi,0.59
17,saksalainen,0.478,latina,0.543,rnotsi,0.583
18,lehti,0.474,pohjanmaa,0.541,kulttuuri,0.582
19,puhe,0.469,opetuskielenä,0.539,karjala,0.58
20,hels,0.466,kansallinen,0.536,dagbladet,0.58
21,kirjoitettu,0.462,dagblad,0.533,kalewala,0.578
22,laulu,0.46,norja,0.533,länsi-suomi,0.578
23,kielellä,0.458,ruotsalaisuus,0.53,näytelmätaide,0.57
24,hämäläinen,0.457,tieli,0.53,pohjanmaa,0.57
25,suomalaisissa,0.457,tidning,0.53,suomella,0.569
26,lause,0.454,maakunta,0.526,matkaopas,0.569
27,runo,0.449,kielinen,0.525,suomt,0.565
28,kirjallisuutta,0.441,kansakunta,0.525,islanti,0.564
29,kirjoituksesta,0.441,pääkaupunki,0.517,.suomi,0.561
30,suomalaisilla,0.439,kielenä,0.513,kirjallisuus,0.56
31,toimitettu,0.438,mehiläinen,0.513,tanska,0.558
32,suomettaressa,0.436,ruotsille,0.512,sanomalehdistömme,0.557
33,kielestä,0.435,sampo,0.508,intelligenssi,0.557
34,kieleen,0.435,karjala,0.506,suomen,0.556
35,suomea,0.435,oppikoulu,0.503,",suomi",0.553
36,suomettarelle,0.434,ihmiskunta,0.5,kalemala,0.55
37,ruotsissa,0.433,ruotsalainen,0.5,..nuori,0.548
38,sananlasku,0.431,otawa,0.499,suomalainen,0.545
39,suomen,0.429,keisarikunta,0.495,nuori,0.541
40,lönnrotin,0.427,ruotsinkielinen,0.494,kalewa,0.534
41,juttu,0.427,kausa,0.493,suoml,0.534
42,puhutaan,0.427,runoilija,0.493,ruolsi,0.533
43,ruotsin,0.424,äitimme,0.49,suuriruhtinaskunta,0.533
44,suomeksi,0.423,ruotsilla,0.489,synnyinmaa,0.532
45,suomalaisten,0.42,sanomalehti,0.488,juomen,0.532
46,tidning,0.416,äidinkieli,0.487,kansallistunto,0.532
47,kieltä,0.412,yhteys,0.487,suomei,0.532
48,kielelle,0.412,siwistys,0.486,puhekieli,0.531
49,historia,0.41,tanska,0.484,sanomalehdistö,0.531
50,tunnettu,0.408,ruotsin,0.484,suomi-,0.53
51,höyrylaiwa,0.408,sotalaitos,0.484,kaunokirjailija,0.528
52,lukemisia,0.405,morgonbladet,0.482,unkari,0.528
53,kielistä,0.403,lenä,0.482,suomelle,0.526
54,saima,0.402,ruotsiu,0.481,snomen,0.524
55,merkitsee,0.402,simistys,0.481,opetuskieli,0.524
56,1847,0.401,unkari,0.481,suomen^,0.523
57,kirje,0.401,kielemme,0.48,lakiteos,0.522
58,ruotsiksi,0.4,nuotsiu,0.475,lirjallisuus,0.522
59,suomenkieli,0.398,opetuskieleksi,0.475,wakuutusosakeyhtiö,0.521
60,times,0.396,amerika,0.471,suemen,0.521
61,puhuimme,0.395,suomemme,0.471,aftonbladet,0.521
62,selitetty,0.395,aamurusko,0.47,runous,0.521
63,uusi,0.393,kielikysymys,0.47,wiron,0.52
64,kirjoittaja,0.393,kieliin,0.47,suomess,0.52
65,suomenmaan,0.391,opisto,0.47,pohjois-suomi,0.518
66,seuraawa,0.391,lieli,0.469,dagblad,0.518
67,turku,0.39,saksalainen,0.469,aalewa,0.518
68,kielessä,0.39,kalewala,0.467,ruotsilta,0.517
69,muistutus,0.389,europa,0.467,viron,0.517
70,suomennettu,0.389,yhdistys,0.467,henkivakuutusosakeyhtiö,0.517
71,sanomalehdessä,0.387,muukalainen,0.466,ruotstn,0.516
72,kielillä,0.386,tulemaisuus,0.466,siwmen,0.516
73,kirja,0.386,opetuskie,0.466,tallinna,0.516
74,suomalaisuuden,0.384,maamme,0.464,..suomi,0.515
75,ensimäinen,0.383,ruotsalaiseksi,0.463,kaunokirjallisuus,0.515
76,suomettaren,0.382,asemamme,0.463,ruoisi,0.515
77,latinan,0.382,kalemala,0.462,kesti,0.515
78,suonien,0.381,postilaitos,0.461,keisarikunta,0.515
79,toimitus,0.381,aikakausi,0.46,suomenkieli,0.514
80,kanawa,0.38,alkeisopisto,0.459,suomen,0.514
81,painosta,0.379,lehti,0.458,saksanmaa,0.513
82,mainio,0.379,aikakauskirja,0.457,suomalaisuus,0.513
83,suomelle,0.378,isänmaa,0.456,tuomen,0.512
84,yleinen,0.378,tähti,0.456,ilmarinen,0.512
85,muist,0.378,tilasto,0.454,maakuntana,0.512
86,1845,0.375,tasawalta,0.454,kesli,0.511
87,raamatussa,0.374,edistys,0.452,suomalainen,0.51
88,nykyinen,0.374,saksa,0.448,saksankieli,0.51
89,suom,0.374,kansakin,0.447,sanomakirjallisuus,0.509
90,raamattu,0.374,valistus,0.447,3uomen,0.509
91,kirjasta,0.373,kirjallisuuteen,0.447,suonien,0.508
92,nimellä,0.372,suomenki,0.447,suomn,0.508
93,ruot,0.371,kouluissamme,0.446,björnson,0.508
94,ikeän,0.371,silvistys,0.444,",suomen",0.508
95,ilmoittamista,0.371,kieleen,0.444,sanomalehti,0.506
96,kartta,0.37,hallitusmuoto,0.444,runotar,0.505
97,sanoissa,0.37,laiwa,0.443,lounas-,0.505
98,alku,0.37,valtiollinen,0.443,venäjä,0.505
99,soitto,0.369,kotimaa,0.443,pohjanmeri,0.505
