,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,herättää,0.746,herättää,0.84,laimentaa,0.797
1,turmelee,0.74,maituttaa,0.785,herättää,0.795
2,tuottaa,0.704,vaikuttaa,0.762,lamauttaa,0.794
3,hyödyttää,0.702,matkaansaattaa,0.757,aikaansaattaa,0.787
4,maikuttaa,0.696,wailuttaa,0.751,matkaansaattaa,0.786
5,etsii,0.685,waikuttaa,0.75,tuottaa,0.752
6,kannattaa,0.683,saawuttaa,0.747,heilontaa,0.746
7,vaikuttaa,0.679,maikuttaa,0.746,waiknttaa,0.745
8,simistystä,0.677,masentaa,0.737,synnyttäisi,0.743
9,pyrkii,0.671,elähyttää,0.731,heikontaa,0.739
10,woittaa,0.667,kuolettaa,0.728,kiihdyttää,0.735
11,säilyttää,0.658,kehittää,0.722,mailuttaa,0.734
12,waikuttaa,0.651,saamuttaa,0.718,heikontua,0.731
13,ymmärrystä,0.65,herättäisi,0.718,lvaikuttaa,0.729
14,ymmärrys,0.649,poistaa,0.716,hämmentää,0.729
15,tuntoa,0.648,waituttaa,0.716,vaikuttaa,0.726
16,kasmattaa,0.647,häiritsee,0.708,aikaansaada,0.723
17,korottaa,0.646,tuottaa,0.704,maituttaa,0.722
18,tunto,0.64,kohottaa,0.703,waituttaa,0.72
19,poistaa,0.637,hämmentää,0.699,tulahuttaa,0.719
20,liikuttaa,0.635,mailuttaa,0.691,mailultaa,0.719
21,tarmitsee,0.635,waiknttaa,0.689,maikultaa,0.718
22,kaswattaa,0.634,nostattaa,0.682,waikuttaa,0.718
23,järjen,0.623,siittää,0.678,maiknttaa,0.716
24,löytää,0.621,tnottaa,0.677,liewentää,0.714
25,kristillisyys,0.62,syntyä,0.664,maikuttaa,0.714
26,siwistyksen,0.618,edistyttää,0.663,wailuttaa,0.711
27,kärsii,0.616,turmelee,0.662,masentaa,0.71
28,käsittää,0.614,turmella,0.662,kuolettaa,0.705
29,halu,0.614,synnyttäisi,0.661,tukahuttaa,0.705
30,johdattaa,0.612,tapain,0.658,poistaa,0.702
31,elämää,0.611,syntyy,0.655,tukahduttaa,0.702
32,rasittaa,0.611,ihmisyyden,0.655,heitontaa,0.701
33,järki,0.611,hyödyttää,0.653,syntyä,0.698
34,loistaa,0.611,istuttaa,0.652,synnytetään,0.698
35,tarkoittaa,0.61,johdattaa,0.65,maikutlaa,0.697
36,simistys,0.609,huojentaa,0.65,tylsyttää,0.697
37,waatii,0.608,tasoittaa,0.649,lannistaa,0.696
38,syntyy,0.606,voittaa,0.645,synnyttämät,0.695
39,kansakunnan,0.603,lannistaa,0.644,tnottaa,0.694
40,keinoja,0.602,tyydyttää,0.644,tukehuttaa,0.693
41,edis,0.602,ihmisessä,0.644,heikentää,0.69
42,parantaa,0.602,lemittää,0.643,jäytää,0.688
43,ihmisissä,0.601,liikuttaa,0.643,sulattaa,0.685
44,edistymistä,0.601,kukistaa,0.641,himmentää,0.684
45,vaatii,0.6,suurentaa,0.637,mailutlaa,0.683
46,keinoilla,0.6,kartuttaa,0.636,tutahuttaa,0.682
47,totista,0.597,löytää,0.635,tasottaa,0.68
48,seurauksia,0.596,tukahuttaa,0.634,liihoittaa,0.679
49,parannusta,0.596,tarkoittaa,0.634,ivaikuttaa,0.677
50,pahuutta,0.595,kytee,0.634,saastuttaa,0.677
51,rakkautta,0.592,muodostaa,0.634,saamuttaa,0.676
52,mieliä,0.59,keksiä,0.633,hermostoa,0.669
53,maallista,0.587,eripuraisuuden,0.633,syntyy,0.669
54,harras,0.587,käsittää,0.633,katkeroittaa,0.668
55,estää,0.587,herätä,0.631,kalmaa,0.667
56,syntyisi,0.585,ylpeyttä,0.631,waikultaa,0.666
57,sydämen,0.585,teroittaa,0.63,maitnttaa,0.666
58,voittaa,0.584,kiihoittaa,0.629,liementää,0.665
59,enentää,0.584,rajoittaa,0.628,liihottaa,0.664
60,rakkaudella,0.584,synnyttämät,0.626,tulehuttaa,0.663
61,sielun,0.582,mielissä,0.626,liewittää,0.662
62,katselee,0.581,katkeruutta,0.625,ehkäistä,0.661
63,tapoja,0.58,raakuuden,0.624,kuihduttaa,0.659
64,tarwitsee,0.579,pakottaa,0.624,jäähdyttää,0.658
65,tiedossa,0.577,sortaa,0.623,aiheuttaa,0.658
66,puuttuu,0.576,himojen,0.623,nostattaa,0.656
67,paran,0.576,woittaa,0.622,maitultaa,0.656
68,oppii,0.576,raakuus,0.622,synnyttämä,0.655
69,ilmestyy,0.574,ylentää,0.622,saawuttaa,0.654
70,ihmisyyden,0.572,säilyttää,0.621,saamnttaa,0.653
71,kadottaa,0.572,kumata,0.619,synlyä,0.651
72,ahkeruus,0.571,kaswattaa,0.619,lieventää,0.65
73,rikkaus,0.57,wastustaa,0.618,elmyttää,0.65
74,taidossa,0.569,heissä,0.617,tiihoittaa,0.649
75,amaa,0.569,kuttaa,0.616,haihduttaa,0.649
76,kokee,0.569,aikaansaada,0.616,järkyttää,0.648
77,huolimattomuus,0.568,siweyttä,0.615,saamutlaa,0.648
78,parhain,0.568,ohjata,0.613,ehkäisee,0.647
79,kasmaa,0.567,lujuutta,0.612,herättäisi,0.646
80,sallii,0.566,kärsii,0.612,myrkyttää,0.643
81,pahuuden,0.565,lvaatii,0.612,paisuttaa,0.643
82,osoittaa,0.565,waikuttaisi,0.611,saalvuttaa,0.643
83,taidolla,0.565,suomalaisuudelle,0.61,estää,0.642
84,raakuus,0.564,ihmis-,0.609,syutyy,0.642
85,kieltämme,0.563,sisällinen,0.608,matkaansaada,0.642
86,parannuksen,0.563,poistamaan,0.608,jännittää,0.642
87,täyttää,0.563,meissä,0.608,saaivuttaa,0.641
88,tuntee,0.562,auttaa,0.606,tukehduttaa,0.64
89,woimia,0.562,edustaa,0.606,ilmaupi,0.64
90,oloa,0.56,lewittää,0.605,hidastuttaa,0.64
91,rikkautta,0.559,johtaa,0.605,nyttää,0.639
92,taito,0.559,vaikuttaisi,0.605,liemittää,0.638
93,ahkeruutta,0.558,herättämät,0.604,ilmetä,0.637
94,tunnon,0.557,pahennuksen,0.602,häiritsee,0.636
95,elämämme,0.556,parantaa,0.602,elimistössä,0.635
96,häwittää,0.554,maikuttama,0.602,woitlaa,0.635
97,osottaa,0.552,tietämättömyys,0.601,täsmää,0.634
98,siwistys,0.55,rehellisyyden,0.601,aikaansaadaan,0.634
99,luojan,0.549,harrastaa,0.6,synnyttämällä,0.633
