,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,muuttua,0.619,huomata,0.765,synlyä,0.904
1,käsittää,0.617,sattua,0.741,syutyä,0.896
2,tarkoittaa,0.606,matkaansaattaa,0.738,johtua,0.846
3,eroittaa,0.6,ilmestyä,0.734,koitua,0.806
4,liikuttaa,0.58,tapahtua,0.728,aikaansaada,0.791
5,löytyä,0.576,aikaansaada,0.724,tapahtua,0.77
6,tapahtua,0.559,säilyä,0.72,muodostua,0.75
7,herättää,0.543,päättää,0.717,ilmaantua,0.742
8,ajatella,0.541,muuttua,0.712,sukeutua,0.739
9,syyttää,0.538,löytyä,0.705,tapahtna,0.737
10,pysyä,0.534,ilmaantua,0.702,löytyä,0.733
11,katsoa,0.533,anvata,0.7,loitua,0.73
12,luulla,0.531,poistaa,0.699,matkaansaada,0.721
13,armata,0.531,keksiä,0.699,tapahlua,0.718
14,kieltämme,0.53,muodostua,0.697,tehdä,0.717
15,kannattaa,0.528,epäillä,0.693,toteutua,0.712
16,etsiä,0.526,toteutua,0.69,huomata,0.711
17,seurata,0.525,armata,0.686,loukkaantua,0.705
18,moittia,0.524,parantua,0.685,sattua,0.705
19,muuksi,0.522,arwata,0.681,tebdä,0.701
20,poistaa,0.519,syttyä,0.68,wapautua,0.698
21,tuntea,0.517,tulla,0.678,synnyttää,0.698
22,meissä,0.513,kerskata,0.675,ilmetä,0.698
23,keksiä,0.509,kohdata,0.674,aikaansaattaa,0.692
24,puhua,0.508,ajatellakaan,0.674,päätellä,0.69
25,helposti,0.508,menestyä,0.673,uudistua,0.689
26,järki,0.506,ilmautua,0.67,lehdä,0.683
27,toimoa,0.505,hawaita,0.668,selmitä,0.681
28,meijän,0.505,ajatella,0.666,mältlää,0.679
29,olla,0.5,ollakin,0.665,muuttua,0.677
30,syyttä,0.498,tehdä,0.664,hnomata,0.677
31,mikään,0.496,synnyttää,0.664,poistaa,0.677
32,synnyttää,0.496,tnlla,0.663,armata,0.676
33,oikeata,0.493,herättää,0.663,ehkäistä,0.675
34,jotakuta,0.493,kuulua,0.662,epäillä,0.674
35,säilyttää,0.492,arlvata,0.662,jatkua,0.673
36,uskoa,0.492,tuntua,0.661,hamaita,0.672
37,liioin,0.491,aawistaa,0.661,selwitä,0.672
38,heissä,0.491,maituttaa,0.66,lchdä,0.671
39,yksikään,0.491,saamuttaa,0.651,ilmautua,0.671
40,osata,0.491,tuntea,0.649,maihdella,0.669
41,meistä,0.488,matkaan,0.649,mälltää,0.668
42,hallita,0.486,werrata,0.648,hawaita,0.667
43,käyttää,0.485,karttua,0.647,mapautua,0.667
44,estää,0.485,hamaita,0.647,päättyä,0.663
45,lukea,0.484,kohota,0.646,eroitlaa,0.663
46,luontoa,0.484,olla,0.643,päättää,0.662
47,kristillisyyttä,0.482,wailuttaa,0.642,onnistua,0.661
48,simistys,0.481,päättyä,0.641,erehtyä,0.661
49,mieltä,0.479,käsittää,0.637,huumata,0.66
50,ainoata,0.478,merrata,0.634,säilyä,0.658
51,hyödyttää,0.477,waituttaa,0.634,lemitä,0.658
52,tuntoa,0.477,pahtua,0.631,sauoa,0.657
53,epäillä,0.477,masentaa,0.629,lewitä,0.657
54,mitenkään,0.477,vaikuttaa,0.629,arwata,0.656
55,arwata,0.476,tehä,0.628,irtaantua,0.656
56,jnuri,0.47,pilata,0.625,keksiä,0.655
57,miksikään,0.47,toiwoa,0.625,päältää,0.654
58,ymmärrys,0.469,lemitä,0.624,anvata,0.653
59,ainaki,0.466,arwella,0.624,matkaansaattaa,0.652
60,kansallisuuden,0.465,ihmetellä,0.624,välttää,0.652
61,oikeastansa,0.463,parata,0.624,torjua,0.651
62,syntyisi,0.463,riippua,0.623,tclidä,0.651
63,ymmärtää,0.462,joutua,0.621,vapautua,0.65
64,katsella,0.462,otaksua,0.621,riippua,0.65
65,kenenkään,0.46,arvata,0.62,ajatella,0.649
66,hyö,0.46,savoa,0.619,arlvata,0.648
67,sellaista,0.456,uskoa,0.619,wälttää,0.647
68,salassa,0.456,suurentaa,0.616,määritellä,0.647
69,kristillisyys,0.454,lewitä,0.615,otaksna,0.647
70,suomea,0.454,kukistaa,0.615,kohdata,0.645
71,totista,0.451,häiritä,0.613,paisua,0.645
72,sanaan,0.451,sanoa,0.613,otaksua,0.642
73,outoa,0.451,seurata,0.613,vahingoittua,0.642
74,puhetta,0.451,ollakaan,0.612,selmiytyä,0.642
75,aine,0.451,erottaa,0.612,tuntea,0.64
76,epäilemättä,0.45,löytää,0.611,olettaa,0.639
77,kokea,0.448,erehtyä,0.61,vaihdella,0.638
78,kielemme,0.448,onnistua,0.61,wcrrata,0.638
79,luonnollinen,0.448,kehua,0.607,menestyä,0.637
80,tämmöistä,0.448,odottaakaan,0.602,tehds,0.636
81,suinkaan,0.447,waikuttaa,0.602,toteuttaa,0.634
82,rikkautta,0.446,kummastella,0.601,eroittaa,0.633
83,suojella,0.446,pelastaa,0.601,ailaansaada,0.632
84,miettiä,0.446,puuttua,0.601,tapailtua,0.632
85,keinoa,0.446,mälttää,0.596,arivata,0.632
86,luonnollisesti,0.446,juurtua,0.596,anuata,0.631
87,paljas,0.445,luoda,0.595,estää,0.63
88,täyttää,0.445,arwostella,0.595,suoriutua,0.629
89,selittää,0.445,turmella,0.594,lcmitä,0.629
90,iloita,0.445,herätä,0.593,wallita,0.628
91,rahmas,0.444,toivoa,0.592,wältlää,0.627
92,pahaksi,0.444,tuottaa,0.592,uskoa,0.627
93,asioihin,0.444,aamistaa,0.591,ajatellakaan,0.627
94,ouk,0.443,iloita,0.59,kuivailla,0.627
95,puhtaasti,0.443,toimoa,0.59,keskeytyä,0.625
96,itsestänsä,0.443,luettaa,0.59,tajuta,0.625
97,mielen,0.442,käydä,0.589,letsiä,0.625
98,malttaa,0.442,tyydyttää,0.588,walttää,0.625
99,arwoa,0.442,syyttää,0.588,korwata,0.624
