,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kielten,0.644,pappissääty,0.814,sääly,0.885
1,suomenkieli,0.616,aatelissääty,0.773,sääiy,0.853
2,simistys,0.599,pormarissääty,0.751,säätn,0.839
3,säätyä,0.589,valiokunta,0.744,pormarissääty,0.793
4,kansalta,0.572,waliokunta,0.744,pappissääty,0.793
5,papisto,0.565,mietinnön,0.72,talonpoikaissääty,0.784
6,säädyn,0.564,maliokunta,0.718,talonpoitaissääty,0.781
7,hallituksessa,0.562,talonpoikaissääty,0.718,säätykin,0.778
8,rahmaan,0.56,säädyn,0.716,pappissääly,0.758
9,kansassa,0.559,papissääty,0.703,fääty,0.752
10,talonpoikainen,0.554,enemmistö,0.698,waliokunta,0.745
11,laki,0.553,porwarissääty,0.694,talonpoilaissääty,0.742
12,kansakunnan,0.552,maliokuuta,0.693,aatelissääty,0.741
13,opetus,0.55,valiokunnan,0.688,säädyn,0.739
14,simis,0.55,puhemies,0.681,valiokunta,0.736
15,seurakuntien,0.546,waliotunta,0.68,talonpoikaissääly,0.734
16,kokouksissa,0.545,maliokunnan,0.673,pormarissääly,0.729
17,yhteinen,0.544,muuttamatta,0.67,ponvarissääty,0.721
18,melmollisuus,0.544,mietintöä,0.657,maliokunta,0.72
19,suomalaisissa,0.543,waliolunta,0.657,waliotunta,0.716
20,kansa,0.54,aateli,0.656,jäädyn,0.716
21,siwistys,0.539,pappis-,0.653,porwarissääty,0.712
22,simistystä,0.536,talonpojansääty,0.653,taloupoikaissääty,0.709
23,rahmas,0.535,meurmanin,0.652,maliolunta,0.709
24,omituinen,0.533,mietintö,0.651,pappissäaty,0.707
25,kirjallisuus,0.533,puhuja,0.646,pappisjääty,0.694
26,kouluin,0.525,esitys,0.644,ääty,0.692
27,rahwas,0.524,porwarissäädyssä,0.641,talonpoilaissääly,0.691
28,edis,0.522,pyyntö-esityksen,0.639,talollissääty,0.688
29,tiede,0.522,ehdotuksen,0.636,säädy,0.687
30,maawiljelys,0.522,valiokuntaan,0.634,pappiösääty,0.686
31,kouluissa,0.521,esityksen,0.634,pappissaäty,0.685
32,kieli,0.521,säädyltä,0.634,waliolunta,0.684
33,maallinen,0.518,pyyntöesitys,0.633,lakimaliokunta,0.683
34,rah,0.516,aatelisto,0.63,maliotunta,0.682
35,toimissa,0.515,keskustelematta,0.627,walioknnta,0.681
36,yhteisissä,0.514,vähemmistö,0.626,wähcmmistö,0.679
37,seurakuntain,0.514,waliokunnan,0.626,lvaliokunta,0.676
38,maakunta,0.514,pyyntö-esitystä,0.626,porwarissääly,0.673
39,kansan,0.511,enimmistö,0.625,wähemmistö,0.672
40,muissaki,0.51,kohdan,0.625,maliokuuta,0.666
41,erinäinen,0.508,äänestyksellä,0.623,lakiwaliokunta,0.665
42,taitama,0.507,mietintöön,0.622,mielinnön,0.665
43,kielessä,0.507,säädyu,0.62,kokouskunta,0.664
44,kielensä,0.503,maliotunta,0.614,pappisfääty,0.663
45,suus,0.503,liokunta,0.612,porwarissäaty,0.663
46,mapaa,0.502,mietinnössä,0.611,maliokunnan,0.663
47,kieltä,0.501,aatelis-,0.61,talonpoikaissäaty,0.662
48,toimituksissa,0.5,ehdotus,0.609,mähemmistö,0.662
49,siwistyksen,0.499,maliolunnan,0.607,valiokunnan,0.658
50,seurakunta,0.498,lausuntoon,0.606,waliokunnan,0.657
51,tiedossa,0.497,talonpoikaissäädyssä,0.606,porlvarissääty,0.656
52,järjestys,0.496,pnhuja,0.605,vähemmistö,0.655
53,opetuksen,0.495,ritaristo,0.605,waliokunla,0.652
54,hoitoon,0.495,ehdoituksen,0.604,pnhnja,0.65
55,ruotsia,0.494,malio,0.604,maliotunnan,0.65
56,maamiljelyksen,0.493,waliotunnan,0.602,mietinnön,0.649
57,asiana,0.492,ehdotns,0.602,maliokunla,0.649
58,toimi,0.49,hylkäämistä,0.602,kirkolliskokous,0.647
59,kieleen,0.489,valiokunnassa,0.598,cdusm,0.647
60,pap,0.488,pykälä,0.598,aatelissäädyn,0.645
61,parannus,0.487,säätyä,0.596,talonpoikaissäädyn,0.643
62,yleinen,0.487,ehdoitutsen,0.592,puhujakin,0.642
63,kristillisyys,0.486,valio,0.591,maliukunta,0.641
64,rikkaus,0.486,chdoitus,0.59,talonpoikaissäädyssä,0.639
65,pappien,0.485,maliokuntaan,0.588,kokouskin,0.639
66,kansallisuuden,0.485,pappissäädyssä,0.588,säädyu,0.638
