,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,talous-,0.704,talons,0.847
1,valtio-,0.602,talous-,0.819
2,talousseuran,0.593,maanmilielys,0.726
3,talous-osasto,0.593,maanmiljely,0.726
4,senaatin,0.59,talousseurain,0.707
5,talousosaston,0.582,maanwiljelys,0.704
6,toimikunnalta,0.578,maaniviljelys,0.698
7,maanwiljelys,0.578,maanmiljelys,0.68
8,maanmiljclys,0.576,lalous,0.676
9,talous-osaston,0.574,maanwiljclys,0.676
10,luotsi-,0.571,maanwlljelys,0.672
11,kirkollis,0.571,maanmiljclys-,0.671
12,maanmiljelys,0.571,maanwilielys,0.661
13,waltiowarain,0.563,maanmiljelys-,0.661
14,waltio-,0.559,maanmiljclys,0.653
15,johto-,0.559,maanwiljely,0.65
16,lestein-,0.55,maanwiljelus,0.642
17,maanviljelys,0.55,maanlviljelys,0.635
18,maanwil,0.548,lys-,0.633
19,senaatissa,0.546,maanviljelys,0.631
20,siwiili,0.546,talousseurojen,0.629
21,johto,0.544,maamviljelys,0.627
22,maamiljelys,0.543,maanwiljelys-,0.627
23,metsänhoito,0.539,maanmiljelns,0.627
24,maawil,0.535,maannnljelys,0.622
25,maawiljelys,0.534,maanlviljelys-,0.62
26,talousseuralle,0.534,maauwiljelys,0.616
27,tiedeseuran,0.533,maanwiljelns,0.613
28,kunnallislauta,0.531,maawiljelys,0.608
29,maamviljelys,0.526,toimituslunta,0.605
30,yhteisten,0.525,kotiteollisuus,0.604
31,scnatin,0.52,maamviljclys,0.601
32,maanwilje,0.52,maanwll,0.597
33,sihterin,0.517,metsänhoito,0.595
34,tilastollisen,0.517,maanwiljelhs,0.594
35,metsähoidon,0.515,kanslia-,0.593
36,lesti-,0.515,aanwiljelys,0.587
37,talousosastossa,0.514,maamviljelys-,0.587
38,maltio-,0.514,maaumiljelys,0.587
39,talousseuralta,0.513,metsänhoito-,0.586
40,kirkollis-,0.513,teollisuuspankki,0.584
41,maamil,0.513,maanwiljelysseurojen,0.58
42,senaatimme,0.511,maantviljelys,0.578
43,talouden,0.51,lyshallituksen,0.577
44,maanwiljelys-,0.51,maanwiljelysseurain,0.574
45,meijeri,0.51,maanwiljclys-,0.574
46,talousseura,0.509,maamuiljelys,0.573
47,ritarihuoneen,0.509,maanmiljelysseurain,0.573
48,valitsema,0.507,läsityö,0.572
49,kamari-,0.507,karjanhoito-,0.572
50,koulu-,0.506,maanivil,0.571
51,oikeus-,0.506,ohjelmaehdotus,0.57
52,toimiston,0.506,täsityö,0.569
53,senatin,0.504,alaosasto,0.567
54,yleisten,0.503,lysseurain,0.565
55,maanlviljelys,0.502,lauppa-,0.564
56,toimikunnasta,0.502,lainmalmistelukunnan,0.557
57,maanmilje,0.502,maauwil,0.554
58,maanmittauksen,0.501,maauwiljelys-,0.554
59,seuroille,0.498,maanmlljelys,0.553
60,simili,0.497,taideteollisuus,0.55
61,sihteerille,0.497,maanwil,0.549
62,arkiston,0.496,miljelys-,0.549
63,toimituskunnan,0.496,maannnl,0.549
64,papis-,0.495,teollisuus,0.548
65,toimikunnassa,0.494,maanwiljelysseuroille,0.546
66,säännöille,0.494,maanmilje-,0.545
67,sota-asiain,0.493,maanmiljelysseurojen,0.545
68,määräämä,0.493,jely,0.545
69,johtokuuta,0.491,lasiteollisuus,0.542
70,toimistolta,0.491,tcollisuus,0.542
71,leski-,0.488,wiljelys-,0.541
72,vuosikertomus,0.488,läsilyö,0.54
73,tiedeseura,0.486,koeasema,0.539
74,senaa,0.486,tauppa-,0.538
75,scurau,0.484,maanwi,0.538
76,sotilais,0.483,karjan-,0.537
77,maanmiljelys-,0.483,maanmil-,0.535
78,muinaismuisto-yhtiön,0.483,lirlollis,0.534
79,kanslian,0.482,kulkulaitos,0.534
80,kielitieteellisen,0.481,maanlvil,0.534
81,senaattiin,0.478,kulkulaitos-,0.532
82,muinaismuisto,0.477,maanmies-,0.532
83,lainopillisen,0.476,senaaiin,0.531
84,ylihallituksen,0.475,maanmi,0.53
85,waltiosäätyjen,0.473,tcolli,0.529
86,talousseu,0.472,jäsenetsi,0.529
87,prokuraatori,0.472,maanwllje,0.526
88,maawiljelys-,0.471,maanwiljc,0.524
89,maamilje,0.471,talousosastosta,0.523
90,maawilje,0.469,talousseuran,0.523
91,ylihal,0.468,mustialan,0.522
92,kansliaan,0.467,maanmil,0.522
93,laki-,0.466,lainwal,0.522
94,yhdistettyyn,0.465,maanmiljelyn,0.52
95,seurau,0.464,maamvil,0.52
96,asetetussa,0.464,maanmiljelysseuroille,0.519
97,tie-,0.464,lati-,0.519
98,rahamarain,0.462,maaumilje,0.518
99,komiteassa,0.461,miljelysseurain,0.517
