,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,sakolla,0.594,uhkaus,0.636
1,rikkominen,0.576,uhla,0.634
2,uhkasakolla,0.557,pelko,0.613
3,rangaistus,0.518,kutistamiseksi,0.609
4,kielto,0.514,häiritseminen,0.606
5,rikkomista,0.502,verisesti,0.599
6,vahingon,0.501,syttyminen,0.588
7,laittomasti,0.487,kiihoitus,0.581
8,rikos,0.484,häiritsijä,0.574
9,mahingon,0.48,epätietoisuus,0.574
10,uhkasakon,0.479,rikkominen,0.571
11,mäkemiä,0.473,mastarinta,0.569
12,polttaminen,0.473,loukka,0.565
13,uhataan,0.469,purkaus,0.565
14,goita,0.469,melske,0.565
15,rikoksia,0.468,vallattomuus,0.557
16,rangaistuksen,0.468,uhkaa,0.557
17,nautinto,0.467,ahdistama,0.556
18,himoa,0.466,ahdistaminen,0.553
19,mitättömäksi,0.466,suuttumus,0.553
20,uhkaus,0.466,menettämisestä,0.551
21,uhkauksia,0.464,uhkaama,0.551
22,nauttiminen,0.462,häiritsijää,0.549
23,edesmastausta,0.461,wihollincn,0.549
24,nhalla,0.46,ankaruus,0.547
25,myymästä,0.459,häwäistys,0.546
26,himon,0.457,uhatessa,0.544
27,moima,0.456,arkuus,0.544
28,sakon,0.454,kiihko,0.544
29,kadottamat,0.445,waino,0.543
30,tupakan,0.443,mallattomuus,0.542
31,edesmastauksen,0.443,uhkaawa,0.541
32,vahingoita,0.442,kauhu,0.539
33,määryyttä,0.441,rikkojan,0.539
34,polttamisen,0.441,wimma,0.538
35,rikotaan,0.441,katkeruus,0.537
36,ponnistuksia,0.441,panettelu,0.537
37,laimiin,0.441,maino,0.536
38,himo,0.44,sodalla,0.533
39,ylellinen,0.44,uhkaisi,0.533
40,rangaistaan,0.44,syttymän,0.533
41,sakko,0.44,kamppailu,0.533
42,tuottamia,0.44,kostonhimo,0.533
43,rikkoja,0.439,epäwarmuus,0.532
44,juominen,0.439,wastarinta,0.532
45,rankaisematta,0.438,loukkaus,0.532
46,rangaistusta,0.434,rikkojille,0.531
47,polton,0.432,torjuminen,0.531
48,menetetyksi,0.432,sytyttyä,0.531
49,loukkaus,0.431,isku,0.53
50,wahingon,0.43,häiritsijöitä,0.529
51,määräksi,0.43,häpeällinen,0.528
52,julistaminen,0.429,häiritsijänä,0.528
53,englannille,0.429,kieltäytyminen,0.528
54,mäkimaltaa,0.428,pelosta,0.527
55,menettely,0.427,mielenosoitus,0.525
56,laki,0.426,häiritsemistä,0.524
57,työksi,0.425,anastamasta,0.524
58,hämiö,0.425,wäkiwalta,0.524
59,rangaistuksia,0.424,mihollincn,0.523
60,uhkaa,0.424,kiusa,0.523
61,laimin,0.423,hurjuus,0.523
62,turkilta,0.42,häwitys,0.522
63,turkille,0.42,himo,0.521
64,vaatiman,0.42,jatkuminen,0.521
65,uhria,0.42,laittomuus,0.52
66,myrkky,0.419,nöyryytys,0.52
67,edeswastausta,0.419,uhaten,0.52
68,tuottaman,0.419,aseellinen,0.519
69,mahin,0.418,kumous,0.519
70,pakko,0.418,mimma,0.518
71,mahingoita,0.418,piiritystila,0.518
72,wääryys,0.418,vastarinta,0.517
73,termeydelle,0.417,ahdistaessa,0.516
74,suuruisia,0.417,uhataan,0.515
75,myönnytyksiä,0.416,tiihoitus,0.515
76,määryys,0.416,hävitys,0.515
77,suuruutta,0.415,silmitön,0.514
78,meto,0.415,rangaistus,0.513
79,mahinkoja,0.415,uhkasi,0.513
80,säilyttämiseksi,0.415,rikkojia,0.512
81,oikens,0.414,sekasorto,0.512
82,tumattoman,0.414,kukistamiseksi,0.511
83,edesmastaus,0.414,lemottomuus,0.511
84,rikoksen,0.413,uhkauksella,0.51
85,vääryys,0.413,rangaistuksella,0.51
86,hirmu,0.413,pahimman,0.509
87,lakkauttaminen,0.413,hämäistys,0.509
88,mäkemäin,0.412,uhkauksia,0.509
89,mapaus,0.412,wäliwalta,0.508
90,ampumasta,0.411,puhkeaminen,0.507
91,mahdot,0.411,rikkojaa,0.507
92,sakkoja,0.411,rauhattomuus,0.506
93,miinan,0.409,liimaus,0.506
94,lyönti,0.409,sakoilla,0.506
95,julman,0.408,ileestä,0.506
96,turkkilaisille,0.408,vihollinen,0.505
97,goista,0.408,kiukun,0.505
98,moiman,0.408,perikato,0.505
99,panttina,0.408,himoinen,0.505
