,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,maara,0.801,maara,0.848
1,waara,0.725,waara,0.823
2,vääryys,0.716,lvaara,0.804
3,vahinko,0.708,ivaara,0.758
4,vihollinen,0.679,aara,0.727
5,voima,0.672,naara,0.721
6,viha,0.66,perikato,0.688
7,naara,0.656,häviö,0.672
8,häiriö,0.653,vahinko,0.66
9,vika,0.647,vaikeus,0.66
10,epäjärjestys,0.645,turmio,0.659
11,turmio,0.635,vitsaus,0.654
12,voitto,0.626,epävarmuus,0.653
13,ahdinko,0.616,vihollinen,0.643
14,väkijoukko,0.609,hävitys,0.643
15,moima,0.605,kiusaus,0.643
16,hämiö,0.604,tulvavesi,0.643
17,aima,0.601,vääryys,0.641
18,liekki,0.601,varovaisuus,0.639
19,valkea,0.596,viettelys,0.638
20,kiusaus,0.592,vaaraa,0.633
21,isku,0.592,nettomuus,0.632
22,hätä,0.59,varokeino,0.627
23,tappio,0.59,roaara,0.626
24,ottelu,0.587,raivo,0.617
25,hämmästys,0.583,vahinlo,0.615
26,liikunto,0.578,välttämättömyys,0.613
27,lauma,0.577,ahdinko,0.612
28,tuska,0.576,surkeus,0.612
29,timi,0.576,epäjärjestys,0.61
30,sattuma,0.575,pelko,0.61
31,nettomuus,0.574,purkaus,0.61
32,väestö,0.574,nälkäkuolema,0.606
33,uteliaisuus,0.572,vika,0.606
34,innostus,0.572,vamma,0.599
35,mahinko,0.566,hämminki,0.596
36,hälinä,0.566,tungos,0.595
37,vesi,0.564,haitta,0.595
38,kauhistus,0.562,levottomuus,0.594
39,vaaraa,0.561,mihollincn,0.593
40,määryys,0.56,temmellys,0.592
41,räjähdys,0.56,häiriö,0.587
42,vaarassa,0.559,vastoinkäyminen,0.586
43,pahe,0.558,tuliva,0.585
44,rauhattomuus,0.558,asiaintila,0.585
45,petos,0.556,sekasorto,0.584
46,mihollinen,0.555,epäwarmuus,0.583
47,valtakunta,0.553,onnettomuus,0.582
48,taistelu,0.552,kurjuus,0.581
49,pula,0.552,pello,0.581
50,pello,0.551,hankaluus,0.579
51,pato,0.551,hätä,0.577
52,melu,0.55,vastustus,0.574
53,onnettomuus,0.549,hyökylaine,0.573
54,tulma,0.548,häwitys,0.573
55,myrsky,0.548,seisahdus,0.572
56,linnoitus,0.548,sekamelska,0.572
57,kauhu,0.548,hämmennys,0.571
58,kiihko,0.546,epäilys,0.57
59,seutu,0.546,voima,0.569
60,pauhina,0.545,lurjuus,0.568
61,voitettu,0.544,haava,0.568
62,alakuloisuus,0.543,mielenkiihko,0.567
63,tuulispää,0.543,ahinlo,0.566
64,haitta,0.543,aavistus,0.565
65,perikato,0.542,peljästys,0.565
66,vaarallinen,0.542,vaaran,0.564
67,temppu,0.542,tullva,0.564
68,valo,0.541,turvallisuus,0.564
69,näkö,0.541,seisaus,0.562
70,meteli,0.54,vallattomuus,0.562
71,ryntäys,0.54,sotavoima,0.561
72,mailina,0.54,apukin,0.56
73,kuumuus,0.539,ahinko,0.559
74,kohtalo,0.538,sysäys,0.558
75,raimo,0.537,pettymys,0.557
76,mahinto,0.536,kauhu,0.557
77,rahapula,0.535,vauhti,0.557
78,pamaus,0.535,hairaus,0.556
79,nikä,0.535,vihamies,0.556
80,epäilys,0.535,pysähtyminen,0.556
81,hirmeä,0.535,maileus,0.555
82,haju,0.534,vastapaino,0.555
83,sattumus,0.533,mullistus,0.553
84,ahdistus,0.533,vaarasta,0.551
85,tulva,0.533,otaksuma,0.551
86,rasitus,0.532,sekasotku,0.551
87,vaikutus,0.532,melske,0.551
88,vaikuttama,0.532,medenpuute,0.549
89,tappelu,0.532,katovuosi,0.549
90,maima,0.531,epäluulo,0.548
91,veri,0.531,vastarinta,0.548
92,pelko,0.531,vastatuuli,0.547
93,haamu,0.53,epäkohta,0.547
94,liike,0.529,epätietoisuus,0.547
95,tulwa,0.529,este,0.546
96,juopa,0.529,vallinko,0.546
97,syttynyt,0.529,wesitulwa,0.545
98,ilmeinen,0.528,levollisuus,0.545
99,vieras,0.528,vedenpaisumus,0.544
