,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,maihtaa,0.787,waihtaa,0.82
1,viedä,0.704,maihtaa,0.787
2,vetää,0.677,vaihettaa,0.743
3,varustaa,0.648,maihettaa,0.723
4,waihtaa,0.631,aihtaa,0.671
5,maihettaa,0.625,viedä,0.629
6,valmistaa,0.619,vaihtamaan,0.623
7,waihettaa,0.578,viskata,0.622
8,vaatia,0.573,ostaa,0.622
9,marustaa,0.559,lainata,0.619
10,sijoittaa,0.554,sovittaa,0.599
11,vähentää,0.553,pantata,0.598
12,teettää,0.552,lähettää,0.597
13,ruveta,0.55,tallettaa,0.596
14,verrata,0.545,sitoa,0.592
15,micdä,0.543,turvautua,0.59
16,lunastaa,0.54,sovitella,0.59
17,siirtää,0.536,waihettaa,0.589
18,miedä,0.533,sijoittaa,0.588
19,ottaa,0.531,pakata,0.586
20,dakseen,0.529,kietoa,0.583
21,daksensa,0.527,paiskata,0.58
22,vapaasti,0.527,tehdii,0.58
23,anastaa,0.525,taivuttaa,0.578
24,laittaa,0.521,piilottaa,0.578
25,vahingoittaa,0.519,käyttää,0.575
26,nostaa,0.517,hakea,0.574
27,panettaa,0.515,lahottaa,0.573
28,vetäytyä,0.515,kaupata,0.572
29,käyttää,0.514,ostua,0.571
30,vastaanottaa,0.51,verrata,0.57
31,hanttia,0.506,kytkeä,0.57
32,lainata,0.504,siirtää,0.568
33,tallettaa,0.504,limittää,0.568
34,koota,0.502,tunvautua,0.567
35,valmistamaan,0.501,laslca,0.565
36,myödä,0.501,kätkeä,0.564
37,oltaa,0.5,wieda,0.563
38,valita,0.5,laivata,0.561
39,rmveta,0.498,kaapata,0.561
40,ottamalla,0.495,hävitä,0.56
41,ajaa,0.495,vedota,0.56
42,wuttaa,0.494,cstaa,0.559
43,tnoda,0.493,ottaa,0.558
44,kaupita,0.493,asetella,0.558
45,malmistaa,0.492,varustaa,0.557
46,tuoda,0.491,liimata,0.557
47,kerätä,0.489,lviedä,0.557
48,tinkiä,0.489,estaa,0.556
49,pauna,0.487,keinotella,0.556
50,ryöstää,0.486,kylvää,0.556
51,sitoutua,0.486,iviedä,0.554
52,metää,0.486,mieda,0.554
53,vuttaa,0.486,köyttää,0.554
54,natsaa,0.484,tuoda,0.553
55,tyhjentää,0.484,kohdistaa,0.552
56,hankkia,0.483,kaupita,0.551
57,sekoittaa,0.482,lunastaa,0.551
58,asettaa,0.478,kimittää,0.551
59,säilyttää,0.478,myöda,0.551
60,lähettää,0.477,pukea,0.55
61,ostamalla,0.472,oötaa,0.55
62,pidättää,0.471,ko'ota,0.55
63,riistää,0.471,kiinnittää,0.55
64,ko'ota,0.47,myydä,0.549
65,wicdä,0.469,piiloittaa,0.547
66,sitoa,0.469,päästää,0.546
67,nastaa,0.468,ryhmittää,0.546
68,viemään,0.468,merlitä,0.546
69,asettua,0.466,myödä,0.546
70,viljellä,0.466,vaatia,0.545
71,uaau,0.464,houkutella,0.545
72,uuttaa,0.462,avata,0.544
73,särkeä,0.459,micdä,0.543
74,laskea,0.457,riisua,0.543
75,jättää,0.457,tallentaa,0.542
76,kiskoa,0.457,luovuttaa,0.542
77,lvalmistaa,0.457,telidä,0.541
78,vakuutta,0.456,jättää,0.54
79,lnkea,0.455,nostaa,0.54
80,val-,0.455,laskea,0.539
81,heittää,0.453,oslaa,0.538
82,toimitella,0.453,vetää,0.538
83,oötaa,0.452,tehdi,0.537
84,takaisi,0.452,muuttaa,0.537
85,kulettaa,0.452,sekoittaa,0.537
86,ripustaa,0.452,hankkia,0.537
87,läydä,0.45,tilata,0.536
88,ostaa,0.449,muutella,0.535
89,vastata,0.449,solvittaa,0.535
90,siirtyä,0.448,ommella,0.534
91,vaatimaan,0.448,wiedä,0.534
92,ponnistaa,0.448,kulettaa,0.534
93,polkea,0.447,leimata,0.532
94,vetämään,0.447,kuljettaa,0.532
95,väkisin,0.447,kääntyä,0.532
96,voittaa,0.446,merkitä,0.531
97,kutoa,0.445,ostna,0.531
98,riisua,0.445,sowittaa,0.531
99,viedään,0.445,vihkiä,0.531
