,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,lvaltio,0.768,vallio,0.85
1,maltio,0.766,waltio,0.807
2,valtion,0.756,mallio,0.789
3,waltio,0.745,maltio,0.788
4,valtiolle,0.711,altio,0.787
5,valtio-,0.613,ivaltio,0.784
6,valtiolta,0.608,waltiu,0.78
7,valtiopäi,0.6,lvaltio,0.778
8,valtiopäivillä,0.598,valtiu,0.775
9,valtakunnan,0.597,tvaltio,0.759
10,varat,0.593,wallio,0.756
11,valiokunta,0.592,maltiu,0.751
12,varoja,0.59,waltw,0.749
13,hallitns,0.589,wllltio,0.733
14,hallitus,0.584,naltio,0.731
15,valtiopäimillä,0.578,maltlo,0.727
16,voitoksi,0.568,waltlo,0.715
17,virkamiehille,0.568,mnltio,0.712
18,varoilla,0.564,nialtio,0.71
19,maliotunta,0.562,waliio,0.708
20,vastaisuudessa,0.559,ualtio,0.708
21,hallinto,0.558,aitio,0.707
22,hypo,0.557,valtion,0.703
23,walti,0.556,maliio,0.697
24,valta,0.555,wnltio,0.661
25,välttämättömäksi,0.555,multio,0.659
26,säätyjen,0.554,waltto,0.655
27,viinanpolton,0.551,altlo,0.65
28,valtiolla,0.551,valtio-,0.646
29,edustus,0.549,maltia,0.638
30,vcl,0.549,valiokunta,0.63
31,yhdistys,0.548,valtiolle,0.625
32,val,0.548,hallitus,0.613
33,perustuslaissa,0.547,valtuuskunta,0.61
34,eduskunta,0.542,toaltio,0.597
35,edusmiehille,0.54,maltiun,0.589
36,varaston,0.539,eduskunta,0.588
37,vero,0.539,maltio-,0.586
38,raha,0.535,vallion,0.584
39,virkamiesten,0.535,roaltio,0.583
40,vapaus,0.533,neuvosto,0.582
41,velka,0.532,lualtio,0.58
42,viinanpoltto,0.531,altion,0.578
43,asemel,0.53,liallitus,0.572
44,komitea,0.527,ltio,0.572
45,asewel,0.527,valtiokin,0.571
46,yleisistä,0.527,maliion,0.571
47,varsinki,0.524,valti,0.568
48,maltion,0.524,aition,0.565
49,scnra,0.522,mallion,0.565
50,sotalaitoksen,0.522,valtiolla,0.563
51,waltiowa,0.52,liittohallitus,0.56
52,maltiomarain,0.52,lvaltion,0.559
53,kirkollis,0.519,valtuusto,0.558
54,yhdistykselle,0.518,hallitu,0.558
55,maltioma,0.518,waliion,0.558
56,valiokunnalle,0.517,valtiosäädyt,0.558
57,varoista,0.516,walti,0.556
58,järjestämiseksi,0.516,nialtion,0.555
59,chdoitus,0.516,valtiovaroista,0.555
60,vel,0.515,porvaristo,0.554
61,veron,0.515,maltiou,0.554
62,hallituksen,0.514,edustuskunta,0.553
63,varsinaisesti,0.514,komitea,0.552
64,väli,0.513,waltio-,0.551
65,verojen,0.511,waltiun,0.549
66,johtokuuta,0.511,aitiolle,0.547
67,yhdys,0.511,säätyjen,0.546
68,maltiomaroista,0.511,valtiopäiwillä,0.544
69,täytettäisiin,0.511,valiolunta,0.544
70,veroja,0.51,hallltus,0.542
71,lvaltion,0.51,hallituksen,0.542
72,maltio-,0.51,maltion,0.54
73,aition,0.508,nallitus,0.539
74,perustuslaki,0.508,ivaltion,0.539
75,tunta,0.507,maltiolaitos,0.538
76,vapauden,0.507,valtiopäivillä,0.537
77,lval,0.506,hallitns,0.537
78,säädyiltä,0.506,halliws,0.537
79,nyöskin,0.503,aliolunt,0.536
80,valio,0.503,valtiopäiville,0.534
81,maliokunta,0.502,sotalaitoksen,0.533
82,maliokuuta,0.502,valtiopäiväin,0.532
83,naarattiin,0.502,maliolunt,0.532
84,vaatimat,0.501,mnltion,0.532
85,hallitukselle,0.5,waltton,0.532
86,vuotuiset,0.499,aitio*,0.532
87,naassa,0.499,hallituskin,0.532
88,sotalaitos,0.498,valtiosäätyjen,0.531
89,apuraha,0.498,finanssi,0.53
90,vastauksessa,0.497,edustajakunta,0.528
91,lainan,0.497,valtiopäivien,0.528
92,väliaikaisesti,0.497,waltion,0.527
93,rautateiden,0.496,valio,0.527
94,voittoa,0.495,wallion,0.524
95,kruunu,0.494,raha,0.524
96,välttämätöntä,0.493,waltiowarasto,0.523
97,hallituskin,0.493,hallilus,0.522
98,vähemmistö,0.493,asevel,0.522
99,maltiolle,0.492,altto,0.522
