,fi_1880,fi_1880_d
0,waluutta,0.855
1,makuutta,0.772
2,maluutta,0.746
3,vakuutta,0.744
4,aluutta,0.726
5,osolta,0.621
6,olotta,0.619
7,suolitta,0.617
8,todistetta,0.609
9,waatl,0.601
10,makuulta,0.6
11,todista,0.597
12,lainanotta,0.595
13,osotta,0.585
14,welwoitta,0.582
15,tnnte,0.58
16,hanlll,0.579
17,suorilta,0.578
18,lulunlia,0.577
19,ofotta,0.577
20,lallautta,0.576
21,vahingoitta,0.575
22,luutu,0.575
23,ladotta,0.574
24,todista-,0.571
25,malsa,0.571
26,almista,0.57
27,vastaa-,0.569
28,purla,0.567
29,astusta,0.566
30,talletta,0.565
31,hanlli,0.564
32,luovutta,0.562
33,wakuutta,0.56
34,loullaa,0.56
35,noubatta,0.559
36,pääo,0.559
37,antta,0.558
38,osta,0.558
39,luoletta,0.557
40,latausta,0.557
41,palotta,0.557
42,loultaa,0.555
43,uolraa,0.555
44,naaraa,0.555
45,sito,0.555
46,rillo,0.554
47,tutll,0.553
48,tuotta,0.553
49,luomutta,0.551
50,lorotta,0.55
51,niskoittele,0.55
52,omisla,0.548
53,eroilta,0.547
54,hanlki,0.547
55,suoritta,0.547
56,lainatta,0.545
57,lunasta,0.544
58,lorwaa,0.544
59,vastusta,0.541
60,tolloa,0.541
61,lormaa,0.54
62,tvaati,0.54
63,ilmianta,0.539
64,taimitta,0.539
65,vaati,0.539
66,otta*,0.538
67,valmo,0.538
68,osatta,0.537
69,luittia,0.536
70,luowutta,0.535
71,vaihta,0.535
72,talausta,0.534
73,lule,0.533
74,ilmoitta,0.531
75,tirjoitta,0.53
76,otta,0.529
77,aati,0.528
78,ailutta,0.528
79,lustanta,0.528
80,lahjo,0.528
81,welseliä,0.528
82,wailutta,0.527
83,malsa-,0.527
84,melmoitta,0.524
85,alitta,0.523
86,valtuutta,0.522
87,voitta,0.522
88,laswatta,0.521
89,tuntc,0.52
90,sitoutu,0.519
91,oileulfia,0.519
92,irtisano,0.518
93,ilmotta,0.518
94,hanlti,0.517
95,osutta,0.517
96,maatl,0.516
97,hantti,0.516
98,malsetta,0.516
99,omista,0.515
