,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,vaimo,0.736,lvanha,0.781,vauha,0.851
1,vieras,0.691,manha,0.772,lvanha,0.813
2,manha,0.688,wauha,0.765,wanha,0.8
3,vaimon,0.612,mauha,0.752,anha,0.8
4,vastasi,0.61,wanha,0.747,manha,0.785
5,vai,0.602,ikäinen,0.681,tvanha,0.781
6,nuorin,0.594,vanhana,0.666,nianha,0.77
7,maimo,0.589,vanhaksi,0.644,wanya,0.77
8,hyvä,0.583,vanhempi,0.636,ivanha,0.768
9,akka,0.574,vanhin,0.63,manhll,0.763
10,väki,0.566,viisas,0.617,wauha,0.761
11,tyttö,0.565,vuotias,0.605,mauha,0.759
12,muuan,0.555,vaimo,0.603,manya,0.752
13,nuori,0.553,nuorin,0.598,wanba,0.748
14,kaisa,0.549,nuori,0.578,wanhll,0.74
15,samuli,0.544,iässä,0.566,wcmha,0.734
16,vuotinen,0.538,ijältään,0.564,waicha,0.732
17,viimeinen,0.536,nainen,0.563,wllnha,0.726
18,vuosi,0.535,vanhus,0.559,manhi,0.725
19,vähä,0.535,vuori,0.555,vanlia,0.721
20,nai,0.534,poita,0.55,vanka,0.719
21,rikas,0.529,vieras,0.548,ikäinen,0.716
22,äijä,0.528,vainen,0.546,manhu,0.716
23,nuorukainen,0.52,parta,0.544,nmnha,0.712
24,lauri,0.518,vuoteella,0.541,maicha,0.698
25,vanhan,0.515,laiha,0.54,vanda,0.693
26,pikku,0.511,vanhan,0.535,wonha,0.686
27,miesi,0.51,uljas,0.534,anhll,0.685
28,anni,0.507,tyttönen,0.533,roteva,0.684
29,vähäinen,0.505,veli,0.53,raanaa,0.678
30,hyvin,0.504,nnori,0.526,vanba,0.673
31,parka,0.502,äijä,0.525,vaulia,0.667
32,vähän,0.501,tias,0.524,wanhn,0.662
33,eerikki,0.501,ikäisenä,0.523,lihava,0.648
34,olli,0.498,munkki,0.517,kaljupää,0.644
35,tno,0.494,muori,0.516,anh,0.643
36,wanha,0.494,poika,0.513,elähtänyt,0.641
37,jaako,0.493,pariskunta,0.51,vanhana,0.64
38,ukko,0.492,kookas,0.509,pioni,0.636
39,tytär,0.491,ämmä,0.508,vanhempi,0.629
40,vieressä,0.491,vuotinen,0.501,viisas,0.628
41,raukka,0.489,voimakas,0.498,roanha,0.625
42,viimein,0.489,nies,0.496,vanhanpuoleinen,0.623
