,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,vastalausetta,0.764,wastalause,0.907
1,vastalauseessa,0.758,mastalause,0.906
2,chdoitus,0.72,mastalausc,0.818
3,pyyntöesitys,0.715,ponsi,0.783
4,ehdoitus,0.715,ponsilause,0.75
5,ehdotus,0.705,vastalauseen,0.731
6,vastalauseen,0.704,talause,0.714
7,esityö,0.696,vastalausetta,0.705
8,mietintöä,0.693,wastalauseen,0.69
9,mietintöön,0.681,vastalauseeseen,0.677
10,esitys,0.677,ehdotus,0.671
11,mietinnössä,0.674,pykälä,0.663
12,valiokuntaan,0.668,mastalauseen,0.662
13,maliolunnan,0.663,wastalausecn,0.661
14,ehdotns,0.659,anomusehdotus,0.656
15,valiokuntaa,0.653,anomuschdotus,0.653
16,pyyntö-esitys,0.651,anomusehdolus,0.651
17,mietinnöstä,0.65,maslalauseen,0.648
18,vähemmistö,0.647,wastalauscen,0.647
19,wastalauseen,0.645,esitys,0.646
20,waliolunnan,0.643,ehdotns,0.644
21,vastalauseensa,0.641,wastalausetta,0.644
22,lausunto,0.641,loppuponsi,0.644
23,ritaristossa,0.637,ehdows,0.641
24,vastalauseita,0.633,mietintöön,0.639
25,meurmanin,0.63,ehdutus,0.638
26,hyväksyttiin,0.628,pylälä,0.637
27,porwarissäädyssä,0.626,ehdoms,0.634
28,esitystä,0.622,syytös,0.634
29,valiokunnassa,0.622,esityö,0.633
30,pyyntö-esitystä,0.62,perustelu,0.632
31,mietintö,0.619,vastalauseita,0.631
32,ehdoitusta,0.617,mastalausctta,0.629
33,maliotunnan,0.617,yhteensomitus,0.627
34,esittämä,0.616,hdotus,0.626
35,valiokunnalle,0.615,protesti,0.625
36,meurman'in,0.613,astalauseen,0.624
37,lausunnossa,0.612,lainehdotus,0.624
38,aatelissa,0.61,mastalausccn,0.623
39,valiokunnan,0.61,pytälä,0.622
40,hylkäämistä,0.608,yhteensovitus,0.621
41,mietinnön,0.607,artikkeli,0.62
42,lausuntoon,0.603,anomus-ehdotus,0.62
43,pappissäädyssä,0.602,anomus,0.619
44,hymäksymistä,0.601,mastalausetta,0.619
45,hymätsyttiiu,0.6,wastalauseesen,0.618
46,pääasiassa,0.597,muutosehdotus,0.617
47,maliokuntaan,0.597,chdotns,0.617
48,waliolunta,0.595,pohjustus,0.617
49,ehdotusta,0.595,esilys,0.615
50,pykälä,0.594,vastalauseensa,0.612
51,talonpoikaissäädyssä,0.592,alustus,0.61
52,waliotunnan,0.591,wastalau,0.61
53,ehdoitulsen,0.589,mastalauscen,0.608
54,valitus,0.589,ehdokaslista,0.606
55,momentti,0.588,äänestys,0.606
56,maliotunta,0.588,päätös,0.606
57,äänestyksessä,0.586,mastalauseeseen,0.606
58,mechelin'in,0.585,anomusesitys,0.602
59,clewen,0.584,ehdolus,0.602
60,kieltämä,0.583,yhteenso,0.602
61,doitus,0.582,pyyntöesitys,0.601
62,keskustelematta,0.581,lausunto,0.6
63,pyyntö-esityksestä,0.581,vastalau,0.6
64,päätös,0.581,auomus,0.6
65,chdoitusta,0.579,lausunta,0.599
66,äänestyksellä,0.577,yhteensowitus,0.597
67,kirjoitus,0.576,lausuntoon,0.596
68,anomus,0.576,mastalau,0.596
69,pyyntö-esityksiä,0.575,ehdoius,0.596
70,vastaus,0.574,muodostelu,0.595
71,valio,0.573,mastalausecn,0.593
72,miete,0.573,asetusehdotus,0.591
73,hylättiin,0.572,lakiehdotus,0.59
74,hylväksyttiin,0.572,ehdotu,0.59
75,pyyntö,0.571,pääiös,0.59
76,säädyu,0.571,esitysehdotus,0.59
77,ehdoituksen,0.571,ebdotus,0.589
78,maliokunnan,0.571,chdotus,0.588
79,keskustelutta,0.57,momentti,0.587
80,pormarissäädyssä,0.568,mielipide,0.587
81,äänestäessä,0.568,anomuscsitys,0.585
82,ehdotuksen,0.566,talauseen,0.585
83,hywälsyttiin,0.566,mietinlö,0.584
84,hymälsyttiin,0.565,chdolus,0.583
85,pää-asiassa,0.565,pyyntö-esitys,0.582
86,pormarissääty,0.564,wastalauseensa,0.582
87,hrain,0.563,väittely,0.582
88,lause,0.561,lause,0.582
89,käsiteltämäksi,0.561,ehdoitus,0.581
90,syytös,0.56,perusteluihin,0.58
91,keskusteltaessa,0.559,loppulause,0.578
92,maliokunta,0.559,nietintö,0.577
93,hymäksyttiiu,0.558,esiiys,0.577
94,äänestystä,0.558,esitys-ehdotus,0.576
95,meurman,0.557,anomus-ehdotusta,0.576
96,waltiowaliokunnan,0.556,muodostus,0.576
97,hymätsyttiin,0.556,vaalitapa,0.576
98,ehdotuksesta,0.556,huutoäänestyksellä,0.576
99,edusmies,0.555,valitus,0.575
