,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,wenäjä,0.9,wenäjä,0.96
1,englanti,0.887,nenäjä,0.949
2,itämältä,0.883,wenäja,0.899
3,wcnäjä,0.856,wenajä,0.889
4,itämaita,0.848,japan,0.864
5,preussi,0.848,itämaita,0.85
6,nenäjä,0.843,wenöjä,0.849
7,weuäjä,0.839,ranska,0.839
8,ranska,0.831,italia,0.839
9,italia,0.824,englanti,0.839
10,franska,0.814,bulgaria,0.836
11,europa,0.799,salsa,0.835
12,saksanmaa,0.797,laappani,0.832
13,serbia,0.795,laapani,0.826
14,itävalta,0.787,weuäjä,0.823
15,englandi,0.786,laapan,0.821
16,kreikka,0.775,serbia,0.82
17,portti,0.774,itaalia,0.817
18,fransta,0.771,ncnäjä,0.816
19,saksa,0.77,transwaal,0.811
20,menäjä,0.769,transmaal,0.804
21,itäwalta,0.764,kiina,0.799
22,egypti,0.756,espanja,0.798
23,unkari,0.756,wcnäjä,0.79
24,hallitns,0.753,portugali,0.79
25,hallitus,0.749,saksa,0.786
26,tanska,0.748,ransla,0.785
27,turkki,0.748,fransla,0.784
28,montenegro,0.743,nansta,0.783
29,salsa,0.737,nanska,0.78
30,englannille,0.731,itämalta-unkari,0.78
31,itämallan,0.727,itäwalta,0.778
32,suitani,0.723,italiakin,0.778
33,persia,0.722,saksakin,0.777
34,emiri,0.72,kreikka,0.777
35,suttani,0.717,venäjäkin,0.771
36,liittokunta,0.714,nansla,0.77
37,preussille,0.713,itäwalta-unkari,0.768
38,espanja,0.705,numania,0.767
39,bulgaria,0.703,montenegro,0.766
40,lanti,0.701,rumania,0.761
41,sultaani,0.7,wenäjii,0.76
42,turkin,0.699,kolminaisliitto,0.76
43,saksalle,0.698,japani,0.756
44,sotaministeri,0.696,wenaja,0.754
45,bosnian,0.695,portugal,0.753
46,franstan,0.694,kreilla,0.751
47,sermian,0.691,weniijä,0.749
48,emiiri,0.69,bulgaaria,0.747
49,turkilta,0.683,englantikin,0.747
50,kreikalle,0.683,erglanti,0.745
51,thicrs,0.681,kolmiliitto,0.744
52,sultani,0.679,satsa,0.744
53,itävallan,0.678,ranskakin,0.743
54,thiers,0.676,hallitus,0.74
55,ministeristö,0.676,franska,0.74
56,pääministeri,0.675,kreilka,0.739
57,lakub-khan,0.675,diplomatia,0.738
58,turtti,0.675,transwaali,0.737
59,italialle,0.675,menäjä,0.734
60,turkille,0.672,afganistan,0.733
61,turkiu,0.672,preussi,0.732
62,bosnia,0.667,englannille,0.723
63,lordi,0.666,europa,0.722
64,puola,0.665,kuba,0.721
65,montenegron,0.665,wenäiä,0.721
66,parlamentti,0.665,keisarikunta,0.721
67,kossuth,0.664,kiinan,0.721
68,serbian,0.664,brasilia,0.72
69,afgha,0.662,unkarille,0.719
70,kansalliskokous,0.661,itämältä,0.718
71,kongressissa,0.66,hallltus,0.716
72,ministerikunta,0.659,ransta,0.715
73,suittani,0.658,wcuäjä,0.714
74,bul,0.658,itävalta,0.714
75,näjä,0.658,serwia,0.713
76,itämallau,0.657,turkkikin,0.713
77,ministeristä,0.656,italiaa,0.713
78,maltain,0.656,sotapuolue,0.712
79,paami,0.655,filippiinit,0.712
80,keisarikunta,0.655,egypti,0.709
81,sotamäki,0.655,tasamaita,0.708
82,sotamäti,0.655,elsass,0.707
83,ruhtinaskunta,0.654,korean,0.707
84,turtin,0.652,venezuela,0.707
85,englantia,0.652,keskipuolue,0.706
86,layard,0.65,belgia,0.706
87,kongressi,0.649,unlari,0.705
88,aselepoa,0.649,turlille,0.705
89,bismarck,0.648,marokko,0.705
90,tisza,0.648,politiikka,0.705
91,liitto,0.648,sulttaani,0.704
92,serrano,0.647,preussille,0.704
93,frauskan,0.646,menelit,0.703
94,sodalla,0.646,menelil,0.703
95,afganistanin,0.645,unkari,0.703
96,andrassy,0.645,menelik,0.702
97,itälvallan,0.644,espanjan,0.702
98,vismarck,0.643,mdyswallat,0.701
99,eduskunta,0.643,sweitsi,0.699
